the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,177157,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,176757,>1m <=5m,ATBI DATABASE,,1446918695000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446918695000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965001600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000120D18456BEE54C0BB449FD687BC4140,177156,0101000020110F0000E4078D2EE8C661C19C33AB393B215041,176756,>1m <=5m,ATBI DATABASE,,1446918695000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252721,3928901,35.472889,-83.725293,Hazel Creek,Hazel Creek,1858.626953,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446918695000,GRSM,UNR,,8,,,Hazel Creek Trail,Lakeview Drive West,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,934329600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E6100000ED11EB06CADB54C0DDDB9B8930BB4140,177185,0101000020110F0000F1EF90A915B761C1AB0C4A3BD51F5041,176784,>1m <=5m,ATBI DATABASE,,1446918713000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279110,3927048,35.462412,-83.434202,Deep Creek,Deep Creek,1860.184692,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446918713000,GRSM,UNR,,7,,,Deep Creek Horse Trail,Deep Creek Campground Loop 1,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,933638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E610000019752CD0DDDB54C0BBD5C33C90BA4140,177163,0101000020110F0000F53A7D7726B761C1768E35162E1F5041,176783,>1m <=5m,ATBI DATABASE,,1446918712000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278987,3926508,35.45752,-83.435409,Deep Creek,,1944.378174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446918712000,GRSM,UNR,,7,,,Noland Divide Trail,East Deep Creek Road,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,black light trap, , ,cert,General
0101000020E610000006E268D320CD54C0452D13A631E04140,177190,0101000020110F00004A6E4111A2AA61C1B0C5DAF87C465041,176789,>1m <=5m,ATBI DATABASE,,1446918716000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300620,3958630,35.751508,-83.205125,Cosby Creek,,2354.609375,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446918716000,GRSM,UNR,,6,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,549072000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,black light (sheet), , ,cert,General
0101000020E6100000094F2D5DACC454C08B64294822D54140,177192,0101000020110F0000DA210ECA73A361C1F40CB289EB3A5041,176791,>1m <=5m,ATBI DATABASE,,1446918717000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312364,3948784,35.665102,-83.073016,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446918717000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,933120000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E61000004925B4F9C0C454C0ABDAB758E6CA4140,177191,0101000020110F0000ED36694B85A361C14A57081A3A305041,176790,>1m <=5m,ATBI DATABASE,,1446918717000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312063,3939917,35.585148,-83.074274,Lower Johnathans Creek,,4860.303711,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446918717000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1024358400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,Malaise trap (Townes), , ,cert,ATBI
0101000020E610000099B7A6B0FAD354C061746C4976C74140,177188,0101000020110F00003EA4F59F73B061C1993C952FA32C5041,176787,>1m <=5m,ATBI DATABASE,,1446918715000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290435,3937418,35.55829,-83.312172,Bradley Fork,Bradley Fork,2215.061035,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446918715000,GRSM,UNR,,5,,,Smokemont Nature Trail,Smokemont Campground Road Ba,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,519868800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,by hand, , ,cert,General
0101000020E61000003F0469873ED354C03952551F8AC04140,177189,0101000020110F00003CD9CED1D3AF61C16DD511B669255041,176788,>1m <=5m,ATBI DATABASE,,1446918715000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291336,3931394,35.504208,-83.300687,Lower Oconaluftee River,Oconaluftee River,2045.469727,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446918715000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,932083200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E61000004100693255D454C03277A42F41C74140,177186,0101000020110F0000B2060B7EC0B061C1ECE022C06B2C5041,176785,>1m <=5m,ATBI DATABASE,,1446918713000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289930,3937250,35.55667,-83.317696,Upper Oconaluftee River,Oconaluftee River,2229.644531,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446918713000,GRSM,UNR,,5,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Goera_calcarata,Goera  calcarata,17548,Crossed Tail Armored Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,614908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Goeridae, ,~,black light trap,No, ,cert,Lepidoptera Survey
