the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A13CAA9C41F854C004CC3AEBACBB4140,178321,0101000020110F000037B6B30243CF61C1ABC44FEE56205041,177887,>1m <=5m,ATBI DATABASE,,1446919351000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238749,3928556,35.466208,-83.879,Lake Cheoah-Little Tennessee River,Twentymile Creek,1364.268677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919351000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,712972800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E975E7C372F454C0930DED6184BA4140,178328,0101000020110F00009B5CAB1207CC61C1DA7EE3B9211F5041,177894,>1m <=5m,ATBI DATABASE,,1446919354000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244121,3927396,35.457158,-83.819501,Lake Cheoah-Little Tennessee River,Lewellyn Branch,1575.436768,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919354000,GRSM,UNR,,3,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000A78E040330EE54C0AC76520165BC4140,178338,0101000020110F0000DCB799DAB5C661C17FE82CE616215041,177904,>1m <=5m,ATBI DATABASE,,1446919360000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253046,3928774,35.471826,-83.721676,Hazel Creek,Hazel Creek,1918.112427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919360000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E610000071674525CCEE54C08CF4BDEE03BD4140,178337,0101000020110F00006B6259753AC761C11D9D5CA4BC215041,177903,>1m <=5m,ATBI DATABASE,,1446919359000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252196,3929336,35.476676,-83.731206,Hazel Creek,Hickory Bottom Branch,1810.999878,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919359000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185148800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000001F614BA1E9E654C064C7C59F88B84140,178342,0101000020110F000051B1EC2188C061C13B0B395B101D5041,177908,>1m <=5m,ATBI DATABASE,,1446919363000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263274,3925149,35.441663,-83.608006,Lower Fontana Lake-Little Tennessee River,Poplar Pole Branch,1961.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919363000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000C26E758C8DE054C03507B10845BD4140,178357,0101000020110F00007510096721BB61C1D116C28900225041,177923,>1m <=5m,ATBI DATABASE,,1446919372000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919372000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,618710400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000E28FE4EACEE354C08A976A10EDBB4140,178350,0101000020110F0000B7ECD42EE5BD61C10D8E34D299205041,177916,>1m <=5m,ATBI DATABASE,,1446919368000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267754,3927974,35.468165,-83.5595,Forney Creek,Gray Wolf Creek,2105.979492,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919368000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000A1C1FCCE1CDA54C036952DE876BE4140,178374,0101000020110F0000229D8120A9B561C17DAF75903F235041,177940,>1m <=5m,ATBI DATABASE,,1446919382000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281557,3929828,35.487997,-83.408004,Deep Creek,Indian Creek,2285.814453,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919382000,GRSM,UNR,,7,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000329504FC68D054C03BF524979CE24140,178401,0101000020110F00009BA2489D6BAD61C198CA54C604495041,177968,>1m <=5m,ATBI DATABASE,,1446919400000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919400000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000085DB2B9D16D154C0DC7E770705E24140,178400,0101000020110F0000E2B4F613FFAD61C1D84CCD2166485041,177967,>1m <=5m,ATBI DATABASE,,1446919400000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295061,3960340,35.765772,-83.267001,Cosby Creek,Buckeye Creek,1983.60083,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919400000,GRSM,UNR,,10,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap, ,day,cert,Noctuidae
0101000020E610000095E7C94EA2CD54C09DA6BC4E11E24140,178412,0101000020110F000080C1550910AB61C1822DD9FB72485041,177979,>1m <=5m,ATBI DATABASE,,1446919407000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299942,3960270,35.766146,-83.213028,Cosby Creek,Fletcher Spring Branch,1935.457642,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919407000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Habrosyne_scripta,Habrosyne  scripta,18166,Lettered Habrosyne Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Drepanoidea,Drepanidae,Thyatirinae,~,black light trap, ,day,cert,Noctuidae
