the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000ADAD669DD1DF54C0727A2362E6B94140,178555,0101000020110F0000CD8D4CCA81BA61C1C4BBC0FD7C1E5041,178122,>1m <=5m,ATBI DATABASE,,1446919483000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273367,3926073,35.452336,-83.497165,Fontana Lake-Tuckasegee River,Tuckasegee River,1702.038208,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919483000,GRSM,UNR,,2,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1375056000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI
0101000020E6100000E66E7C92A0DA54C05C7BDE0E86DE4140,178556,0101000020110F0000B8C4AD0819B661C138E56A88BD445041,178123,>1m <=5m,ATBI DATABASE,,1446919484000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281510,3957632,35.738459,-83.416047,Little Pigeon River Middle,Little Pigeon River,1362.159912,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919484000,GRSM,UNR,,5,,,Duds Branch Concession Horse Trail,Greenbrier Road,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1340928000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI
0101000020E6100000110A45ABB4D954C0ACAC412D00DD4140,178557,0101000020110F0000B05466AE50B561C137D10C9E25435041,178124,>1m <=5m,ATBI DATABASE,,1446919484000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282780,3956280,35.726561,-83.401648,Little Pigeon River Middle,,1453.656616,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919484000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373587200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI
0101000020E6100000D9CED9902CEC54C0BA1EF4882BD24140,178553,0101000020110F0000368DE21500C561C1E64BFE7AD2375041,178120,>1m <=5m,ATBI DATABASE,,1446919482000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256417,3947570,35.641947,-83.690216,Little River-Crooked Creek,Middle Prong Little River,1336.417114,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919482000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Institute Parking #2,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1183507200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI Odonata Survey
0101000020E610000025A061E8B3E754C0A35CAC45D7D44140,178554,0101000020110F0000F90951ED33C161C1F0B03F209D3A5041,178121,>1m <=5m,ATBI DATABASE,,1446919482000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,262806,3949714,35.662813,-83.620352,Little River-Goshen Prong,Little River,1916.977661,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446919482000,GRSM,UNR,,4,,,Curry Mountain Trail,Little River Gorge Road,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341273600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI
0101000020E61000003DF8E97514F254C00449B8CD6ACD4140,178552,0101000020110F000024F4602304CA61C11C214335DB325041,178119,>1m <=5m,ATBI DATABASE,,1446919481000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247943,3943683,35.604815,-83.782495,Abrams Creek Upper,Abrams Creek,1842.539795,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919481000,GRSM,UNR,,3,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1342569600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI
0101000020E610000029DEEC024AF654C0CEB64197B7CB4140,178517,0101000020110F0000288D6D4D97CD61C171B83AA114315041,178113,>1m <=5m,ATBI DATABASE,,1446919478000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241941,3942380,35.591533,-83.848263,Abrams Creek Upper,,1714.547363,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919478000,GRSM,UNR,,5,,,Wet Bottom Trail,Abrams Falls Road,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,by hand, ,month,cert,General
0101000020E6100000E9C34D224FF654C02C069A9F40CB4140,178549,0101000020110F0000E79E2EA79BCD61C179A3C26198305041,178112,>1m <=5m,ATBI DATABASE,,1446919477000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241901,3941978,35.587903,-83.848576,Abrams Creek Upper,,1720.027466,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919477000,GRSM,UNR,,7,,,Rabbit Creek Trail,Abrams Falls Road,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1183420800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,observed,No,day,cert,ATBI
0101000020E610000014724D30A5F654C03CE1C7C673CB4140,178547,0101000020110F00007D5844BDE4CD61C1476102CECD305041,178110,>1m <=5m,ATBI DATABASE,,1446919476000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241430,3942165,35.589464,-83.853828,Abrams Creek Upper,Victory Branch,1786.638672,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919476000,GRSM,UNR,,5,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,811987200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C60A0F7EA8F654C0F39BBF9276CB4140,178545,0101000020110F00004369918BE7CD61C19811C1B9D0305041,178108,>1m <=5m,ATBI DATABASE,,1446919475000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241412,3942175,35.589549,-83.85403,Abrams Creek Upper,Victory Branch,1773.261719,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919475000,GRSM,UNR,,2,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,787449600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,by hand,No,month,cert,General
0101000020E61000007D7296EAA6F654C03244B8436FCB4140,178546,0101000020110F00000760E634E6CD61C1432DAF17C9305041,178109,>1m <=5m,ATBI DATABASE,,1446919476000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241420,3942150,35.589326,-83.853934,Abrams Creek Upper,Victory Branch,1786.638672,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446919476000,GRSM,UNR,,6,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Hagenius_brevistylus,Hagenius  brevistylus,18211,Dragonhunter,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1309478400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Gomphidae, ,~,by hand,No,month,cert,Benthic Macroinvertebrate
