the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004B9E13C49EFA54C05463FDF784BC4140,181788,0101000020110F00007497CEF744D161C16AAC8B3B38215041,181283,>1m <=5m,ATBI DATABASE,,1446921300000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235418,3929386,35.472801,-83.915936,Lake Cheoah-Little Tennessee River,,2122.978027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921300000,GRSM,UNR,,6,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000BAEDF99CC6FA54C0840CFF51AABC4140,181787,0101000020110F0000C42C6FCF66D161C177CB802F5F215041,181282,>1m <=5m,ATBI DATABASE,,1446921299000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235201,3929519,35.473941,-83.918368,Chilhowee Lake,Cooper Camp Branch,2123.134766,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446921299000,GRSM,UNR,,10,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000009983FB5C28F854C072F92B3E67BB4140,181790,0101000020110F0000562B18912DCF61C100136E460E205041,181285,>1m <=5m,ATBI DATABASE,,1446921301000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238882,3928316,35.464081,-83.877459,Lake Cheoah-Little Tennessee River,,1588.573486,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921301000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 2,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,181789,0101000020110F000082B2585C46D061C1CD45238E69205041,181284,>1m <=5m,ATBI DATABASE,,1446921300000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921300000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C811FEE7FEF554C072C3A8D14FBA4140,181801,0101000020110F000069E4FC8357CD61C1D156AEEBEA1E5041,181295,>1m <=5m,ATBI DATABASE,,1446921306000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241921,3927281,35.455554,-83.843679,Lake Cheoah-Little Tennessee River,,1575.787842,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921306000,GRSM,UNR,,10,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D02CD1575F554C0934B115049BA4140,181802,0101000020110F000058B8CF76E2CC61C1FD441123E41E5041,181296,>1m <=5m,ATBI DATABASE,,1446921307000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242684,3927237,35.455356,-83.835267,Lake Cheoah-Little Tennessee River,,1653.202148,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921307000,GRSM,UNR,,4,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D58F6E072F554C087BA7EB73CBA4140,181803,0101000020110F00007D071897E0CC61C1C9610201D71E5041,181297,>1m <=5m,ATBI DATABASE,,1446921307000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242695,3927194,35.454971,-83.835133,Lake Cheoah-Little Tennessee River,,1757.798828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921307000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000005974E3C4F4F454C01AF3D5B62ABA4140,181804,0101000020110F00002448387C75CC61C1B510E13BC41E5041,181298,>1m <=5m,ATBI DATABASE,,1446921308000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243392,3927113,35.454422,-83.827435,Lake Cheoah-Little Tennessee River,,1842.969482,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921308000,GRSM,UNR,,7,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000017271C4C73F654C0D79316C14EBA4140,181799,0101000020110F0000F9FED65DBACD61C134B17CCFE91E5041,181293,>1m <=5m,ATBI DATABASE,,1446921305000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241276,3927296,35.455522,-83.850783,Lake Cheoah-Little Tennessee River,Fox Branch,1747.835327,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921305000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000076C7E31B6AF654C01BF83A7145BA4140,181800,0101000020110F000003351990B2CD61C1B67BFB19E01E5041,181294,>1m <=5m,ATBI DATABASE,,1446921305000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241326,3927263,35.455237,-83.850222,Lake Cheoah-Little Tennessee River,Fox Branch,1720.771484,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921305000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F1B9F2DD96F654C07CECB66445BA4140,181798,0101000020110F000099596E93D8CD61C10FD3EE0CE01E5041,181292,>1m <=5m,ATBI DATABASE,,1446921304000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241078,3927270,35.455236,-83.852954,Lake Cheoah-Little Tennessee River,Fox Branch,1755.136353,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921304000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Helianthus_microcephalus,Helianthus  microcephalus,18504,Small Woodland Sunflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
