the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002D552FE0A1CD54C0F33F4FBCB0E14140,184089,0101000020110F0000582E66AB0FAB61C1956F6AE70D485041,183708,>1m <=5m,ATBI DATABASE,,1446922689000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299937,3959943,35.763199,-83.213001,Cosby Creek,Fletcher Spring Branch,2035.18103,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922689000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,184088,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,183707,>1m <=5m,ATBI DATABASE,,1446922689000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446922689000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005FE1185AC1C654C0E62127E17CD94140,184095,0101000020110F0000F1D0C47438A561C1CCC46FF4783F5041,183714,>1m <=5m,ATBI DATABASE,,1446922693000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309500,3952620,35.699117,-83.105547,Lower Cataloochee Creek,,4020.623291,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922693000,GRSM,UNR,,6,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,579830400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000E54530528BCC54C06E3B0E3F5CDF4140,184091,0101000020110F00008EFECB1723AA61C198A88AA79D455041,183710,>1m <=5m,ATBI DATABASE,,1446922690000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301429,3957889,35.744996,-83.196,Cosby Creek,Cosby Creek,2929.737305,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922690000,GRSM,UNR,,6,,,Low Gap Trail,Cosby Campground Road B,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084579200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000B9556BBC0FCD54C0C33528AEEBDF4140,184090,0101000020110F00004929938D93AA61C1905930C033465041,183709,>1m <=5m,ATBI DATABASE,,1446922690000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300709,3958391,35.749373,-83.204081,Cosby Creek,Cosby Creek,2450.387451,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922690000,GRSM,UNR,,3,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,184119,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,183738,>1m <=5m,ATBI DATABASE,,1446922704000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922704000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,184118,0101000020110F0000E0AAD1C349A361C167A168F912305041,183737,>1m <=5m,ATBI DATABASE,,1446922704000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922704000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008795F0D5A5C454C083F926AB74CA4140,184115,0101000020110F00007E44AC3E6EA361C167172663C32F5041,183734,>1m <=5m,ATBI DATABASE,,1446922702000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312205,3939529,35.581679,-83.072618,Lower Johnathans Creek,,4616.470215,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922702000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,black light trap,No,day,cert,PKnob moths monitoring
0101000020E6100000C99A1C3497C454C016F2A26513CA4140,184116,0101000020110F0000380957D161A361C11A9270CF5D2F5041,183735,>1m <=5m,ATBI DATABASE,,1446922703000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312279,3939198,35.57871,-83.071725,Lower Johnathans Creek,,4456.333008,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922703000,GRSM,UNR,,8,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C1BB9F2AB1C454C0C4649D36D2CA4140,184110,0101000020110F0000439339DE77A361C1BB4A7C1325305041,183729,>1m <=5m,ATBI DATABASE,,1446922700000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939847,35.584533,-83.073309,Lower Johnathans Creek,,4827.102051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922700000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1085011200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,black light trap,No,day,cert,PKnob moths monitoring
0101000020E610000015B75DAACAC454C0EBEC30A2C4CA4140,184105,0101000020110F000077033D868DA361C1C42D00E516305041,183724,>1m <=5m,ATBI DATABASE,,1446922697000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312007,3939804,35.584119,-83.074866,Lower Johnathans Creek,,4783.5625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922697000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121212800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
