the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000519FB98E7EF754C074FC004645BE4140,184462,0101000020110F0000B588CA599DCE61C1639E3FCB0B235041,184068,>1m <=5m,ATBI DATABASE,,1446922889000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239895,3930774,35.486482,-83.867095,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1892.86084,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922889000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B3EB888A2BE754C0EC4EE35DFCBA4140,184474,0101000020110F0000C3795F1CC0C061C1276801D59E1F5041,184080,>1m <=5m,ATBI DATABASE,,1446922896000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262965,3927284,35.46082,-83.612028,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,2100.880615,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922896000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001C7C226135E154C00C9059D7D7BC4140,184480,0101000020110F0000D4BEF2F0AFBB61C18C34A9A88E215041,184086,>1m <=5m,ATBI DATABASE,,1446922899000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271461,3928674,35.47533,-83.518879,Noland Creek,Bearpen Branch,2376.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922899000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085184000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000061AA3E8F45E154C0CD11C15EBFBA4140,184479,0101000020110F000058F7D7AEBDBB61C12B9C223B5F1F5041,184085,>1m <=5m,ATBI DATABASE,,1446922898000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271325,3926860,35.458958,-83.519867,Fontana Lake-Tuckasegee River,Noland Creek,2420.622559,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922898000,GRSM,UNR,,4,,,Stiles Cemetery Access,Lakeview Drive East,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087344000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FDD526473E254C0899E871F4BBB4140,184478,0101000020110F000004227F07BEBC61C1388611F4F01F5041,184084,>1m <=5m,ATBI DATABASE,,1446922898000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269665,3927376,35.463223,-83.538289,Noland Creek,,2218.819824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922898000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B1BD581051E354C0BA68E986BDBB4140,184476,0101000020110F0000823F9C4B7ABD61C19A08E53F68205041,184082,>1m <=5m,ATBI DATABASE,,1446922897000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268447,3927795,35.466715,-83.551819,Fontana Lake-Tuckasegee River,Goldmine Branch,2411.345215,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922897000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000035D69EEFEDE254C07D507775F9BA4140,184477,0101000020110F0000DC18261B26BD61C14B29CACC9B1F5041,184083,>1m <=5m,ATBI DATABASE,,1446922897000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268979,3927117,35.460731,-83.545768,Fontana Lake-Tuckasegee River,,2179.395508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922897000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051833600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002DE9D2065AC754C00509BB7CF9DF4140,184483,0101000020110F0000F080701FBAA561C185A50C3342465041,184089,>1m <=5m,ATBI DATABASE,,1446922901000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308778,3958260,35.749794,-83.114866,Big Creek,Big Creek,1794.125977,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922901000,GRSM,UNR,,8,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957225600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009126412CD9ED54C0DB4CED5B19D54140,184473,0101000020110F00003896011A6CC661C16E5DD335E23A5041,184079,>1m <=5m,ATBI DATABASE,,1446922895000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254118,3950174,35.66483,-83.716376,Little River-Rudd Branch,,1518.820557,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922895000,GRSM,UNR,,7,,,Chestnut Top Trail,Townsend Entrance Road,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1177804800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E6100000BF07BC87FCE054C0057370C019C14140,184482,0101000020110F000050A8BDA87FBB61C17DB3568FFF255041,184088,>1m <=5m,ATBI DATABASE,,1446922900000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271870,3932356,35.508592,-83.515409,Noland Creek,Indian Creek,3875.688721,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922900000,GRSM,UNR,,8,,,Springhouse Branch Trail,Lakeview Drive East,Valid,Hieracium_venosum,Hieracium  venosum,17792,Rattlesnake-weed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
