the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000001E173C28CFA54C07692BB7C69BC4140,186102,0101000020110F00003D16DAAC35D161C1EDC0C1921B215041,185714,>1m <=5m,ATBI DATABASE,,1446923821000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235515,3929290,35.471962,-83.914837,Lake Cheoah-Little Tennessee River,,1968.121338,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923821000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000005C92CEF28F854C06338760773BB4140,186113,0101000020110F0000BF76410D2ECF61C17D3BB9901A205041,185725,>1m <=5m,ATBI DATABASE,,1446923827000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238880,3928356,35.464441,-83.877494,Lake Cheoah-Little Tennessee River,,1658.766846,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923827000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 2,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000009983FB5C28F854C072F92B3E67BB4140,186114,0101000020110F0000562B18912DCF61C100136E460E205041,185726,>1m <=5m,ATBI DATABASE,,1446923827000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238882,3928316,35.464081,-83.877459,Lake Cheoah-Little Tennessee River,,1588.573486,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923827000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 2,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D02CD1575F554C0934B115049BA4140,186134,0101000020110F000058B8CF76E2CC61C1FD441123E41E5041,185744,>1m <=5m,ATBI DATABASE,,1446923836000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242684,3927237,35.455356,-83.835267,Lake Cheoah-Little Tennessee River,,1653.202148,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923836000,GRSM,UNR,,4,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000009E23347ADCF754C0D175535D0FBC4140,186117,0101000020110F0000FDD0EC1DEDCE61C1137B0B97BD205041,185729,>1m <=5m,ATBI DATABASE,,1446923829000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239319,3928873,35.469212,-83.872828,Lake Cheoah-Little Tennessee River,Twentymile Creek,1403.374268,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923829000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1280275200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, , ,cert,general
0101000020E610000095202E5CBDF754C06B3144CA66BC4140,186120,0101000020110F00000EFA60B0D2CE61C17C82B3C218215041,185732,>1m <=5m,ATBI DATABASE,,1446923830000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239500,3929164,35.47188,-83.870928,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1461.579102,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923830000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1280275200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, , ,cert,general
0101000020E61000007AE5C9B4C4F754C09B9666674FBC4140,186119,0101000020110F0000DC8694EDD8CE61C133014E5F00215041,185731,>1m <=5m,ATBI DATABASE,,1446923830000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239457,3929086,35.471166,-83.871377,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1444.544189,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923830000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1280275200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, , ,cert,general
0101000020E6100000D905A20B30F754C0CD9118BB3FBC4140,186125,0101000020110F0000F536A0AB5ACE61C123A21B07F0205041,185735,>1m <=5m,ATBI DATABASE,,1446923831000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240279,3929009,35.470688,-83.862303,Lake Cheoah-Little Tennessee River,Twentymile Creek,1682.416626,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923831000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000005D439715FF754C0E38D17D559BC4140,186123,0101000020110F000083AFB0EC82CE61C1CEF0613F0B215041,185733,>1m <=5m,ATBI DATABASE,,1446923831000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240019,3929105,35.471485,-83.865196,Lake Cheoah-Little Tennessee River,Twentymile Creek,1724.980469,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923831000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E49A8ED54DF754C05C1841214ABC4140,186124,0101000020110F0000845B53F873CE61C1574550DFFA205041,185734,>1m <=5m,ATBI DATABASE,,1446923831000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240115,3929049,35.471005,-83.864121,Lake Cheoah-Little Tennessee River,Twentymile Creek,1655.69873,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923831000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1280275200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, , ,cert,general
0101000020E6100000F9C36FA086F654C02C5067FB8BBC4140,186131,0101000020110F00005E8674C8CACD61C1AF56EC8B3F215041,185741,>1m <=5m,ATBI DATABASE,,1446923834000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241225,3929240,35.473015,-83.851963,Lake Cheoah-Little Tennessee River,Twentymile Creek,1875.774414,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923834000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hydrangea_radiata,Hydrangea  radiata,19782,Silver-leaf Hydrangea,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1280275200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Hydrangeaceae, ,~,observed, , ,cert,general
