the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C26E758C8DE054C03507B10845BD4140,186770,0101000020110F00007510096721BB61C1D116C28900225041,186362,>1m <=5m,ATBI DATABASE,,1446924196000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446924196000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,581644800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000ED11EB06CADB54C0DDDB9B8930BB4140,186775,0101000020110F0000F1EF90A915B761C1AB0C4A3BD51F5041,186367,>1m <=5m,ATBI DATABASE,,1446924199000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279110,3927048,35.462412,-83.434202,Deep Creek,Deep Creek,1860.184692,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446924199000,GRSM,UNR,,7,,,Deep Creek Horse Trail,Deep Creek Campground Loop 1,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,933638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E6100000094F2D5DACC454C08B64294822D54140,186784,0101000020110F0000DA210ECA73A361C1F40CB289EB3A5041,186376,>1m <=5m,ATBI DATABASE,,1446924204000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312364,3948784,35.665102,-83.073016,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446924204000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,933120000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,186785,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,186377,>1m <=5m,ATBI DATABASE,,1446924205000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446924205000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,520560000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,186783,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,186375,>1m <=5m,ATBI DATABASE,,1446924204000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446924204000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,935539200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C937B3A7CEC754C0C476ED8EA9CE4140,186782,0101000020110F00008AD0E42C1DA661C1D46CB43128345041,186374,>1m <=5m,ATBI DATABASE,,1446924203000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307810,3943270,35.614543,-83.121984,Upper Cataloochee Creek,Rough Fork,2843.140869,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446924203000,GRSM,UNR,,5,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,585273600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000004100693255D454C03277A42F41C74140,186778,0101000020110F0000B2060B7EC0B061C1ECE022C06B2C5041,186370,>1m <=5m,ATBI DATABASE,,1446924201000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289930,3937250,35.55667,-83.317696,Upper Oconaluftee River,Oconaluftee River,2229.644531,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446924201000,GRSM,UNR,,5,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000FB2EA2764ADE54C05CF8736AA4D64140,186773,0101000020110F0000293ACF9535B961C19D2C9A387F3C5041,186365,>1m <=5m,ATBI DATABASE,,1446924197000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276160,3950930,35.676886,-83.473291,Le Conte Creek,,3041.394043,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446924197000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,582249600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000000D09B00C8DD454C00D16180382DA4140,186780,0101000020110F0000BB1A93EDEFB061C198F9C0108A405041,186372,>1m <=5m,ATBI DATABASE,,1446924202000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,290015,3953944,35.707086,-83.321105,Little Pigeon River Upper,Ramsey Prong,3403.928955,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446924202000,GRSM,UNR,,7,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1022284800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,unspecified,No, ,cert,General
0101000020E6100000BEB73DCFACEC54C033DF247A57D34140,186763,0101000020110F00000DE9BE006DC561C1B0E85FF50B395041,186355,>1m <=5m,ATBI DATABASE,,1446924191000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255736,3948605,35.6511,-83.698043,Little River-Crooked Creek,Middle Prong Little River,1350.73291,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924191000,GRSM,UNR,,7,,,Lumber Ridge Trail,Tremont Road,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179273600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,black light trap,No, ,cert,EPT DNA Barcoding
0101000020E6100000E63BF889C3ED54C08464CB43FDD24140,186761,0101000020110F00009BD256BA59C661C13A09D9ABAD385041,186354,>1m <=5m,ATBI DATABASE,,1446924191000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254187,3948342,35.648347,-83.715056,Little River-Crooked Creek,West Prong Little River,1500.509277,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924191000,GRSM,UNR,,4,,,Chestnut Top Trail,Laurel Creek Road,Valid,Hydropsyche_morosa,Hydropsyche  morosa,19943,Morose Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,933552000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Hydropsychidae, ,~,at light, , ,cert,ATBI Aquatic TWiG
