the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B6FB6E1DD0CD54C0B3371BACF1E34140,187303,0101000020110F00008F33C7F036AB61C1CB00ADD3694A5041,186906,>1m <=5m,ATBI DATABASE,,1446924506000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299726,3961902,35.780806,-83.215823,Cosby Creek,Cosby Creek,1691.204834,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446924506000,GRSM,UNR,,2,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,926035200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000000274535BCECD54C0FFA9B593F5E34140,187304,0101000020110F0000846C807235AB61C1BBF126EA6D4A5041,186907,>1m <=5m,ATBI DATABASE,,1446924506000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299736,3961915,35.780925,-83.215716,Cosby Creek,Cosby Creek,1687.920166,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446924506000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,926035200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000B679518B46D354C035AF858130C24140,187302,0101000020110F000074807EA0DAAF61C19F5A736822275041,186905,>1m <=5m,ATBI DATABASE,,1446924505000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291325,3932825,35.517098,-83.301177,Lower Oconaluftee River,Raven Fork,2041.533813,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446924505000,GRSM,UNR,,5,,,Nations Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1368057600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000518560D144EA54C02C7B6F6CB3D54140,187300,0101000020110F000060254CD761C361C1AD29E244833B5041,186903,>1m <=5m,ATBI DATABASE,,1446924504000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259196,3950557,35.669531,-83.660446,Little River-Goshen Prong,Little River,1586.583374,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924504000,GRSM,UNR,,6,,,Meigs Creek Trail,Sinks Bridge And Trailhead Parking,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,899510400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000DA97EDBC6DE254C0A3F48791DED74140,187301,0101000020110F0000FB1B393AB9BC61C176BF0FB2C73D5041,186904,>1m <=5m,ATBI DATABASE,,1446924504000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270335,3952143,35.686473,-83.537944,West Prong Little Pigeon River Upper,Ash Hopper Branch,1458.005127,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446924504000,GRSM,UNR,,3,,,Fighting Creek Nature Trail,Sugarlands Visitor Center Parking B,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,937872000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000CAEB291B91EF54C0C3291C16EACD4140,187299,0101000020110F00006CADADBCE1C761C1D8E7322B60335041,186902,>1m <=5m,ATBI DATABASE,,1446924503000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251513,3944014,35.608699,-83.743227,Little River-Crooked Creek,,1773.353394,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924503000,GRSM,UNR,,6,,,Finley Cane Trail,Laurel Creek Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,965433600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000000E89483BB8F254C02D825E43A6CD4140,187289,0101000020110F000073AE9B3A8FCA61C1B035B95119335041,186892,>1m <=5m,ATBI DATABASE,,1446924497000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247043,3943910,35.60663,-83.79249,Abrams Creek Upper,Harrison Branch,1803.262939,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924497000,GRSM,UNR,,6,,,John Oliver Cabin access ,Cades Cove Loop Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,929491200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000004D80340BD0F254C0F4A0DD7745CD4140,187288,0101000020110F00008A5AE073A3CA61C1DFBA5B35B4325041,186891,>1m <=5m,ATBI DATABASE,,1446924497000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246902,3943586,35.603676,-83.793944,Abrams Creek Upper,Abrams Creek,1776.407471,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924497000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1178668800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed,No,day,cert,FrogWatch
0101000020E6100000AD66634614F254C05F8CEF354BCD4140,187297,0101000020110F000015E203FB03CA61C13DE0F234BA325041,186900,>1m <=5m,ATBI DATABASE,,1446924502000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247941,3943576,35.603851,-83.782483,Abrams Creek Upper,Abrams Creek,1848.344116,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924502000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,963360000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000000F54D2320EF254C099FEB5544FCD4140,187298,0101000020110F00002734DFD1FEC961C158A4BC82BE325041,186901,>1m <=5m,ATBI DATABASE,,1446924503000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247975,3943589,35.603977,-83.782112,Abrams Creek Upper,Abrams Creek,1850.596558,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446924503000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,994723200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Hylidae, ,~,observed, , ,cert,ATBI Amphibians
