the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002FB79AC64DF154C0E7B1E14E01BE4140,189439,0101000020110F0000886627655BC961C1712073E7C4225041,189187,>1m <=5m,ATBI DATABASE,,1446925808000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248666,3930293,35.484408,-83.770368,Eagle Creek,Eagle Creek,2103.888672,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925808000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000FB05BB61FBED54C00D25BA3E9EBB4140,189440,0101000020110F000054BEBB2789C661C164E11DA147205041,189188,>1m <=5m,ATBI DATABASE,,1446925808000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253319,3928093,35.46576,-83.718464,Hazel Creek,Laurel Branch,1931.727417,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925808000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000E52C4A6E8CEA54C0F2669D891AB84140,189441,0101000020110F0000612B72A99EC361C1DE2702999D1C5041,189189,>1m <=5m,ATBI DATABASE,,1446925809000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258106,3924914,35.438303,-83.664817,Lower Fontana Lake-Little Tennessee River,,1753.717651,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925809000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E610000067BB77117CC754C0AB6EFC30D2D94140,189466,0101000020110F0000E409CA08D7A561C10EC6482DD23F5041,189215,>1m <=5m,ATBI DATABASE,,1446925826000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308475,3952931,35.70172,-83.116944,Lower Cataloochee Creek,,5129.781738,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446925826000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1214352000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
0101000020E61000006EBBE23F83C754C08D4D4345B6DA4140,189465,0101000020110F0000FD7D2822DDA561C1A09069B9C0405041,189214,>1m <=5m,ATBI DATABASE,,1446925825000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308452,3953704,35.708681,-83.117382,Cold Springs Creek-Pigeon River,Mount Sterling Creek,5358.602539,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446925825000,GRSM,UNR,,4,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1184198400000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
0101000020E6100000151843B01FC754C0E34951B5BDDB4140,189467,0101000020110F000069EE829388A561C136CF6747D4415041,189216,>1m <=5m,ATBI DATABASE,,1446925826000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309021,3954584,35.71672,-83.111305,Big Creek,Baxter Creek,4706.390137,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446925826000,GRSM,UNR,,5,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1185321600000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
0101000020E6100000E9AC44108FCF54C0C43B905A80DE4140,189208,0101000020110F00007FFDBA88B2AC61C183BC7390B7445041,189213,>1m <=5m,ATBI DATABASE,,1446925825000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297152,3957241,35.738285,-83.243103,Cosby Creek,,4985.087402,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446925825000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1217808000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
0101000020E610000099D9F1A39DCF54C0F3A0E5E80DDC4140,189464,0101000020110F0000565F0BEABEAC61C1E516C22C28425041,189212,>1m <=5m,ATBI DATABASE,,1446925824000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,297023,3955122,35.719168,-83.243993,Big Creek,,5615.57373,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446925824000,GRSM,UNR,,7,,,Appalachian Trail,Cosby Campground Road B,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1211932800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
0101000020E6100000EB5BF0E6ACDF54C07E8DF8E330C54140,189444,0101000020110F000077A12E9C62BA61C13B53F349442A5041,189192,>1m <=5m,ATBI DATABASE,,1446925811000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273818,3935854,35.540548,-83.494924,Forney Creek,Keeyuga Creek,5771.138184,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925811000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1182124800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
0101000020E6100000B90AA9089BDF54C0B55454C027C74140,189445,0101000020110F00002DF43E6F53BA61C1A6D7A532512C5041,189193,>1m <=5m,ATBI DATABASE,,1446925811000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273960,3937554,35.555894,-83.493833,Noland Creek,Salola Branch,6209.724121,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925811000,GRSM,UNR,,9,,,Clingmans Dome Trail,Clingmans Dome Road Parking #3,Valid,Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181260800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Hypnales, , , , ,Hypnaceae, ,~,by hand, , ,prob.,ATBI Bryophytes
