the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A13CAA9C41F854C004CC3AEBACBB4140,189743,0101000020110F000037B6B30243CF61C1ABC44FEE56205041,189479,>1m <=5m,ATBI DATABASE,,1446925989000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238749,3928556,35.466208,-83.879,Lake Cheoah-Little Tennessee River,Twentymile Creek,1364.268677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925989000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000D89C09341F854C0D3EC58B1E7BB4140,189744,0101000020110F0000ABDC21FB42CF61C1A401473894205041,189480,>1m <=5m,ATBI DATABASE,,1446925990000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238755,3928755,35.468001,-83.878998,Lake Cheoah-Little Tennessee River,Twentymile Creek,1427.625366,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925990000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E975E7C372F454C0930DED6184BA4140,189761,0101000020110F00009B5CAB1207CC61C1DA7EE3B9211F5041,189497,>1m <=5m,ATBI DATABASE,,1446925999000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244121,3927396,35.457158,-83.819501,Lake Cheoah-Little Tennessee River,Lewellyn Branch,1575.436768,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925999000,GRSM,UNR,,3,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E610000031678B3EFBF754C0132480ECCCBB4140,189745,0101000020110F0000BDC84D3F07CF61C1EF80244E78205041,189481,>1m <=5m,ATBI DATABASE,,1446925990000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239142,3928653,35.467184,-83.874706,Lake Cheoah-Little Tennessee River,Twentymile Creek,1670.58252,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925990000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054512000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000031E733E2FAF754C0116CE5F0CCBB4140,189746,0101000020110F0000D6BFE0F006CF61C14FF0B95278205041,189482,>1m <=5m,ATBI DATABASE,,1446925991000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239144,3928653,35.467185,-83.874684,Lake Cheoah-Little Tennessee River,Twentymile Creek,1670.58252,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925991000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054512000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000051F392550AEF54C0E666B9259FB94140,189777,0101000020110F000056A977466FC761C18551B8B8321E5041,189513,>1m <=5m,ATBI DATABASE,,1446926009000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251770,3926404,35.450162,-83.735002,Lower Fontana Lake-Little Tennessee River,,1737.359253,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926009000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000F6ADC75E9EEE54C0433934D97DBC4140,189779,0101000020110F0000B9BAD49413C761C120B2A0CE30215041,189515,>1m <=5m,ATBI DATABASE,,1446926010000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252437,3928875,35.472584,-83.728412,Hazel Creek,Hazel Creek,1814.500488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926010000,GRSM,UNR,,10,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000A78E040330EE54C0AC76520165BC4140,189780,0101000020110F0000DCB799DAB5C661C17FE82CE616215041,189516,>1m <=5m,ATBI DATABASE,,1446926010000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253046,3928774,35.471826,-83.721676,Hazel Creek,Hazel Creek,1918.112427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926010000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E610000001BD8515D1EE54C01C20AE62D2BC4140,189778,0101000020110F0000340414A73EC761C158F813F888215041,189514,>1m <=5m,ATBI DATABASE,,1446926009000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252164,3929169,35.475164,-83.731507,Hazel Creek,Shehan Branch,1749.216187,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926009000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000051D96CEF3ED54C0EC5F7D2F4ABC4140,189782,0101000020110F0000004FD1B882C661C1F4AD28EEFA205041,189518,>1m <=5m,ATBI DATABASE,,1446926011000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253377,3928674,35.471007,-83.718002,Hazel Creek,Hazel Creek,1753.534302,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926011000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185148800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000001F614BA1E9E654C064C7C59F88B84140,189793,0101000020110F000051B1EC2188C061C13B0B395B101D5041,189529,>1m <=5m,ATBI DATABASE,,1446926018000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263274,3925149,35.441663,-83.608006,Lower Fontana Lake-Little Tennessee River,Poplar Pole Branch,1961.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926018000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap,No,day,cert,Northshore Road EIS
