the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B693F8444DF854C04B198C9FB3BE4140,191665,0101000020110F0000442746E94CCF61C11ADD5AE57E235041,191386,>1m <=5m,ATBI DATABASE,,1446927081000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238761,3931181,35.48985,-83.879712,Lake Cheoah-Little Tennessee River,Dalton Branch,2134.833984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927081000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000EE975E8159F754C0ACD23E9F46BC4140,191682,0101000020110F00000C2CE0E17DCE61C1A325D536F7205041,191400,>1m <=5m,ATBI DATABASE,,1446927088000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240050,3929039,35.470898,-83.864834,Lake Cheoah-Little Tennessee River,Twentymile Creek,1616.719849,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927088000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DFE15A1309F654C0ACC79823BABD4140,191709,0101000020110F00002145062760CD61C117F5B2AC7A225041,191428,>1m <=5m,ATBI DATABASE,,1446927103000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241950,3930243,35.482236,-83.8443,Lake Cheoah-Little Tennessee River,,2127.276855,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927103000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B6D5517A8BF754C0B62E4B018ABD4140,191675,0101000020110F0000E7A8EE52A8CE61C1B5A0CD7848225041,191395,>1m <=5m,ATBI DATABASE,,1446927085000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239805,3930142,35.480767,-83.867884,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1692.271118,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927085000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B5F7C3111CF254C0732B2DF874BD4140,191783,0101000020110F0000BB8DB0990ACA61C18FEB508832225041,191502,>1m <=5m,ATBI DATABASE,,1446927143000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247510,3929850,35.480125,-83.782959,Eagle Creek,,1971.680664,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927143000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000952BA3C128F354C0FC6A61326FBB4140,191765,0101000020110F0000438ADACBEECA61C1B2E1B19116205041,191484,>1m <=5m,ATBI DATABASE,,1446927134000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245972,3928139,35.464324,-83.799358,Lower Fontana Lake-Little Tennessee River,,1917.917969,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927134000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003268111F12F354C0DBD948F336BB4140,191766,0101000020110F000077298692DBCA61C19E011EEBDB1F5041,191485,>1m <=5m,ATBI DATABASE,,1446927134000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246092,3927945,35.462608,-83.797977,Lower Fontana Lake-Little Tennessee River,,1838.188721,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927134000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C3D1BD9D10F354C0E393612B14BB4140,191768,0101000020110F0000CA21444BDACA61C1F511C8A6B71F5041,191487,>1m <=5m,ATBI DATABASE,,1446927135000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246097,3927827,35.461546,-83.797885,Lower Fontana Lake-Little Tennessee River,,1809.656738,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927135000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000161808BB4EEC54C039DB375211BA4140,191837,0101000020110F000004E2041A1DC561C198DA30C2A91E5041,191555,>1m <=5m,ATBI DATABASE,,1446927174000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255657,3926684,35.453647,-83.692301,Lower Fontana Lake-Little Tennessee River,Calhoun Branch,1840.977539,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927174000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000456E3A20EEED54C0E654ABE9D9BB4140,191827,0101000020110F00007A7BA1E57DC661C1A1DB9CD985205041,191545,>1m <=5m,ATBI DATABASE,,1446927168000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253398,3928293,35.467581,-83.717655,Hazel Creek,Laurel Branch,1931.398804,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927168000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FD5F7BE7E9ED54C009743F0ACBBB4140,191829,0101000020110F0000EFAAC04F7AC661C1DDD1405776205041,191547,>1m <=5m,ATBI DATABASE,,1446927170000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253420,3928242,35.467127,-83.717397,Hazel Creek,Laurel Branch,1948.856323,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927170000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000CD7E68DC77EE54C0152940605ABC4140,191821,0101000020110F000090D91CE0F2C661C1730281D00B215041,191539,>1m <=5m,ATBI DATABASE,,1446927165000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252647,3928749,35.471501,-83.726062,Hazel Creek,Hazel Creek,1738.416016,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927165000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000372030795DEE54C075501E2ACEBC4140,191823,0101000020110F000082EDE676DCC661C1804A2A9184215041,191541,>1m <=5m,ATBI DATABASE,,1446927166000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252804,3929137,35.475035,-83.724451,Hazel Creek,Hazel Creek,1723.997681,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927166000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000001E3294FC90EE54C093CD3D7ABCBC4140,191817,0101000020110F00005911F53608C761C12245151F72215041,191535,>1m <=5m,ATBI DATABASE,,1446927163000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252517,3929085,35.474495,-83.727595,Hazel Creek,,1740.202515,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927163000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_v_opaca,Ilex  opaca v. opaca,20695,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed, , ,cert,INHS plant survey
