the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004A0429FF9AE054C014DCE6D227BD4140,192147,0101000020110F00007241ECD22CBB61C19060E712E2215041,191853,>1m <=5m,ATBI DATABASE,,1446927343000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272323,3928923,35.477771,-83.509456,Noland Creek,Noland Creek,2123.447021,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927343000,GRSM,UNR,,8,,,Noland Creek Trail,Lakeview Drive East,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056326400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003E968FBB80D154C03BCB24D168E04140,192180,0101000020110F0000940B633459AE61C1FBA0E0B4B6465041,191884,>1m <=5m,ATBI DATABASE,,1446927363000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294443,3958958,35.753192,-83.273478,Cosby Creek,Maddron Creek,2442.39917,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927363000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956534400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C7B96EC680D154C096A36E115FE04140,192179,0101000020110F000011C49E3D59AE61C1113C0D81AC465041,191883,>1m <=5m,ATBI DATABASE,,1446927363000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294442,3958925,35.752894,-83.273481,Cosby Creek,Maddron Creek,2460.688477,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927363000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956534400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002B6056B65CD154C012DBFE119DE14140,192181,0101000020110F00005C84CC9C3AAE61C162A03952F9475041,191885,>1m <=5m,ATBI DATABASE,,1446927364000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294666,3959997,35.762599,-83.27128,Cosby Creek,Cole Creek,2117.120361,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927364000,GRSM,UNR,,3,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000041E8AD759ACE54C0359B34FEDEE04140,192185,0101000020110F00001840BECAE2AB61C1212A416232475041,191890,>1m <=5m,ATBI DATABASE,,1446927366000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298549,3959264,35.756798,-83.228173,Cosby Creek,,2686.51001,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927366000,GRSM,UNR,,2,,,Gabes Mountain Trail,Cosby Campground Road A,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008FE1D766C8CE54C0AA93FE2127E14140,192184,0101000020110F0000B3DF80CF09AC61C1792D72E27D475041,191888,>1m <=5m,ATBI DATABASE,,1446927365000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298301,3959514,35.759,-83.230978,Cosby Creek,Hen Wallow Creek,2782.165527,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927365000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000081EBD9F238CC54C02569C10F37E24140,192188,0101000020110F00006A8C5022DDA961C139A546809A485041,191893,>1m <=5m,ATBI DATABASE,,1446927368000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301939,3960353,35.767298,-83.190972,Cosby Creek,,2378.859619,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927368000,GRSM,UNR,,10,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000039A636EA61CC54C0C3716130C1E14140,192186,0101000020110F0000B0133CEDFFA961C1803A08201F485041,191891,>1m <=5m,ATBI DATABASE,,1446927367000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301704,3959959,35.763701,-83.193472,Cosby Creek,Riding Fork,2543.070557,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927367000,GRSM,UNR,,8,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000031F3F20EACC754C0D473CA64B7D94140,192192,0101000020110F00003E34DACAFFA561C1907D9326B63F5041,191897,>1m <=5m,ATBI DATABASE,,1446927370000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308208,3952846,35.700902,-83.119873,Lower Cataloochee Creek,Correll Branch,5349.277832,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446927370000,GRSM,UNR,,3,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1001030400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000592E9A1C7EC754C0BCEABA1DC5DF4140,192193,0101000020110F0000AB6A16C5D8A561C10BC6FE640B465041,191898,>1m <=5m,ATBI DATABASE,,1446927370000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308575,3958087,35.748196,-83.117068,Big Creek,Big Creek,1876.787476,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927370000,GRSM,UNR,,2,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961545600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000CA28F7848AC954C08BD5519BD9DD4140,192191,0101000020110F000018BE432696A761C1A634DF1809445041,191896,>1m <=5m,ATBI DATABASE,,1446927369000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305644,3956486,35.733196,-83.149076,Big Creek,Big Creek,2666.845215,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927369000,GRSM,UNR,,4,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Impatiens_pallida,Impatiens  pallida,20720,Pale Touch-me-not,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Balsaminaceae, ,~,by hand, , ,cert,INHS plant survey
