the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C2DFC2C97CEA54C0BE64616496B84140,196480,0101000020110F00007A0D666091C361C16D8680B51E1D5041,196366,>1m <=5m,ATBI DATABASE,,1446930073000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258204,3925331,35.442083,-83.663862,Lower Fontana Lake-Little Tennessee River,,1752.858643,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930073000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000735104A398E454C07DC6D36C0ABA4140,196482,0101000020110F00007129CE8090BE61C190F79091A21E5041,196367,>1m <=5m,ATBI DATABASE,,1446930074000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266594,3926369,35.453436,-83.571812,Fontana Lake-Tuckasegee River,Glady Branch,1953.515991,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930074000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,observed,No,season,cert,Northshore Road EIS
0101000020E610000089FE3B68B7E354C0BB5E07BF2EBC4140,196483,0101000020110F0000C5E62E37D1BD61C1BBD9CA50DE205041,196368,>1m <=5m,ATBI DATABASE,,1446930074000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267890,3928193,35.47017,-83.558065,Forney Creek,,2004.522827,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930074000,GRSM,UNR,,5,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000516E57BF84DA54C043B49518BDBD4140,196488,0101000020110F00003169FD6601B661C1C1933AC27D225041,196372,>1m <=5m,ATBI DATABASE,,1446930076000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3929213,35.482326,-83.414348,Deep Creek,Indian Creek,2230.031494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930076000,GRSM,UNR,,4,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000006359F1A3FDB54C0A55FF93882BD4140,196486,0101000020110F00007A50CCAC9FB661C10C09E15A40225041,196371,>1m <=5m,ATBI DATABASE,,1446930076000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279929,3929039,35.48053,-83.425723,Deep Creek,Deep Creek,1926.151367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930076000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F718B4A9BDCC54C0EB981B55CBE04140,196494,0101000020110F0000E1D62AD94DAA61C17AC2C2CE1D475041,196378,>1m <=5m,ATBI DATABASE,,1446930080000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301179,3959138,35.756198,-83.199072,Cosby Creek,,2434.036133,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446930080000,GRSM,UNR,,2,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004EF826FF33C854C00A395E9D7DDE4140,196496,0101000020110F00004606AD3E73A661C11B0BC5B2B4445041,196380,>1m <=5m,ATBI DATABASE,,1446930081000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307547,3957000,35.738202,-83.12817,Big Creek,Big Creek,2190.28125,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446930081000,GRSM,UNR,,7,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002EE1ECB00BCB54C0BFC80AD954C64140,196495,0101000020110F00002982A346DDA861C1EDD4F308752B5041,196379,>1m <=5m,ATBI DATABASE,,1446930080000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303067,3936150,35.549457,-83.172585,Lower Raven Fork,Flat Creek,4795.671875,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930080000,GRSM,UNR,,2,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000001892E54D0D354C0A1B11FF7A7C64140,196491,0101000020110F0000168BBFA54FB061C17442ADCCCB2B5041,196375,>1m <=5m,ATBI DATABASE,,1446930078000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290653,3936714,35.551994,-83.309586,Lower Oconaluftee River,,2177.328369,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930078000,GRSM,UNR,,6,,,Newton Bald Trail,Newfound Gap Road South,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000015B256F414D354C0426587EED5C44140,196493,0101000020110F00009FDBA482B0AF61C154C74A5AE5295041,196377,>1m <=5m,ATBI DATABASE,,1446930079000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291653,3935112,35.537772,-83.29815,Lower Oconaluftee River,Oconaluftee River,2114.499268,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930079000,GRSM,UNR,,6,,,Chambers Cemetery Access,Newfound Gap Road South,Valid,Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1376006400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Juncales, , , , ,Juncaceae, ,~,observed,No,day,cert,ATBI
