the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000000DFA54A69CEA54C0D67DCC834BB94140,196574,0101000020110F0000B6D6C66FACC361C1BD15AF87DB1D5041,196452,>1m <=5m,ATBI DATABASE,,1446930122000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258044,3925949,35.44761,-83.665807,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1746.99646,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930122000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000853D3711F6E454C01CFD228799BA4140,196576,0101000020110F000061078ADADFBE61C1FC6E10C6371F5041,196453,>1m <=5m,ATBI DATABASE,,1446930123000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266089,3926867,35.457803,-83.577515,Fontana Lake-Tuckasegee River,,1799.355591,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930123000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056326400000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000049071938E8EF54C04ADB1B2369D14140,196573,0101000020110F0000B662DEB82BC861C178E8345407375041,196451,>1m <=5m,ATBI DATABASE,,1446930122000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251116,3947058,35.636014,-83.748544,Little River-Crooked Creek,,1643.705322,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930122000,GRSM,UNR,,6,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000029709CBB6DF254C0FBF2B2C8E4CD4140,196563,0101000020110F000075E807F54FCA61C149DB33A15A335041,196443,>1m <=5m,ATBI DATABASE,,1446930117000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247461,3944110,35.608538,-83.787943,Abrams Creek Upper,,1867.566162,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930117000,GRSM,UNR,,6,,,Rich Mountain Loop Trail,Cades Cove Loop Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000A2EFFC0FC1F254C014E8E26251CD4140,196560,0101000020110F0000ED15A0BA96CA61C1718C5DA8C0325041,196441,>1m <=5m,ATBI DATABASE,,1446930116000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246986,3943624,35.604039,-83.793029,Abrams Creek Upper,,1780.981689,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930116000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1164240000000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000B54092C478F254C0F56A5EE77CCD4140,196561,0101000020110F0000B13E455459CA61C1E8E6821DEE325041,196442,>1m <=5m,ATBI DATABASE,,1446930116000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247390,3943760,35.605367,-83.788617,Abrams Creek Upper,,1802.006836,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930116000,GRSM,UNR,,6,,,Rich Mountain Loop Trail,Cades Cove Loop Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1164240000000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000005D055CE315F254C041C7E661A3CC4140,196564,0101000020110F00005670C05905CA61C14B8269E70A325041,196444,>1m <=5m,ATBI DATABASE,,1446930118000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247916,3943008,35.598729,-83.782582,Abrams Creek Upper,Fanny Branch,1858.516846,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930118000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000E6BC064A58F354C0D74C8351B2CD4140,196559,0101000020110F00005560782A17CB61C15ECA89E925335041,196440,>1m <=5m,ATBI DATABASE,,1446930115000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246159,3943976,35.606997,-83.80226,Abrams Creek Upper,,1807.006226,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930115000,GRSM,UNR,,7,,,John Oliver Cabin access ,Cades Cove Loop Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899337600000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C10E5F63CDF454C0D4D820CBB6CE4140,196557,0101000020110F0000F5F0FB0954CC61C18BEC660536345041,196438,>1m <=5m,ATBI DATABASE,,1446930114000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,244121,3944917,35.614947,-83.825032,Abrams Creek Upper,Tater Branch,2162.139648,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930114000,GRSM,UNR,,10,,,Indian Grave Gap Trail,Rich Mountain Road (closed Winter),Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,863913600000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000005970350132F654C03CF3382D34CC4140,196554,0101000020110F00006874DEE982CD61C1149665C096315041,196435,>1m <=5m,ATBI DATABASE,,1446930112000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242086,3942798,35.595335,-83.846798,Abrams Creek Upper,,1719.81543,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930112000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Pinopsida, ,Spermatophyta,Coniferophyta, , ,Pinales, , , , ,Cupressaceae, ,~,observed, ,year,cert,Fridley Veg Plots
