the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009B4C26B8E2F654C0933B96C564BC4140,199562,0101000020110F0000BDCE50FF18CE61C1B65CE1A716215041,199415,>1m <=5m,ATBI DATABASE,,1446931798000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240711,3929122,35.471818,-83.857584,Lake Cheoah-Little Tennessee River,Twentymile Creek,1809.72168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931798000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005ACC84C9CEF654C0DCAD8C1D7FBC4140,199564,0101000020110F00000950A61108CE61C1C32AE02032215041,199417,>1m <=5m,ATBI DATABASE,,1446931799000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240824,3929208,35.472622,-83.856367,Lake Cheoah-Little Tennessee River,Twentymile Creek,1807.704224,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931799000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B70532D840F654C0BBD078FC00BD4140,199574,0101000020110F0000587A59848FCD61C150D8B891B9215041,199426,>1m <=5m,ATBI DATABASE,,1446931804000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241623,3929625,35.476586,-83.847704,Lake Cheoah-Little Tennessee River,,2018.79248,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931804000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002DAAC70E2EF754C01D05A3FA1DBE4140,199560,0101000020110F0000B0F474FB58CE61C1B765F9CEE2225041,199413,>1m <=5m,ATBI DATABASE,,1446931797000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240337,3930628,35.485283,-83.862182,Lake Cheoah-Little Tennessee River,,2225.010498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931797000,GRSM,UNR,,3,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007F1A061245EC54C0BBF25D7A16BA4140,199665,0101000020110F0000DA5AB1E514C561C1691E9A22AF1E5041,199512,>1m <=5m,ATBI DATABASE,,1446931851000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255711,3926700,35.453804,-83.691712,Lower Fontana Lake-Little Tennessee River,Calhoun Branch,1871.048828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931851000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000BFBB9ADE93EC54C0CC71FE98E9BD4140,199664,0101000020110F00003C9645D257C561C15ED47C2CAC225041,199511,>1m <=5m,ATBI DATABASE,,1446931851000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255365,3930027,35.483685,-83.696521,Hazel Creek,Hazel Creek,2044.927368,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931851000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000178B536B49ED54C033FF0D86ACBC4140,199663,0101000020110F0000D462F702F2C561C107ADBF7B61215041,199510,>1m <=5m,ATBI DATABASE,,1446931850000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254330,3928981,35.474008,-83.707602,Hazel Creek,Hazel Creek,1938.698975,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931850000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000EB1C8CA395EA54C02C03EC82C5B94140,199667,0101000020110F00007C2F777BA6C361C164CC19B85A1E5041,199514,>1m <=5m,ATBI DATABASE,,1446931853000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258094,3926361,35.451333,-83.665379,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1858.280518,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931853000,GRSM,UNR,,1,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DFD79C1152E454C0B3EF4D7DE7BB4140,199703,0101000020110F00003F13DA9154BE61C12AC0010294205041,199550,>1m <=5m,ATBI DATABASE,,1446931872000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267027,3927974,35.467995,-83.567505,Forney Creek,Forney Creek,1884.80188,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931872000,GRSM,UNR,,3,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,observed,No,season,cert,Northshore Road EIS
0101000020E61000006113F27108E654C0F4E0E81679BA4140,199701,0101000020110F0000F45903E2C8BF61C13C4C8AF3151F5041,199548,>1m <=5m,ATBI DATABASE,,1446931871000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264566,3926797,35.456814,-83.594261,Fontana Lake-Tuckasegee River,,1882.701904,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446931871000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Laportea_canadensis,Laportea  canadensis,21704,Canadian Wood-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Urticaceae, ,~,observed, , ,cert,INHS plant survey
