the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,201422,0101000020110F000082B2585C46D061C1CD45238E69205041,201289,>1m <=5m,ATBI DATABASE,,1446932888000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932888000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D58F6E072F554C087BA7EB73CBA4140,201424,0101000020110F00007D071897E0CC61C1C9610201D71E5041,201291,>1m <=5m,ATBI DATABASE,,1446932890000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242695,3927194,35.454971,-83.835133,Lake Cheoah-Little Tennessee River,,1757.798828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932890000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B2BC5F908AF454C07224AC9A1BBA4140,201425,0101000020110F0000308401491BCC61C19A98D67AB41E5041,201292,>1m <=5m,ATBI DATABASE,,1446932890000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243979,3927045,35.453961,-83.820953,Lake Cheoah-Little Tennessee River,Lewellyn Branch,1810.854858,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932890000,GRSM,UNR,,8,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000045E4DF5AD2F754C05C79B2632FBB4140,201423,0101000020110F000083C31B85E4CE61C1938ED108D41F5041,201290,>1m <=5m,ATBI DATABASE,,1446932889000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239353,3928113,35.462377,-83.87221,Lake Cheoah-Little Tennessee River,Little Tennessee River,1676.127441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932889000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000E9B21AA359EE54C0DCFDB4D555BC4140,201427,0101000020110F0000DB6CD134D9C661C18DDE251407215041,201294,>1m <=5m,ATBI DATABASE,,1446932891000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252814,3928729,35.471363,-83.724217,Hazel Creek,Hazel Creek,1733.713135,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932891000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003986FD278AE854C09E104DEF0EB94140,201432,0101000020110F0000637968E3E9C161C10CEDA75F9C1D5041,201299,>1m <=5m,ATBI DATABASE,,1446932894000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260978,3925665,35.445761,-83.633428,Lower Fontana Lake-Little Tennessee River,,1767.47583,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932894000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008370A2E96EE854C06A0F16761AB94140,201434,0101000020110F000040E515C0D2C161C1158DE663A81D5041,201300,>1m <=5m,ATBI DATABASE,,1446932894000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261130,3925700,35.446113,-83.631765,Lower Fontana Lake-Little Tennessee River,,1758.005859,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932894000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DDBC8FA892E854C03270CEF5EEB84140,201431,0101000020110F00003A7DF81BF1C161C12ED4340A7B1D5041,201298,>1m <=5m,ATBI DATABASE,,1446932893000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260928,3925558,35.444786,-83.633947,Lower Fontana Lake-Little Tennessee River,,1693.744507,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932893000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000045F5D6C096E854C096C34E88EBB84140,201429,0101000020110F0000300F4696F4C161C15E946977771D5041,201296,>1m <=5m,ATBI DATABASE,,1446932892000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260905,3925547,35.444681,-83.634197,Lower Fontana Lake-Little Tennessee River,,1742.273193,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932892000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C9E0CB519BE754C039DED8440AB94140,201436,0101000020110F000038D6520B1FC161C169C06B82971D5041,201302,>1m <=5m,ATBI DATABASE,,1446932895000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262301,3925614,35.445619,-83.618851,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1723.25061,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932895000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C780E73C15E654C056F218C24ABA4140,201438,0101000020110F000069C16FBFD3BF61C1AC12E0A4E51E5041,201304,>1m <=5m,ATBI DATABASE,,1446932896000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264491,3926642,35.4554,-83.595042,Fontana Lake-Tuckasegee River,,1916.026611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932896000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
