the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,202252,0101000020110F0000CC3B17BBB9B261C16510431007485041,202101,>1m <=5m,ATBI DATABASE,,1446933337000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446933337000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E6100000CE00D547F9CD54C0A616376600E44140,202255,0101000020110F0000CE150BE759AB61C1DF53943E794A5041,202104,>1m <=5m,ATBI DATABASE,,1446933339000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299500,3961957,35.781255,-83.218336,Cosby Creek,Fletcher Spring Branch,1872.005859,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933339000,GRSM,UNR,,9,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand, , ,cert,ATBI
0101000020E61000000E59770870D354C00345E58C0CC44140,202253,0101000020110F000091D609DDFDAF61C10EA3552D13295041,202102,>1m <=5m,ATBI DATABASE,,1446933338000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291133,3934442,35.531626,-83.303709,Lower Oconaluftee River,Oconaluftee River,2088.100342,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933338000,GRSM,UNR,,5,,,Chambers Cemetery Access,Newfound Gap Road South,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989884800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000814352E5FDD154C0151DA7FAEBDD4140,202254,0101000020110F0000A2D07681C3AE61C1F3FED1511C445041,202103,>1m <=5m,ATBI DATABASE,,1446933338000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293702,3956818,35.733757,-83.281118,East Fork Dunn Creek,Dunn Creek,3318.202148,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933338000,GRSM,UNR,,6,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000BEB73DCFACEC54C033DF247A57D34140,202251,0101000020110F00000DE9BE006DC561C1B0E85FF50B395041,202100,>1m <=5m,ATBI DATABASE,,1446933336000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255736,3948605,35.6511,-83.698043,Little River-Crooked Creek,Middle Prong Little River,1350.73291,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933336000,GRSM,UNR,,7,,,Lumber Ridge Trail,Tremont Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179273600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,black light trap,No, ,cert,EPT DNA Barcoding
0101000020E6100000C267E16E6DEF54C095A3F249C3C94140,202248,0101000020110F0000069CA070C3C761C1F1EAC2280A2F5041,202097,>1m <=5m,ATBI DATABASE,,1446933334000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251610,3940410,35.576265,-83.74105,Abrams Creek Upper,,3581.402588,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933334000,GRSM,UNR,,6,,,Anthony Creek Trail,Laurel Creek Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,787449600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand,No,month,cert,General
0101000020E610000026E4A96570F254C0DB987AC445CD4140,202244,0101000020110F0000CC5F4C3852CA61C1ABD16285B4325041,202093,>1m <=5m,ATBI DATABASE,,1446933332000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247431,3943572,35.603685,-83.788106,Abrams Creek Upper,Abrams Creek,1812.239258,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933332000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand, ,month,cert,General
0101000020E610000075630F27AFF554C036F2E2CC88CA4140,202239,0101000020110F00002B7CE1C713CD61C150581E69D82F5041,202088,>1m <=5m,ATBI DATABASE,,1446933329000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242768,3941330,35.582293,-83.838811,Abrams Creek Upper,Wildcat Branch,1835.707397,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933329000,GRSM,UNR,,6,,,Rabbit Creek Trail,Forge Creek Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,803174400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand, ,month,cert,General
0101000020E6100000C60A0F7EA8F654C0F39BBF9276CB4140,202234,0101000020110F00004369918BE7CD61C19811C1B9D0305041,202083,>1m <=5m,ATBI DATABASE,,1446933326000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241412,3942175,35.589549,-83.85403,Abrams Creek Upper,Victory Branch,1773.261719,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933326000,GRSM,UNR,,2,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,811123200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand,No,month,cert,General
0101000020E61000004FFDACC797F654C076ACC8AB5DCB4140,202236,0101000020110F0000C69BEF59D9CD61C1DDC4DFB7B6305041,202085,>1m <=5m,ATBI DATABASE,,1446933327000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241502,3942088,35.588789,-83.85301,Abrams Creek Upper,Victory Branch,1860.451904,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933327000,GRSM,UNR,,8,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,779587200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,by hand,No,month,cert,General
0101000020E610000076567D411AF054C0E3783692E1CA4140,202246,0101000020110F0000D4A2E33756C861C1A5B6561D35305041,202095,>1m <=5m,ATBI DATABASE,,1446933333000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,250681,3941406,35.585002,-83.751598,Abrams Creek Upper,Anthony Creek,2846.118164,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933333000,GRSM,UNR,,8,,,Anthony Creek Trail,Laurel Creek Road,Valid,Leucrocuta_thetis,Leucrocuta  thetis,22474,Flat-headed Mayfly A5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990921600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae, ,~,black light trap, , ,cert,ATBI
