the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AD12B0466BF654C0FC7527DFB9BC4140,202865,0101000020110F0000E222DE8DB3CD61C100EF62676F215041,202717,>1m <=5m,ATBI DATABASE,,1446933696000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241381,3929391,35.474416,-83.850293,Lake Cheoah-Little Tennessee River,Twentymile Creek,1917.626587,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933696000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000011F887B60EF754C0D597F507EFBD4140,202863,0101000020110F0000D7B6755C3ECE61C1877F46D7B1225041,202715,>1m <=5m,ATBI DATABASE,,1446933695000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240506,3930464,35.48385,-83.860269,Lake Cheoah-Little Tennessee River,,2358.427979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933695000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000012E1BF7699F554C0330C941E0ABE4140,202870,0101000020110F0000BE3A4D5C01CD61C15E7E2E18CE225041,202722,>1m <=5m,ATBI DATABASE,,1446933699000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242576,3930496,35.484677,-83.837488,Lake Cheoah-Little Tennessee River,,2350.392578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933699000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B98DEF5381F354C021AE5AA161BB4140,202877,0101000020110F0000B97424053ACB61C1E4C12F6C08205041,202729,>1m <=5m,ATBI DATABASE,,1446933702000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245480,3928107,35.46391,-83.804764,Lower Fontana Lake-Little Tennessee River,,1860.862427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933702000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C3D1BD9D10F354C0E393612B14BB4140,202878,0101000020110F0000CA21444BDACA61C1F511C8A6B71F5041,202730,>1m <=5m,ATBI DATABASE,,1446933703000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246097,3927827,35.461546,-83.797885,Lower Fontana Lake-Little Tennessee River,,1809.656738,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933703000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C17560F40DF354C063C748FB01BB4140,202880,0101000020110F0000E4389508D8CA61C15F7ECBAFA41F5041,202732,>1m <=5m,ATBI DATABASE,,1446933704000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246110,3927765,35.460991,-83.797723,Lower Fontana Lake-Little Tennessee River,,1777.609497,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933704000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000D61D46CE0EC54C004948AF613BA4140,202906,0101000020110F0000E7F50CD798C561C1A95A5683AC1E5041,202758,>1m <=5m,ATBI DATABASE,,1446933719000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254850,3926715,35.453727,-83.701194,Lower Fontana Lake-Little Tennessee River,Mill Branch,1832.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933719000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000848075E233EC54C084018AEC1EBA4140,202908,0101000020110F00007917244D06C561C12189EDF0B71E5041,202760,>1m <=5m,ATBI DATABASE,,1446933720000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255807,3926726,35.454062,-83.690663,Lower Fontana Lake-Little Tennessee River,Calhoun Branch,1949.886719,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933720000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E610000065124714D6ED54C0AB6CCBCC81BB4140,202900,0101000020110F00004247617969C661C1B10DBFF729205041,202752,>1m <=5m,ATBI DATABASE,,1446933715000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253523,3927991,35.464892,-83.716187,Hazel Creek,Laurel Branch,1907.869019,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933715000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AB1BB5E322EE54C0C9BDE47288BC4140,202897,0101000020110F00002A8189B5AAC661C17794A3DC3B215041,202749,>1m <=5m,ATBI DATABASE,,1446933714000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253122,3928892,35.472907,-83.720875,Hazel Creek,Hazel Creek,1728.525391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933714000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Lindera_benzoin,Lindera  benzoin,22675,Northern Spicebush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,by hand, , ,cert,INHS plant survey
