the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,203403,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,203241,>1m <=5m,ATBI DATABASE,,1446933998000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933998000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000D263BF7A7EFB54C04531664365BE4140,203386,0101000020110F00000C4DCEF702D261C1C22831292D235041,203226,>1m <=5m,ATBI DATABASE,,1446933990000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234227,3931049,35.487458,-83.929591,Chilhowee Lake,,2053.605713,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933990000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000002ACCD6553CF854C0D3B6DAFDC9BE4140,203490,0101000020110F00009BF271873ECF61C16D4D6A3A96235041,203320,>1m <=5m,ATBI DATABASE,,1446934037000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238857,3931254,35.490532,-83.878678,Lake Cheoah-Little Tennessee River,Dalton Branch,2282.555908,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934037000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000009DE01F7217F854C004F1291CDBBE4140,203499,0101000020110F00002C38E5321FCF61C188099915A8235041,203328,>1m <=5m,ATBI DATABASE,,1446934041000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239063,3931306,35.491055,-83.876427,Lake Cheoah-Little Tennessee River,Dalton Branch,2382.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934041000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003EB4273227F854C0947F0F5982BE4140,203494,0101000020110F00004BDB4C932CCF61C1266F797F4B235041,203323,>1m <=5m,ATBI DATABASE,,1446934039000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238967,3931008,35.488346,-83.877388,Lake Cheoah-Little Tennessee River,Dalton Branch,2086.394775,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934039000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B693F8444DF854C04B198C9FB3BE4140,203487,0101000020110F0000442746E94CCF61C11ADD5AE57E235041,203318,>1m <=5m,ATBI DATABASE,,1446934036000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238761,3931181,35.48985,-83.879712,Lake Cheoah-Little Tennessee River,Dalton Branch,2134.833984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934036000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003D768C3520F854C04664404C7BBE4140,203496,0101000020110F0000A1793CA426CF61C1F494F02444235041,203325,>1m <=5m,ATBI DATABASE,,1446934040000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239005,3930983,35.488131,-83.876962,Lake Cheoah-Little Tennessee River,Dalton Branch,2047.277954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934040000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,203463,0101000020110F000082B2585C46D061C1CD45238E69205041,203296,>1m <=5m,ATBI DATABASE,,1446934025000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934025000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000005974E3C4F4F454C01AF3D5B62ABA4140,203808,0101000020110F00002448387C75CC61C1B510E13BC41E5041,203622,>1m <=5m,ATBI DATABASE,,1446934192000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243392,3927113,35.454422,-83.827435,Lake Cheoah-Little Tennessee River,,1842.969482,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934192000,GRSM,UNR,,7,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B2BC5F908AF454C07224AC9A1BBA4140,203821,0101000020110F0000308401491BCC61C19A98D67AB41E5041,203635,>1m <=5m,ATBI DATABASE,,1446934199000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243979,3927045,35.453961,-83.820953,Lake Cheoah-Little Tennessee River,Lewellyn Branch,1810.854858,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934199000,GRSM,UNR,,8,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000075D7BCC8BF754C02C39DD68B6BA4140,203532,0101000020110F00003571B698A8CE61C18D0855E3551F5041,203362,>1m <=5m,ATBI DATABASE,,1446934057000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239732,3927692,35.458685,-83.867903,Lake Cheoah-Little Tennessee River,Little Tennessee River,1542.627441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934057000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
