the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000539DB5ABD5F454C0478A3CE1D6BA4140,206333,0101000020110F00007BB8C9125BCC61C113F78CBE771F5041,206094,>1m <=5m,ATBI DATABASE,,1446935567000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243581,3927691,35.459676,-83.825537,Lake Cheoah-Little Tennessee River,Sweet Branch,1673.394531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446935567000,GRSM,UNR,,7,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,925516800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000ABC6960ECBF454C05C7C1D87EDBA4140,206334,0101000020110F00004DFF220F52CC61C1A368FF5B8F1F5041,206095,>1m <=5m,ATBI DATABASE,,1446935568000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243642,3927766,35.460367,-83.824889,Lake Cheoah-Little Tennessee River,Sweet Branch,1709.420776,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446935568000,GRSM,UNR,,5,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,925516800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000E9889FA6A6E454C0AC5D0B61D2BA4140,203870,0101000020110F000085AFC2679CBE61C144962A0D731F5041,206132,>1m <=5m,ATBI DATABASE,,1446935589000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266534,3927048,35.459538,-83.572667,Fontana Lake-Tuckasegee River,,2084.881592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446935589000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,989280000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000036195DF7B9E354C06CE253F619BC4140,204135,0101000020110F00008CB19563D3BD61C1735A38A4C8205041,206134,>1m <=5m,ATBI DATABASE,,1446935591000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267874,3928123,35.469535,-83.558221,Forney Creek,,1987.629761,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446935591000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,956102400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000041C5973ABCE154C01BBAD4662EBA4140,206343,0101000020110F00000892087822BC61C1E16F1D14C81E5041,206140,>1m <=5m,ATBI DATABASE,,1446935594000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270655,3926386,35.454534,-83.52711,Noland Creek,Noland Creek,1790.060791,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446935594000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,953510400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000B504C501C7D954C0EBAD1411A4BF4140,206344,0101000020110F0000E6A2704160B561C155F4F5B579245041,206141,>1m <=5m,ATBI DATABASE,,1446935595000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282057,3930836,35.497188,-83.402767,Deep Creek,Indian Creek,2343.301025,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446935595000,GRSM,UNR,,1,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,920592000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000AAE6464C41D154C0D4E8B114A6E14140,202285,0101000020110F0000A9A25B5423AE61C1A9FA89C002485041,206151,>1m <=5m,ATBI DATABASE,,1446935600000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294818,3960024,35.762874,-83.269606,Cosby Creek,,2120.901855,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446935600000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,968371200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000003B884CE294CD54C0026836BDFBE24140,203240,0101000020110F0000B921B9A204AB61C10A7FB25F68495041,206155,>1m <=5m,ATBI DATABASE,,1446935603000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300034,3961062,35.773301,-83.212208,Cosby Creek,Cosby Creek,1811.310303,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446935603000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,923529600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000000274535BCECD54C0FFA9B593F5E34140,203277,0101000020110F0000846C807235AB61C1BBF126EA6D4A5041,206153,>1m <=5m,ATBI DATABASE,,1446935602000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299736,3961915,35.780925,-83.215716,Cosby Creek,Cosby Creek,1687.920166,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446935602000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,926035200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000CA60F22ABEC754C0BE62CDD58AD14140,206354,0101000020110F00008FEB342C0FA661C1F6C2148B2A375041,206159,>1m <=5m,ATBI DATABASE,,1446935605000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307955,3945764,35.637043,-83.120978,Upper Cataloochee Creek,Palmer Creek,2885.987061,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446935605000,GRSM,UNR,,6,,,Pretty Hollow Gap Trail,Cataloochee Horse Camp,Valid,Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,951955200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Anura, , , , ,Ranidae, ,~,observed, , ,cert,ATBI Amphibians
