the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001534268AB1FB54C083EAAFEFB4BF4140,207216,0101000020110F0000EFF259552ED261C1AF50114F8B245041,207044,>1m <=5m,ATBI DATABASE,,1446936105000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233978,3932194,35.497702,-83.932707,Chilhowee Lake,Dalton Gap Branch,1674.55835,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936105000,GRSM,UNR,,5,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,311817600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000E1A52AB93FF854C0278723DD89BB4140,207235,0101000020110F0000B410116841CF61C11F075F6032205041,207065,>1m <=5m,ATBI DATABASE,,1446936115000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238756,3928437,35.465138,-83.878885,Lake Cheoah-Little Tennessee River,Twentymile Creek,1536.501831,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936115000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000EE09D57745F854C03DBDE41C88BB4140,207234,0101000020110F0000F6781A4946CF61C183D4F48C30205041,207064,>1m <=5m,ATBI DATABASE,,1446936115000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238724,3928432,35.465085,-83.879236,Lake Cheoah-Little Tennessee River,Twentymile Creek,1503.875977,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936115000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1019865600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000A463165389F154C04CE6FA6C14BE4140,207251,0101000020110F000098564CF88DC961C1887B17D8D8225041,207082,>1m <=5m,ATBI DATABASE,,1446936124000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248338,3930367,35.484992,-83.774002,Eagle Creek,Eagle Creek,1718.006592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936124000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087257600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E6100000B95889C08BF154C015ABB519EFBD4140,207250,0101000020110F00009D56180890C961C14C02CAE9B1225041,207081,>1m <=5m,ATBI DATABASE,,1446936124000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248321,3930241,35.483852,-83.774151,Eagle Creek,Eagle Creek,1710.458008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936124000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000009A80E083F154C05C941F19B4BD4140,207252,0101000020110F00008C6AE05789C961C14A6FBF5F74225041,207083,>1m <=5m,ATBI DATABASE,,1446936125000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248359,3930040,35.482052,-83.77367,Eagle Creek,Eagle Creek,1969.592407,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936125000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063411200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000005994846A41EE54C095B811CD7EBC4140,203715,0101000020110F00004F78A8A2C4C661C1FE19F2CC31215041,207087,>1m <=5m,ATBI DATABASE,,1446936127000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252952,3928864,35.472613,-83.722739,Hazel Creek,Hazel Creek,1901.817383,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936127000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000F78F184C62EE54C0F3BD5E18ABBC4140,203622,0101000020110F0000E1B3B58FE0C661C19D1D62FE5F215041,207084,>1m <=5m,ATBI DATABASE,,1446936125000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252774,3929019,35.473965,-83.724745,Hazel Creek,Hazel Creek,1717.382202,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936125000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000A9CD237246EE54C0AE12720688BC4140,203398,0101000020110F00003B5F3CE8C8C661C187D08A6B3B215041,207085,>1m <=5m,ATBI DATABASE,,1446936126000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252925,3928896,35.472894,-83.723046,Hazel Creek,Hazel Creek,1850.35498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936126000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,498355200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000002E2C945998ED54C04446A2F87ABD4140,203792,0101000020110F00001096240C35C661C12F4AC8CA38225041,207088,>1m <=5m,ATBI DATABASE,,1446936127000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253912,3929692,35.480308,-83.71242,Hazel Creek,Hazel Creek,2017.213379,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936127000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Luxilus_coccogenis,Luxilus  coccogenis,23432,Warpaint Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
