the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000057836A62A5F554C09D15503652BE4140,209249,0101000020110F00004F41157C0BCD61C1CD43234A19235041,209071,>1m <=5m,ATBI DATABASE,,1446937253000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242517,3930742,35.486877,-83.838215,Lake Cheoah-Little Tennessee River,Proctor Branch,2436.567871,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446937253000,GRSM,UNR,,6,,,Long Hungry Ridge Trail,Payne Cemetery Access Road,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084060800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E6100000ED7E7B5569CF54C00380B8F2ACE24140,209285,0101000020110F0000CE43857D92AC61C154D9B4E515495041,209107,>1m <=5m,ATBI DATABASE,,1446937275000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297443,3960854,35.770896,-83.2408,Cosby Creek,Hen Wallow Creek,1833.250366,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937275000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996537600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000270F18DF48C654C0746BA9EED7D94140,209294,0101000020110F000023E7CB21D2A461C1A231592ED83F5041,209116,>1m <=5m,ATBI DATABASE,,1446937280000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310172,3952914,35.701895,-83.098194,Cold Springs Creek-Pigeon River,Gilliland Creek,3755.490234,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937280000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091059200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000F10DD15D5CCD54C081B8319120D24140,209288,0101000020110F0000B2F6A2A2D4AA61C103D7B204C7375041,209110,>1m <=5m,ATBI DATABASE,,1446937276000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300017,3946446,35.641612,-83.208759,Straight Fork Raven Fork,Table Rock Branch,4442.0625,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937276000,GRSM,UNR,,7,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090972800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A11300EB8ACD54C06DC9414817D04140,209286,0101000020110F00003388E72BFCAA61C1DA40E14BA6355041,209108,>1m <=5m,ATBI DATABASE,,1446937275000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299720,3944687,35.625704,-83.2116,Straight Fork Raven Fork,,3198.252441,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937275000,GRSM,UNR,,3,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003536000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E61000000DC6040C5DCD54C0563CF723A7D14140,209287,0101000020110F0000391F9636D5AA61C10002651F48375041,209109,>1m <=5m,ATBI DATABASE,,1446937276000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300004,3946035,35.637906,-83.2088,Straight Fork Raven Fork,,4261.521973,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937276000,GRSM,UNR,,4,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003536000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000015B3D3ED9C354C06EE00DF7FECE4140,209302,0101000020110F00004D6FF97BC0A261C13B91C16B81345041,209124,>1m <=5m,ATBI DATABASE,,1446937284000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313419,3943440,35.617149,-83.060131,Upper Cataloochee Creek,,4172.199219,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937284000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Cataloochee Entrance Road,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118275200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000006AD90ED11EC754C054A4D3DE93CD4140,209293,0101000020110F000014B4F1D587A561C1B20E2A1B06335041,209115,>1m <=5m,ATBI DATABASE,,1446937279000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308762,3942309,35.606068,-83.111252,Upper Cataloochee Creek,,3399.046143,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937279000,GRSM,UNR,,4,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1028332800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B61B9B2242C454C052BC048630CC4140,209300,0101000020110F00007F8AB29119A361C139609DEF92315041,209122,>1m <=5m,ATBI DATABASE,,1446937283000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312788,3941020,35.595224,-83.066533,Lower Johnathans Creek,,3856.797607,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446937283000,GRSM,UNR,,10,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027123200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000F1F020CEC7C454C003E22B4A61CB4140,209299,0101000020110F00004D5059188BA361C120B85E7FBA305041,209121,>1m <=5m,ATBI DATABASE,,1446937282000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312034,3940334,35.5889,-83.074691,Lower Johnathans Creek,Cove Creek,4885.713867,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446937282000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1124409600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,flight intercept trap, , ,cert,ATBI Coleoptera Survey
0101000020E6100000766720A8F0C454C0D455295928CB4140,209297,0101000020110F0000E56C54CAADA361C1DF47A9077F305041,209119,>1m <=5m,ATBI DATABASE,,1446937281000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311804,3940146,35.587162,-83.077185,Upper Cataloochee Creek,Cove Creek,4932.375977,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937281000,GRSM,UNR,,6,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Machaerodes_carinatus,Machaerodes  carinatus,23647,Carinate Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026864000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
