the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDAEC82966CD54C085CF380FD2DF4140,588,0101000020110F0000096CA7F4DCAA61C1933D72F018465041,209256,>1m <=5m,ATBI DATABASE,,1446937361000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300230,3958315,35.748591,-83.209357,Cosby Creek,,2594.519531,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937361000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155945600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000534AB90F61CD54C07974232CEADF4140,209435,0101000020110F0000D8AD6A9FD8AA61C18FB53A2C32465041,209257,>1m <=5m,ATBI DATABASE,,1446937361000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300260,3958396,35.749327,-83.209045,Cosby Creek,,2535.41626,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937361000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155945600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E61000009A8D4CC210CE54C0C4AFE1B423DF4140,209434,0101000020110F00004D1CBCD76DAB61C1DA26A57D62455041,209254,>1m <=5m,ATBI DATABASE,,1446937360000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299275,3957746,35.74327,-83.219769,Cosby Creek,Inadu Creek,3025.041016,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937360000,GRSM,UNR,,9,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1129248000000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E61000006F4D873C0CCE54C01CD4402B24DF4140,209354,0101000020110F000078A070006AAB61C18A4582F962455041,209255,>1m <=5m,ATBI DATABASE,,1446937361000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299300,3957747,35.743284,-83.219493,Cosby Creek,Inadu Creek,3017.321045,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937361000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1129248000000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E610000085141B0A17CE54C0418BC85712DF4140,209430,0101000020110F000072DE3E2D73AB61C1F5B8525250455041,209249,>1m <=5m,ATBI DATABASE,,1446937357000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299239,3957688,35.74274,-83.220152,Cosby Creek,Inadu Creek,3114.058105,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937357000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1129248000000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,209433,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,209252,>1m <=5m,ATBI DATABASE,,1446937359000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937359000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E610000061985888EACD54C0FE578CB064D34140,209432,0101000020110F00000E9A85604DAB61C182F7A1C419395041,209251,>1m <=5m,ATBI DATABASE,,1446937358000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299256,3947561,35.651503,-83.217436,Straight Fork Raven Fork,Balsam Corner Creek,3904.60498,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937358000,GRSM,UNR,,7,,,Balsam Mountain Trail,Beech Gap Trailhead Parking #2,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,scraping, , ,cert,ATBI Tardigrades
0101000020E6100000C6A3D8FAB7C554C0AA9F25322DD04140,209440,0101000020110F00002CBE561357A461C1DCB76E31BD355041,209260,>1m <=5m,ATBI DATABASE,,1446937364000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310794,3944519,35.626372,-83.08935,Upper Cataloochee Creek,Caldwell Fork,2670.378662,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937364000,GRSM,UNR,,5,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1018137600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand,No, ,cert,ATBI Tardigrades
0101000020E6100000B1A74BC989C754C03368626651CF4140,209439,0101000020110F000078BC62AFE2A561C19449B08BD7345041,209259,>1m <=5m,ATBI DATABASE,,1446937363000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308203,3943830,35.619665,-83.117781,Upper Cataloochee Creek,Rough Fork,2796.477051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937363000,GRSM,UNR,,5,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1020643200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,sample substrate, ,day,cert,ATBI Tardigrades
0101000020E61000003EF9DF3D2CC554C0847C54EC3DCB4140,209449,0101000020110F0000A2D05765E0A361C1388AD28F95305041,209269,>1m <=5m,ATBI DATABASE,,1446937368000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311476,3940226,35.58782,-83.080821,Upper Cataloochee Creek,McKee Branch,4680.64502,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937368000,GRSM,UNR,,6,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_harmsworthi,Macrobiotus  harmsworthi,23669,Harmsworth`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
