the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000061985888EACD54C0FE578CB064D34140,209481,0101000020110F00000E9A85604DAB61C182F7A1C419395041,209300,>1m <=5m,ATBI DATABASE,,1446937387000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299256,3947561,35.651503,-83.217436,Straight Fork Raven Fork,Balsam Corner Creek,3904.60498,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937387000,GRSM,UNR,,7,,,Balsam Mountain Trail,Beech Gap Trailhead Parking #2,Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000E234C394C8C454C0A4FB2444E7CA4140,209485,0101000020110F0000C6750CC18BA361C10D03E50F3B305041,209304,>1m <=5m,ATBI DATABASE,,1446937389000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312021,3939921,35.585176,-83.074739,Lower Johnathans Creek,,4851.424316,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937389000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E61000003EF9DF3D2CC554C0847C54EC3DCB4140,209484,0101000020110F0000A2D05765E0A361C1388AD28F95305041,209303,>1m <=5m,ATBI DATABASE,,1446937388000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311476,3940226,35.58782,-83.080821,Upper Cataloochee Creek,McKee Branch,4680.64502,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937388000,GRSM,UNR,,6,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000594F858930C554C0FC0D86863ACB4140,209483,0101000020110F000066C8450BE4A361C1BF406E0392305041,209302,>1m <=5m,ATBI DATABASE,,1446937388000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311452,3940215,35.587717,-83.081084,Upper Cataloochee Creek,McKee Branch,4672.024902,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937388000,GRSM,UNR,,5,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000734A5CA131C554C09515F2312DCB4140,209482,0101000020110F0000B1CAF0F8E4A361C10CA57A1784305041,209301,>1m <=5m,ATBI DATABASE,,1446937387000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311445,3940170,35.58731,-83.08115,Upper Cataloochee Creek,McKee Branch,4630.607422,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937387000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000926E5355EBC354C005B916FD86CB4140,209486,0101000020110F00001C4828D9CFA261C17213A0DEE1305041,209305,>1m <=5m,ATBI DATABASE,,1446937389000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313256,3940436,35.59005,-83.061235,Lower Johnathans Creek,,4494.515625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937389000,GRSM,UNR,,1,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000512000000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand,No, ,cert,ATBI Tardigrades
0101000020E610000019AD360EDBC354C01783C8A886CB4140,209487,0101000020110F0000F10C0706C2A261C18FD19386E1305041,209306,>1m <=5m,ATBI DATABASE,,1446937390000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313346,3940433,35.59004,-83.060241,Lower Johnathans Creek,Messer Branch,4522.999512,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937390000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058227200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000270DD0DE62D354C024BE7D97FEC04140,209478,0101000020110F000093CE30AFF2AF61C1F3EA2739E3255041,209297,>1m <=5m,ATBI DATABASE,,1446937384000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291144,3931793,35.507763,-83.302906,Lower Oconaluftee River,Oconaluftee River,2005.164795,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937384000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995587200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000772C650266D354C004563317EAC04140,209477,0101000020110F00006E6CAC59F5AF61C171B688D5CD255041,209296,>1m <=5m,ATBI DATABASE,,1446937384000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291125,3931724,35.507137,-83.303097,Lower Oconaluftee River,Oconaluftee River,2011.453613,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937384000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995587200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000E58B65165BD354C0745A0F1D0AC14140,209480,0101000020110F00005AF50713ECAF61C1D13F813EEF255041,209299,>1m <=5m,ATBI DATABASE,,1446937386000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291188,3931831,35.508114,-83.302431,Lower Oconaluftee River,Oconaluftee River,2009.75,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937386000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995587200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
