the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000975360D333F854C003FC22BA8ABB4140,209605,0101000020110F000011A7464D37CF61C11202D24633205041,209430,>1m <=5m,ATBI DATABASE,,1446937460000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238822,3928438,35.465164,-83.878159,Lake Cheoah-Little Tennessee River,Twentymile Creek,1653.456909,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446937460000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 1,Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021507200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000DDAEC82966CD54C085CF380FD2DF4140,209679,0101000020110F0000096CA7F4DCAA61C1933D72F018465041,209502,>1m <=5m,ATBI DATABASE,,1446937503000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300230,3958315,35.748591,-83.209357,Cosby Creek,,2594.519531,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937503000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155945600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000534AB90F61CD54C07974232CEADF4140,209681,0101000020110F0000D8AD6A9FD8AA61C18FB53A2C32465041,209504,>1m <=5m,ATBI DATABASE,,1446937504000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300260,3958396,35.749327,-83.209045,Cosby Creek,,2535.41626,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937504000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155945600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,209678,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,209501,>1m <=5m,ATBI DATABASE,,1446937502000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446937502000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E610000061985888EACD54C0FE578CB064D34140,209677,0101000020110F00000E9A85604DAB61C182F7A1C419395041,209500,>1m <=5m,ATBI DATABASE,,1446937501000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299256,3947561,35.651503,-83.217436,Straight Fork Raven Fork,Balsam Corner Creek,3904.60498,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446937501000,GRSM,UNR,,7,,,Balsam Mountain Trail,Beech Gap Trailhead Parking #2,Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000B1A74BC989C754C03368626651CF4140,209683,0101000020110F000078BC62AFE2A561C19449B08BD7345041,209506,>1m <=5m,ATBI DATABASE,,1446937505000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308203,3943830,35.619665,-83.117781,Upper Cataloochee Creek,Rough Fork,2796.477051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937505000,GRSM,UNR,,5,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1020643200000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000E3CC3520B0C454C01A05729DC7CA4140,209692,0101000020110F0000ECA6F5FB76A361C1A5E513021A305041,209515,>1m <=5m,ATBI DATABASE,,1446937509000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312154,3939811,35.58421,-83.073246,Lower Johnathans Creek,,4806.24707,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937509000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021334400000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000E234C394C8C454C0A4FB2444E7CA4140,209691,0101000020110F0000C6750CC18BA361C10D03E50F3B305041,209514,>1m <=5m,ATBI DATABASE,,1446937509000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312021,3939921,35.585176,-83.074739,Lower Johnathans Creek,,4851.424316,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937509000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E61000003EF9DF3D2CC554C0847C54EC3DCB4140,209690,0101000020110F0000A2D05765E0A361C1388AD28F95305041,209513,>1m <=5m,ATBI DATABASE,,1446937508000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311476,3940226,35.58782,-83.080821,Upper Cataloochee Creek,McKee Branch,4680.64502,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937508000,GRSM,UNR,,6,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000594F858930C554C0FC0D86863ACB4140,209687,0101000020110F000066C8450BE4A361C1BF406E0392305041,209510,>1m <=5m,ATBI DATABASE,,1446937507000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311452,3940215,35.587717,-83.081084,Upper Cataloochee Creek,McKee Branch,4672.024902,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446937507000,GRSM,UNR,,5,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Macrobiotus_pallarii,Macrobiotus  pallarii,23679,Pallar`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Eutardigrada, , ,Protostomia,Ecdysozoa, ,Parachela, , , , ,Macrobiotidae, ,~,by hand, , ,cert,ATBI Tardigrades
