the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000042B31B18C1F754C0B45756DC30BC4140,211581,0101000020110F00003BB03FDCD5CE61C15B3D4985E0205041,211353,>1m <=5m,ATBI DATABASE,,1446938532000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239474,3928982,35.470234,-83.871156,Lake Cheoah-Little Tennessee River,Twentymile Creek,1425.765137,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938532000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000007B356BE9A4F754C0D5B7D65BE6BC4140,211583,0101000020110F00000A90CFECBDCE61C1747697CC9D215041,211355,>1m <=5m,ATBI DATABASE,,1446938533000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239648,3929592,35.475773,-83.869436,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1574.895386,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938533000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C651BE42B4F754C0DC522F418BBC4140,211582,0101000020110F0000ABC9FCF5CACE61C141BDB8C93E215041,211354,>1m <=5m,ATBI DATABASE,,1446938532000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239554,3929286,35.472993,-83.870373,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1491.161621,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938532000,GRSM,UNR,,4,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000005D439715FF754C0E38D17D559BC4140,211585,0101000020110F000083AFB0EC82CE61C1CEF0613F0B215041,211357,>1m <=5m,ATBI DATABASE,,1446938533000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240019,3929105,35.471485,-83.865196,Lake Cheoah-Little Tennessee River,Twentymile Creek,1724.980469,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938533000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E521CD0495F754C03C12B3874BBD4140,211584,0101000020110F0000A32A556DB0CE61C1C52F2E5007225041,211356,>1m <=5m,ATBI DATABASE,,1446938533000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239746,3929932,35.478861,-83.868466,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1649.55542,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938533000,GRSM,UNR,,4,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000E95C8786FFF754C0C6C7C8157BBE4140,211580,0101000020110F000048A31FE20ACF61C1637F20EC43235041,211352,>1m <=5m,ATBI DATABASE,,1446938531000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239186,3930977,35.488124,-83.874967,Lake Cheoah-Little Tennessee River,Dalton Branch,2012.79248,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938531000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000059FCD47B61F354C03DCEF9D886BB4140,211590,0101000020110F0000D7DF8EF91ECB61C13FAE2F3B2F205041,211361,>1m <=5m,ATBI DATABASE,,1446938535000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245660,3928228,35.465046,-83.802821,Lower Fontana Lake-Little Tennessee River,Payne Branch,1794.760986,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938535000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000F00B74F30EC54C09D5D37DF27B94140,211599,0101000020110F00001D9D3F4403C561C1E0DE035FB61D5041,211371,>1m <=5m,ATBI DATABASE,,1446938541000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255804,3925889,35.446522,-83.690445,Lower Fontana Lake-Little Tennessee River,,1920.650146,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938541000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1055980800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000389B822033EC54C0A4C17E7332BA4140,211601,0101000020110F000004926BA805C561C1B6BDF84CCC1E5041,211372,>1m <=5m,ATBI DATABASE,,1446938541000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255813,3926792,35.454658,-83.690616,Lower Fontana Lake-Little Tennessee River,Calhoun Branch,1949.803833,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938541000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000CABE80A94ED54C024DCB977A7BD4140,211598,0101000020110F0000FE1DA56331C661C183875E3367225041,211370,>1m <=5m,ATBI DATABASE,,1446938540000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253940,3929842,35.481666,-83.712157,Hazel Creek,Hazel Creek,1874.270752,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938540000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000825619F3FEED54C064EEFBF351BC4140,211595,0101000020110F0000D51B752F8CC661C1810FD90703215041,211367,>1m <=5m,ATBI DATABASE,,1446938539000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253316,3928702,35.471244,-83.718682,Hazel Creek,Hazel Creek,1738.276611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938539000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Magnolia_tripetala,Magnolia  tripetala,23802,Umbrella Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,by hand, , ,cert,INHS plant survey
