the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DA06D7A467F754C01D4B84BF3FBC4140,212436,0101000020110F0000599FE4E389CE61C190D6B70BF0205041,212193,>1m <=5m,ATBI DATABASE,,1446939008000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239971,3929018,35.470689,-83.865697,Lake Cheoah-Little Tennessee River,Twentymile Creek,1602.398926,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939008000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AD114A2A36F154C04CD18AA2D9BD4140,212538,0101000020110F00001E1BB75747C961C142D44D869B225041,212294,>1m <=5m,ATBI DATABASE,,1446939061000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248793,3930155,35.483197,-83.768927,Eagle Creek,,2063.259033,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939061000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000AA5B9126EBED54C005F91FC156BD4140,212568,0101000020110F00004D99C05E7BC661C1AB48020513225041,212325,>1m <=5m,ATBI DATABASE,,1446939079000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253450,3929582,35.479203,-83.717473,Hazel Creek,,2082.106689,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939079000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000005777C88A1EA54C015D9F6999ABB4140,212571,0101000020110F0000027A8895B0C361C17ED174D443205041,212328,>1m <=5m,ATBI DATABASE,,1446939081000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258071,3927951,35.465649,-83.666105,Lower Fontana Lake-Little Tennessee River,,2507.414062,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939081000,GRSM,UNR,,9,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000E9EFFDA5EE654C0C1419E0406BA4140,212605,0101000020110F00001F266E4512C061C1FBB847F99D1E5041,212359,>1m <=5m,ATBI DATABASE,,1446939098000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264077,3926420,35.453302,-83.599535,Fontana Lake-Tuckasegee River,,1975.234741,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939098000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F5D1908EBEE754C00EAF20E4F4BF4140,212604,0101000020110F00000471AAF83CC161C19EDBD106CE245041,212358,>1m <=5m,ATBI DATABASE,,1446939098000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262265,3931614,35.499654,-83.621002,Hazel Creek,,5175.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939098000,GRSM,UNR,,10,,,High Rocks Trail,Lakeview Drive East Parking #4,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1091059200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C5DB345D3FE054C05A2FFD80C4BF4140,212623,0101000020110F0000924C1300DFBA61C1426F808C9B245041,212377,>1m <=5m,ATBI DATABASE,,1446939108000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272888,3931174,35.498177,-83.503863,Noland Creek,Holder Cove Branch,2626.955322,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939108000,GRSM,UNR,,8,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000093AB11273BE054C07C1C0717D8BE4140,212624,0101000020110F00005EB4696CDBBA61C1C26123EFA4235041,212378,>1m <=5m,ATBI DATABASE,,1446939108000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272891,3930373,35.490963,-83.503606,Noland Creek,Noland Creek,2426.181641,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939108000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000955F43C61CE154C0DA88F78183BC4140,212617,0101000020110F00003C8D500B9BBB61C1207B7DB536215041,212371,>1m <=5m,ATBI DATABASE,,1446939105000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271590,3928385,35.472756,-83.517377,Noland Creek,Noland Creek,2262.606445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939105000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008DF16EB338E154C0B283E7310CBC4140,212616,0101000020110F0000266E1BC3B2BB61C1CB23E148BA205041,212370,>1m <=5m,ATBI DATABASE,,1446939104000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271425,3927985,35.469115,-83.519082,Noland Creek,Noland Creek,2032.01355,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939104000,GRSM,UNR,,9,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,212619,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,212373,>1m <=5m,ATBI DATABASE,,1446939106000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939106000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,207866,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,212367,>1m <=5m,ATBI DATABASE,,1446939103000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939103000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004F1654DA76E154C0395DEB92BEBB4140,212615,0101000020110F000002403C8CE7BB61C1B0965E5769205041,212369,>1m <=5m,ATBI DATABASE,,1446939104000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271074,3927731,35.466747,-83.522875,Noland Creek,,2081.526367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939104000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FDD526473E254C0899E871F4BBB4140,212611,0101000020110F000004227F07BEBC61C1388611F4F01F5041,212364,>1m <=5m,ATBI DATABASE,,1446939101000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269665,3927376,35.463223,-83.538289,Noland Creek,,2218.819824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939101000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Medeola_virginiana,Medeola  virginiana,22774,Indian Cucumber-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085529600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
