the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002D1F5673B1F354C0859E69A329BB4140,212955,0101000020110F0000BA6403E462CB61C1DADA9F09CE1F5041,212721,>1m <=5m,ATBI DATABASE,,1446939298000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245208,3927925,35.462201,-83.807702,Lower Fontana Lake-Little Tennessee River,,1957.863037,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939298000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000A991BE92E9E354C0633ABD2A8EBD4140,212969,0101000020110F0000D2BE54D2FBBD61C1DAD307D04C225041,212735,>1m <=5m,ATBI DATABASE,,1446939306000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267643,3929390,35.480894,-83.561127,Forney Creek,,2268.97168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939306000,GRSM,UNR,,4,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B1BD581051E354C0BA68E986BDBB4140,212970,0101000020110F0000823F9C4B7ABD61C19A08E53F68205041,212736,>1m <=5m,ATBI DATABASE,,1446939306000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268447,3927795,35.466715,-83.551819,Fontana Lake-Tuckasegee River,Goldmine Branch,2411.345215,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939306000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000037A42BBAD0E254C0B721C846C2BA4140,212971,0101000020110F0000AC568C4C0DBD61C18E3CEC42621F5041,212737,>1m <=5m,ATBI DATABASE,,1446939307000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269136,3926926,35.459047,-83.543986,Fontana Lake-Tuckasegee River,Hyatt Branch,2071.775879,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939307000,GRSM,UNR,,2,,,Tunnel Bypass Trail NC,Lakeview Drive East Parking #4,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051833600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000768A4A3B1DF54C0F5A1C8F01EBA4140,212975,0101000020110F0000EDA621A266BA61C12A7A5AF5B71E5041,212741,>1m <=5m,ATBI DATABASE,,1446939309000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273549,3926260,35.454062,-83.495213,Fontana Lake-Tuckasegee River,Little Peachtree Creek,2351.469727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939309000,GRSM,UNR,,5,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1219449600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000009D2B40974DCA54C0AB74F61CB8E14140,212988,0101000020110F0000D6ADDDD23BA861C188CD31A015485041,212754,>1m <=5m,ATBI DATABASE,,1446939315000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304641,3959863,35.763424,-83.160982,Big Creek,Chestnut Branch,4899.053711,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939315000,GRSM,UNR,,7,,,Mount Cammerer Trail,Cosby Campground Road B,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645753600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003920FACF29C954C09B18AEE8F8E14140,212989,0101000020110F00004D86250444A761C17002257259485041,212755,>1m <=5m,ATBI DATABASE,,1446939316000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306256,3960047,35.765402,-83.143173,Pigeon River-Cripple Creek,,3442.266846,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939316000,GRSM,UNR,,6,,,Appalachian Trail,Big Creek Entrance Road,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000012B5798B83CE54C05FB3DAD879DF4140,212987,0101000020110F00003E089354CFAB61C1B2F624A1BC455041,212753,>1m <=5m,ATBI DATABASE,,1446939315000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298648,3958052,35.745899,-83.226775,Cosby Creek,Crying Creek,3733.500488,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939315000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AF14926467C354C0D4735DC8C8D24140,212991,0101000020110F000006698CCA5FA261C1D563EBD176385041,212757,>1m <=5m,ATBI DATABASE,,1446939317000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314117,3946710,35.646746,-83.053182,Lower Cataloochee Creek,Hoglen Branch,3699.446533,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446939317000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898473600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,212990,0101000020110F00002469CBC5E8A361C1385EE83A63305041,212756,>1m <=5m,ATBI DATABASE,,1446939316000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446939316000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000624921DF71DC54C06DA8546DDDD14140,212979,0101000020110F0000F85F7B36A4B761C1CF5C82DA80375041,212745,>1m <=5m,ATBI DATABASE,,1446939311000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278668,3946724,35.639563,-83.444446,West Prong Little Pigeon River Upper,Trout Branch,5279.943359,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446939311000,GRSM,UNR,,7,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646617600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
