the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009DE01F7217F854C004F1291CDBBE4140,213016,0101000020110F00002C38E5321FCF61C188099915A8235041,212782,>1m <=5m,ATBI DATABASE,,1446939329000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239063,3931306,35.491055,-83.876427,Lake Cheoah-Little Tennessee River,Dalton Branch,2382.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939329000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000007E9E49720BF454C0A3BE667297BB4140,210157,0101000020110F000094700053AFCB61C1452B5A8A40205041,212799,>1m <=5m,ATBI DATABASE,,1446939338000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244720,3928311,35.465552,-83.813194,Lake Cheoah-Little Tennessee River,,2545.727051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939338000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864691200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B29B9BC7C5F754C0C6D378171FBF4140,213017,0101000020110F0000D3F4FBD6D9CE61C178A143FFEE235041,212783,>1m <=5m,ATBI DATABASE,,1446939330000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239522,3931523,35.49313,-83.871442,Lake Cheoah-Little Tennessee River,,2637.443848,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939330000,GRSM,UNR,,7,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C25F4F180DF554C0E4E2C555B4BE4140,212602,0101000020110F0000B1C22B258ACC61C1FEA46EA37F235041,212787,>1m <=5m,ATBI DATABASE,,1446939332000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243370,3931050,35.489872,-83.82892,Lake Cheoah-Little Tennessee River,,2764.038574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939332000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000D1164F5116F454C06F3F036BCEBF4140,210497,0101000020110F000050659F8EB8CB61C1C5F028E4A5245041,212800,>1m <=5m,ATBI DATABASE,,1446939339000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244764,3931966,35.49848,-83.813858,Eagle Creek,,3735.413574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939339000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000FD0C9BA004F054C0ECD6F86D04BC4140,213027,0101000020110F0000CC7469D943C861C1B1DAD42FB2205041,212817,>1m <=5m,ATBI DATABASE,,1446939349000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250441,3928519,35.468878,-83.750278,Hazel Creek,,2448.859863,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939349000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085097600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000EF729AD027F154C03D2CD3BDBBBB4140,213026,0101000020110F0000CE0EA7273BC961C1F432406366205041,212816,>1m <=5m,ATBI DATABASE,,1446939348000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248821,3928318,35.46666,-83.768051,Eagle Creek,,2149.650391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939348000,GRSM,UNR,,9,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1086220800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000EA135A85B6F354C0FE5F6A952ABB4140,210707,0101000020110F00005F0E6B3267CB61C181BEF705CF1F5041,212804,>1m <=5m,ATBI DATABASE,,1446939341000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245180,3927929,35.46223,-83.808011,Lower Fontana Lake-Little Tennessee River,,1967.756836,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939341000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864691200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000073A4B969E1F354C075EC62D2D3BA4140,210666,0101000020110F0000907C0DA08BCB61C1F6E9468E741F5041,212802,>1m <=5m,ATBI DATABASE,,1446939340000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244934,3927642,35.459582,-83.810629,Lower Fontana Lake-Little Tennessee River,,1874.331787,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939340000,GRSM,UNR,,5,,,Appalachian Trail,Lakeview Drive West,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928108800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004D4CD89035F154C066930266D9B94140,213025,0101000020110F0000E21565D546C961C1743506746F1E5041,212815,>1m <=5m,ATBI DATABASE,,1446939348000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248699,3926687,35.45194,-83.76889,Lower Fontana Lake-Little Tennessee River,Johnny Branch,2128.029297,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939348000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1086220800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
