the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009DE01F7217F854C004F1291CDBBE4140,213547,0101000020110F00002C38E5321FCF61C188099915A8235041,213448,>1m <=5m,ATBI DATABASE,,1446939702000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239063,3931306,35.491055,-83.876427,Lake Cheoah-Little Tennessee River,Dalton Branch,2382.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939702000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000F67CD22BF3F354C003B4810916BB4140,213602,0101000020110F00001EE90DB59ACB61C1751F5599B91F5041,213451,>1m <=5m,ATBI DATABASE,,1446939703000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244842,3927869,35.461603,-83.811713,Lake Cheoah-Little Tennessee River,,2053.948486,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939703000,GRSM,UNR,,8,,,Appalachian Trail,Lakeview Drive West,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928108800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E6F9B03701EF54C0AE2D57A799B94140,213646,0101000020110F0000CCD34C8867C761C1881677FE2C1E5041,213466,>1m <=5m,ATBI DATABASE,,1446939712000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251820,3926384,35.449995,-83.734445,Lower Fontana Lake-Little Tennessee River,,1699.539185,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939712000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085270400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000008C250891EBED54C02FBA26F8B4B94140,213647,0101000020110F000070192CB97BC661C11031FF78491E5041,213467,>1m <=5m,ATBI DATABASE,,1446939712000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253361,3926434,35.450828,-83.717499,Lower Fontana Lake-Little Tennessee River,,1843.856445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939712000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085356800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000B1434651B1EC54C055057A1309BA4140,213649,0101000020110F000077DDDDD470C561C164B37F29A11E5041,213469,>1m <=5m,ATBI DATABASE,,1446939713000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255110,3926671,35.453395,-83.698318,Lower Fontana Lake-Little Tennessee River,Mill Branch,1859.647095,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939713000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004D90A1FB83EC54C0835772E511BA4140,213650,0101000020110F0000C1AA30544AC561C1529BB15BAA1E5041,213470,>1m <=5m,ATBI DATABASE,,1446939714000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255362,3926694,35.453664,-83.695551,Lower Fontana Lake-Little Tennessee River,,1765.194702,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939714000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A51ED29DD7E954C03C2C835367B84140,213655,0101000020110F0000DA7DA21805C361C13ADA0FA5ED1C5041,213478,>1m <=5m,ATBI DATABASE,,1446939719000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259115,3925147,35.440646,-83.653781,Lower Fontana Lake-Little Tennessee River,,1843.095703,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939719000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928800000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000097E7636C58E854C0CE292363F2B84140,213657,0101000020110F00009FC674A6BFC161C1949BD39C7E1D5041,213480,>1m <=5m,ATBI DATABASE,,1446939720000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261251,3925561,35.44489,-83.630393,Lower Fontana Lake-Little Tennessee River,,1740.259521,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939720000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,896140800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AD54808ACBE354C0CD586B6A51BD4140,213661,0101000020110F00005228B450E2BD61C14B549B730D225041,213484,>1m <=5m,ATBI DATABASE,,1446939722000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267804,3929180,35.47904,-83.559294,Forney Creek,,2246.233398,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939722000,GRSM,UNR,,4,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927936000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000026CA390CE1E354C06B0FC652DBBD4140,213660,0101000020110F00005C9DB794F4BD61C1C0271F499D225041,213483,>1m <=5m,ATBI DATABASE,,1446939722000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267697,3929650,35.483249,-83.560607,Forney Creek,,2220.958008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939722000,GRSM,UNR,,6,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Galliformes, , , , ,Phasianidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
