the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000001ABAE39C3DC54C0F3CF45B0E2BC4140,213983,0101000020110F0000DAB47A4EE9B761C14810B7F899215041,213818,>1m <=5m,ATBI DATABASE,,1446939909000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277766,3928552,35.475661,-83.449412,Deep Creek,,2928.946045,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939909000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1056672000000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,by hand,No, ,cert,ATBI--land snails
0101000020E6100000DD06DBA65DCD54C0130CDDA8F2E04140,213994,0101000020110F000021E716BAD5AA61C1C0C66BF746475041,213829,>1m <=5m,ATBI DATABASE,,1446939915000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300299,3959291,35.757398,-83.208837,Cosby Creek,,2183.999268,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939915000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Picnic Area Parking A,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1047254400000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,sifting litter,No, ,cert,ATBI--land snails
0101000020E6100000EECA4F2625CA54C064CCEFD16EE44140,213996,0101000020110F00005E921C7A19A861C10BC097D8EC4A5041,213831,>1m <=5m,ATBI DATABASE,,1446939916000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,304916,3962210,35.784625,-83.158513,Pigeon River-Cripple Creek,,2446.282471,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939916000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1047254400000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,sifting litter,No, ,cert,ATBI--land snails
0101000020E610000073A38BF72AC754C0E4D406DBD3DF4140,214003,0101000020110F00000BA0AE2792A561C124EE9DD11A465041,213838,>1m <=5m,ATBI DATABASE,,1446939919000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309035,3958127,35.748646,-83.111994,Big Creek,,1766.337769,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939919000,GRSM,UNR,,9,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120003200000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,by hand,No, ,cert,ATBI--land snails
0101000020E610000082168CF62AC754C00201728FD3DF4140,214002,0101000020110F00000496D52692A561C1370286821A465041,213837,>1m <=5m,ATBI DATABASE,,1446939919000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309035,3958126,35.748637,-83.111993,Big Creek,,1766.337769,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939919000,GRSM,UNR,,9,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119571200000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,sifting litter,No, ,cert,ATBI--land snails
0101000020E61000008542740303CD54C07D30049BDBDF4140,213995,0101000020110F000001EF6EBF88AA61C1D112CDED22465041,213830,>1m <=5m,ATBI DATABASE,,1446939915000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300778,3958335,35.748882,-83.203305,Cosby Creek,Cosby Creek,2486.90332,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939915000,GRSM,UNR,,7,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1047254400000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,sifting litter,No, ,cert,ATBI--land snails
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,213988,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,213823,>1m <=5m,ATBI DATABASE,,1446939912000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939912000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,983750400000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E61000009F378F6F61C854C00E225D69E2D14140,213997,0101000020110F0000463E15D699A661C18442031086375041,213832,>1m <=5m,ATBI DATABASE,,1446939916000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307059,3946080,35.639715,-83.130943,Upper Cataloochee Creek,Palmer Creek,3123.327148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446939916000,GRSM,UNR,,5,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1092441600000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,sifting litter, ,day,cert,ATBI
0101000020E6100000E2426F08ADC754C0C4855F91EFCE4140,214000,0101000020110F0000B794BD9E00A661C1BA13B85571345041,213835,>1m <=5m,ATBI DATABASE,,1446939918000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308001,3943503,35.616679,-83.119932,Upper Cataloochee Creek,Rough Fork,2821.186768,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446939918000,GRSM,UNR,,6,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1092441600000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,sifting litter, ,day,cert,ATBI
0101000020E6100000EA3E688CC2C754C04D82EA38E1CE4140,213999,0101000020110F00000BD5A9E412A661C1E121F95862345041,213834,>1m <=5m,ATBI DATABASE,,1446939917000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307881,3943457,35.616241,-83.121245,Upper Cataloochee Creek,,2829.435303,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446939917000,GRSM,UNR,,7,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1068249600000,Animalia, ,Mollusca, ,Gastropoda, , ,Protostomia,Lophotrochozoa, ,Pulmonata, , , , ,Zonitidae, ,~,by hand,No, ,cert,ATBI--land snails
