the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A463165389F154C04CE6FA6C14BE4140,215058,0101000020110F000098564CF88DC961C1887B17D8D8225041,214870,>1m <=5m,ATBI DATABASE,,1446940500000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248338,3930367,35.484992,-83.774002,Eagle Creek,Eagle Creek,1718.006592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940500000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087257600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E61000009A126C0347F154C0925EFAB57ABE4140,215059,0101000020110F00001C3EDCA655C961C1FDDF318843235041,214872,>1m <=5m,ATBI DATABASE,,1446940501000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248715,3930703,35.488113,-83.769955,Eagle Creek,Eagle Creek,1987.865967,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940501000,GRSM,UNR,,7,,,Eagle Creek Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063411200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000001033B5B1E1F054C0533B939B80BF4140,215060,0101000020110F00004F8DF399FFC861C112B888B854245041,214873,>1m <=5m,ATBI DATABASE,,1446940502000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,249301,3931574,35.496105,-83.763771,Eagle Creek,Eagle Creek,1866.214844,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940502000,GRSM,UNR,,4,,,Eagle Creek Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063411200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000009A80E083F154C05C941F19B4BD4140,214501,0101000020110F00008C6AE05789C961C14A6FBF5F74225041,214871,>1m <=5m,ATBI DATABASE,,1446940501000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248359,3930040,35.482052,-83.77367,Eagle Creek,Eagle Creek,1969.592407,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940501000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063411200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000F78F184C62EE54C0F3BD5E18ABBC4140,214564,0101000020110F0000E1B3B58FE0C661C19D1D62FE5F215041,214874,>1m <=5m,ATBI DATABASE,,1446940502000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252774,3929019,35.473965,-83.724745,Hazel Creek,Hazel Creek,1717.382202,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940502000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000A9CD237246EE54C0AE12720688BC4140,215061,0101000020110F00003B5F3CE8C8C661C187D08A6B3B215041,214875,>1m <=5m,ATBI DATABASE,,1446940503000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252925,3928896,35.472894,-83.723046,Hazel Creek,Hazel Creek,1850.35498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940503000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,326505600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000002E2C945998ED54C04446A2F87ABD4140,214572,0101000020110F00001096240C35C661C12F4AC8CA38225041,214877,>1m <=5m,ATBI DATABASE,,1446940504000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253912,3929692,35.480308,-83.71242,Hazel Creek,Hazel Creek,2017.213379,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940504000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000003F299AD41EED54C0544DAA6C0EBD4140,215065,0101000020110F00008D8047D7CDC561C11B1E8F95C7215041,214884,>1m <=5m,ATBI DATABASE,,1446940508000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254575,3929306,35.476996,-83.705003,Hazel Creek,Hazel Creek,2101.476562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940508000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087344000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E61000006A399D5208E454C09442FD8764BB4140,215070,0101000020110F0000BF98E9EF15BE61C133E391720B205041,214889,>1m <=5m,ATBI DATABASE,,1446940511000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267424,3927520,35.463999,-83.563004,Forney Creek,,1699.026245,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940511000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087430400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E6100000A78A905773E154C09B358FFB4AB84140,215074,0101000020110F0000F638EA90E4BB61C1A19F2419D01C5041,214893,>1m <=5m,ATBI DATABASE,,1446940513000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271017,3924739,35.439781,-83.522661,Fontana Lake-Tuckasegee River,Tuckasegee River,1667.375366,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446940513000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Micropterus_dolomieu,Micropterus  dolomieu,25233,Smallmouth Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931219200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Centrarchidae, ,~,unspecified, ,day,cert,Historic Fishes
