the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000001E173C28CFA54C07692BB7C69BC4140,215186,0101000020110F00003D16DAAC35D161C1EDC0C1921B215041,215003,>1m <=5m,ATBI DATABASE,,1446940577000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235515,3929290,35.471962,-83.914837,Lake Cheoah-Little Tennessee River,,1968.121338,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940577000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000B85F65408F854C092599CB504BC4140,215191,0101000020110F000035B5D05C12CF61C1B290897AB2205041,215007,>1m <=5m,ATBI DATABASE,,1446940580000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239075,3928844,35.468887,-83.875504,Lake Cheoah-Little Tennessee River,Twentymile Creek,1363.361816,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940580000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B992A354F0F754C04974945819BC4140,215192,0101000020110F00002C5F70FAFDCE61C1ED94B7FFC7205041,215008,>1m <=5m,ATBI DATABASE,,1446940580000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239210,3928910,35.469517,-83.874039,Lake Cheoah-Little Tennessee River,Twentymile Creek,1442.549805,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940580000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E3CBE69F90F754C0550852D335BC4140,215194,0101000020110F0000F678F4B1ACCE61C1A4A4B5B2E5205041,215010,>1m <=5m,ATBI DATABASE,,1446940581000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239743,3928991,35.470386,-83.868198,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940581000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C9717A86ACF754C0ADA084015ABC4140,215193,0101000020110F000059CC2564C4CE61C13955B66D0B215041,215009,>1m <=5m,ATBI DATABASE,,1446940580000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239592,3929118,35.47149,-83.869901,Lake Cheoah-Little Tennessee River,Twentymile Creek,1512.143066,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940580000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DA06D7A467F754C01D4B84BF3FBC4140,215195,0101000020110F0000599FE4E389CE61C190D6B70BF0205041,215011,>1m <=5m,ATBI DATABASE,,1446940581000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239971,3929018,35.470689,-83.865697,Lake Cheoah-Little Tennessee River,Twentymile Creek,1602.398926,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940581000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008241CA36CDF254C0943FB29524BB4140,215215,0101000020110F0000ED66A10CA1CA61C14DA5A1C4C81F5041,215031,>1m <=5m,ATBI DATABASE,,1446940592000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246472,3927872,35.462047,-83.793771,Eagle Creek,,1814.266846,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940592000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E6E158A5E1F354C08B0A446B1FBB4140,215212,0101000020110F0000A68FB0D28BCB61C17434B361C31F5041,215028,>1m <=5m,ATBI DATABASE,,1446940590000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244940,3927898,35.46189,-83.810643,Lower Fontana Lake-Little Tennessee River,,1900.265747,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940590000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000000D61D46CE0EC54C004948AF613BA4140,215237,0101000020110F0000E7F50CD798C561C1A95A5683AC1E5041,215053,>1m <=5m,ATBI DATABASE,,1446940604000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254850,3926715,35.453727,-83.701194,Lower Fontana Lake-Little Tennessee River,Mill Branch,1832.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940604000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007F1A061245EC54C0BBF25D7A16BA4140,215240,0101000020110F0000DA5AB1E514C561C1691E9A22AF1E5041,215056,>1m <=5m,ATBI DATABASE,,1446940606000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255711,3926700,35.453804,-83.691712,Lower Fontana Lake-Little Tennessee River,Calhoun Branch,1871.048828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940606000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000372030795DEE54C075501E2ACEBC4140,215233,0101000020110F000082EDE676DCC661C1804A2A9184215041,215049,>1m <=5m,ATBI DATABASE,,1446940602000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252804,3929137,35.475035,-83.724451,Hazel Creek,Hazel Creek,1723.997681,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940602000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
