the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D905A20B30F754C0CD9118BB3FBC4140,218093,0101000020110F0000F536A0AB5ACE61C123A21B07F0205041,218029,>1m <=5m,ATBI DATABASE,,1446942277000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240279,3929009,35.470688,-83.862303,Lake Cheoah-Little Tennessee River,Twentymile Creek,1682.416626,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942277000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004EFB2A1C68E954C09C33727BE1B84140,218125,0101000020110F00003382CD64A6C261C1C5E534FD6C1D5041,218061,>1m <=5m,ATBI DATABASE,,1446942295000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259744,3925544,35.444374,-83.646975,Lower Fontana Lake-Little Tennessee River,,1801.621704,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942295000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000031F3F20EACC754C0D473CA64B7D94140,218146,0101000020110F00003E34DACAFFA561C1907D9326B63F5041,218081,>1m <=5m,ATBI DATABASE,,1446942306000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308208,3952846,35.700902,-83.119873,Lower Cataloochee Creek,Correll Branch,5349.277832,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942306000,GRSM,UNR,,3,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1001030400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003E50204C27C754C063B47F7FF9DF4140,218147,0101000020110F00006A44D5098FA561C1C341F23542465041,218082,>1m <=5m,ATBI DATABASE,,1446942306000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309058,3958254,35.749795,-83.11177,Big Creek,Big Creek,1735.755127,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942306000,GRSM,UNR,,7,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961545600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000005F7ECD900FC954C051ADC0BBD5D74140,218142,0101000020110F000000B98CB92DA761C1B0940875BE3D5041,218077,>1m <=5m,ATBI DATABASE,,1446942304000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306209,3951258,35.686203,-83.141571,Upper Cataloochee Creek,Pretty Hollow Creek,5147.181641,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942304000,GRSM,UNR,,6,,,Mount Sterling Ridge Trail,Old Cataloochee Turnpike,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994982400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000110AA06427CF54C0EAC8875C0DD04140,218141,0101000020110F0000166B9A7C5AAC61C139693CEE9B355041,218076,>1m <=5m,ATBI DATABASE,,1446942303000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297439,3944705,35.625401,-83.236775,Upper Raven Fork,,4667.037109,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446942303000,GRSM,UNR,,6,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933292800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,218148,0101000020110F00002469CBC5E8A361C1385EE83A63305041,218083,>1m <=5m,ATBI DATABASE,,1446942307000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942307000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004DB9448679C754C08C934E66F4C64140,218145,0101000020110F000064B9B9DFD4A561C148430D971B2C5041,218080,>1m <=5m,ATBI DATABASE,,1446942305000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308137,3936580,35.554327,-83.116788,Upper Cataloochee Creek,Big Bald Branch,5415.97998,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942305000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1247961600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand,No,day,cert,General
0101000020E6100000596B51C70CC854C0338027957FCC4140,218144,0101000020110F0000E06FD7EF51A661C1DF0CDD82E5315041,218079,>1m <=5m,ATBI DATABASE,,1446942305000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307426,3941402,35.597637,-83.125776,Upper Cataloochee Creek,Jim Branch,3341.661621,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942305000,GRSM,UNR,,4,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898646400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F3954503E6C854C0413D435934CD4140,218143,0101000020110F00000064176F0AA761C1A5C27153A2325041,218078,>1m <=5m,ATBI DATABASE,,1446942304000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306238,3942040,35.603153,-83.139035,Upper Cataloochee Creek,,3728.598145,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942304000,GRSM,UNR,,6,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Monarda_clinopodia,Monarda  clinopodia,25563,White Bergamot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897955200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
