the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E61BA10415E754C0916213A8A4B94140,218875,0101000020110F0000D83863FBACC061C1EA551D77381E5041,218803,>1m <=5m,ATBI DATABASE,,1446942713000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263059,3926117,35.450331,-83.610654,Lower Fontana Lake-Little Tennessee River,Anthony Branch,1855.263306,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942713000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FD2F00B5DAE654C0CAD89BDBAEB94140,218877,0101000020110F00009C1159757BC061C19141D619431E5041,218805,>1m <=5m,ATBI DATABASE,,1446942714000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263383,3926143,35.450642,-83.607095,Lower Fontana Lake-Little Tennessee River,,1889.236206,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942714000,GRSM,UNR,,6,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083110400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F53EA4CB5AE654C096E3D08D36B94140,218878,0101000020110F00009640B4D20EC061C1D0B675ADC51D5041,218806,>1m <=5m,ATBI DATABASE,,1446942715000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264081,3925717,35.446971,-83.599288,Lower Fontana Lake-Little Tennessee River,Welch Branch,1891.640991,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942715000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C4C557BC0AE454C08C71A491A1BB4140,218882,0101000020110F000024B78CFC17BE61C116036E184B205041,218810,>1m <=5m,ATBI DATABASE,,1446942717000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267416,3927727,35.465861,-83.563151,Forney Creek,Forney Creek,1709.066162,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942717000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000006113F27108E654C0F4E0E81679BA4140,218880,0101000020110F0000F45903E2C8BF61C13C4C8AF3151F5041,218808,>1m <=5m,ATBI DATABASE,,1446942716000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264566,3926797,35.456814,-83.594261,Fontana Lake-Tuckasegee River,,1882.701904,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942716000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000057BBD75D41E054C0EBE0A744AEBF4140,218898,0101000020110F0000461E75B3E0BA61C13566505A84245041,218826,>1m <=5m,ATBI DATABASE,,1446942726000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272875,3931099,35.497499,-83.503986,Noland Creek,Noland Creek,2540.730713,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942726000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AB2B4BE60BDB54C0DE8BAD7C23BE4140,218905,0101000020110F0000840AE42F74B661C1F4F5AF8DE8225041,218833,>1m <=5m,ATBI DATABASE,,1446942730000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280226,3929578,35.485451,-83.422597,Deep Creek,,2074.833496,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942730000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1040428800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000CE084B498ADB54C02C4B9E39CBBB4140,218904,0101000020110F000037830087DFB661C16F97A68876205041,218832,>1m <=5m,ATBI DATABASE,,1446942730000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279476,3927563,35.467133,-83.430311,Deep Creek,Deep Creek,1898.590332,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942730000,GRSM,UNR,,7,,,Deep Creek Trail,Tom Branch Road,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, ,day,cert,ATBI Ferns
0101000020E61000002DCC61DB08D454C0746987B534E14140,218922,0101000020110F00003CA424A87FB061C19397F6178C475041,218850,>1m <=5m,ATBI DATABASE,,1446942739000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,290882,3959732,35.759414,-83.313037,Webb Creek,Texas Creek,1865.933228,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942739000,GRSM,UNR,,10,,,Old Settlers Trail,Ramsey Cascades Trailhead Parking,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,975196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000036FB0B56FFD354C041805D643AE14140,218923,0101000020110F000073121D9277B061C17F2E9C0A92475041,218851,>1m <=5m,ATBI DATABASE,,1446942740000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,290935,3959750,35.759588,-83.312455,Webb Creek,Texas Creek,1851.324463,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942740000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Cascades Trailhead Parking,Valid,Morus_rubra,Morus  rubra,24403,Red Mulberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,975196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Moraceae, ,~,observed, , ,cert,Keith Tree Survey
