the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000310E1ACCCFFB54C0FD8DDA2AECBF4140,219343,0101000020110F00008CC5FD0748D261C131790AEDC4245041,219277,>1m <=5m,ATBI DATABASE,,1446942968000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233816,3932386,35.499388,-83.934554,Chilhowee Lake,Parson Branch,1353.338135,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446942968000,GRSM,UNR,,3,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1316908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000AD56B9F207F454C0CBF8267602BB4140,219354,0101000020110F0000D936665AACCB61C1592CE92FA51F5041,219288,>1m <=5m,ATBI DATABASE,,1446942974000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244725,3927806,35.461006,-83.812981,Lake Cheoah-Little Tennessee River,,1913.606812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942974000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121990400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000573E9601D1F754C0822858161EBC4140,219346,0101000020110F0000B302DB5FE3CE61C171AC75F1CC205041,219280,>1m <=5m,ATBI DATABASE,,1446942970000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239384,3928921,35.469661,-83.872128,Lake Cheoah-Little Tennessee River,Twentymile Creek,1484.013794,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942970000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312070400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000003B419864CFF754C0B97C30985BBC4140,219347,0101000020110F000026E51901E2CE61C18517CF150D215041,219281,>1m <=5m,ATBI DATABASE,,1446942970000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239399,3929129,35.471538,-83.872029,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1544.624756,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942970000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1122249600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000C2D6790FE8E254C06AEC99C54EBB4140,219363,0101000020110F0000AEABAD1D21BD61C17F6710C2F41F5041,219297,>1m <=5m,ATBI DATABASE,,1446942979000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269019,3927405,35.463335,-83.54541,Fontana Lake-Tuckasegee River,,2395.842529,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942979000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119139200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000001DC30618B1C654C0544343489BD94140,219432,0101000020110F000053B9EBA52AA561C1E9D731C0983F5041,219366,>1m <=5m,ATBI DATABASE,,1446943019000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309592,3952721,35.700044,-83.104555,Lower Cataloochee Creek,,4144.539062,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446943019000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118880000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000005DB2270ADFC654C0BFFF239B37D94140,219431,0101000020110F0000591780AB51A561C1BD692582303F5041,219365,>1m <=5m,ATBI DATABASE,,1446943019000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309331,3952389,35.697003,-83.107359,Lower Cataloochee Creek,,3983.125244,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446943019000,GRSM,UNR,,3,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000511B1799F6C654C03D9BB23302D94140,219430,0101000020110F0000D05493AD65A561C11413D7A8F83E5041,219364,>1m <=5m,ATBI DATABASE,,1446943018000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309197,3952211,35.695373,-83.108797,Lower Cataloochee Creek,Correll Branch,4171.708008,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446943018000,GRSM,UNR,,7,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,219428,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,219362,>1m <=5m,ATBI DATABASE,,1446943017000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943017000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003190400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000A3BFE60818CE54C00C8B9A87CADE4140,219425,0101000020110F00008ABFA40574AB61C101BA902D05455041,219359,>1m <=5m,ATBI DATABASE,,1446943016000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299228,3957445,35.740549,-83.220213,Cosby Creek,Little Rock Creek,3417.974365,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943016000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087344000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Winkler extraction,No, ,cert,ATBI Ants
0101000020E610000066D704EB94CB54C001AAF21C55D14140,219429,0101000020110F0000BD63A3D251A961C1E37C6F67F2365041,219363,>1m <=5m,ATBI DATABASE,,1446943018000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302519,3945701,35.635403,-83.18096,Straight Fork Raven Fork,,4527.963379,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446943018000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Myrmecina_americana,Myrmecina  americana,24621,American Mite Eating Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118966400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Myrmecinini,Winkler extraction, ,day,cert,ATBI Ants
