the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000065C2092E31F854C0832C840F84BB4140,220363,0101000020110F0000EC31030E35CF61C1785137532C205041,220289,>1m <=5m,ATBI DATABASE,,1446943549000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238836,3928415,35.464961,-83.877998,Lake Cheoah-Little Tennessee River,,1648.739624,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943549000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 1,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179360000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand,No, ,cert,EPT DNA Barcoding
0101000020E6100000CAC9663CC1F154C0079F5C16BDBD4140,220379,0101000020110F0000E1AE9974BDC961C1A507E9BF7D225041,220305,>1m <=5m,ATBI DATABASE,,1446943557000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248020,3930080,35.482326,-83.777415,Eagle Creek,Eagle Creek,1709.033936,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943557000,GRSM,UNR,,1,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019520000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand,No,day,cert,ATBI
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,220390,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,220315,>1m <=5m,ATBI DATABASE,,1446943562000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943562000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,870739200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BB6D076C6CEE54C0AF6FD3EB8BBC4140,220387,0101000020110F0000B8120A29E9C661C12182AD7B3F215041,220312,>1m <=5m,ATBI DATABASE,,1446943561000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252715,3928915,35.473013,-83.725363,Hazel Creek,Hazel Creek,1842.874512,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943561000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000059109D0D75E454C0927FE79034BC4140,220438,0101000020110F0000FBAA2F4872BE61C179A87B62E4205041,220362,>1m <=5m,ATBI DATABASE,,1446943592000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266840,3928240,35.470347,-83.56964,Forney Creek,Bear Creek,2050.530518,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943592000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,772070400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C26E758C8DE054C03507B10845BD4140,220439,0101000020110F00007510096721BB61C1D116C28900225041,220363,>1m <=5m,ATBI DATABASE,,1446943592000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943592000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,623980800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000C57BC7E93EDB54C0D53A11C771BE4140,220448,0101000020110F0000DEE550839FB661C18EE1CD363A235041,220372,>1m <=5m,ATBI DATABASE,,1446943598000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279950,3929850,35.48784,-83.425711,Deep Creek,Deep Creek,2083.899658,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943598000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,220457,0101000020110F0000CC3B17BBB9B261C16510431007485041,220381,>1m <=5m,ATBI DATABASE,,1446943604000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446943604000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E6100000664A28D321D654C08BD35F9BCCE04140,220458,0101000020110F000039B62BB447B261C16D7B38241F475041,220382,>1m <=5m,ATBI DATABASE,,1446943604000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287910,3959450,35.756237,-83.34581,Webb Creek,Redwine Creek,1637.409546,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943604000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,841708800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000005DDC5D9FADCD54C0745F51C850E34140,220467,0101000020110F0000ED4866A519AB61C1987EE365C1495041,220391,>1m <=5m,ATBI DATABASE,,1446943610000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299904,3961353,35.775896,-83.213718,Cosby Creek,Fletcher Spring Branch,1803.002075,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943610000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,972172800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,at light, , ,cert,ATBI
0101000020E6100000714E1ADAE8CD54C0DCCF05DCD0E34140,220464,0101000020110F0000A5B81DF34BAB61C1DCB3C279474A5041,220388,>1m <=5m,ATBI DATABASE,,1446943608000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299587,3961794,35.779804,-83.217333,Cosby Creek,Fletcher Spring Branch,1697.06604,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943608000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Neophylax_consimilis,Neophylax  consimilis,26368,Common Dogfaced Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1002672000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Uenoidae,Thremmatinae,~,black light (sheet), , ,cert,General
