the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000007628593A3EF854C082315AFB86BB4140,221429,0101000020110F00007B5EF02240CF61C1B46A085F2F205041,221353,>1m <=5m,ATBI DATABASE,,1446944167000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238764,3928427,35.46505,-83.878794,Lake Cheoah-Little Tennessee River,Twentymile Creek,1569.834717,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944167000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1061856000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000E1A52AB93FF854C0278723DD89BB4140,221428,0101000020110F0000B410116841CF61C11F075F6032205041,221352,>1m <=5m,ATBI DATABASE,,1446944167000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238756,3928437,35.465138,-83.878885,Lake Cheoah-Little Tennessee River,Twentymile Creek,1536.501831,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944167000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000F7CD4964C9F754C0BDC7BA34D5BB4140,221433,0101000020110F00007FCB50E8DCCE61C1EBFB1AF180205041,221357,>1m <=5m,ATBI DATABASE,,1446944169000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239419,3928673,35.467437,-83.871663,Lake Cheoah-Little Tennessee River,Twentymile Creek,1744.880005,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944169000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1061856000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000B95889C08BF154C015ABB519EFBD4140,221201,0101000020110F00009D56180890C961C14C02CAE9B1225041,221375,>1m <=5m,ATBI DATABASE,,1446944179000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248321,3930241,35.483852,-83.774151,Eagle Creek,Eagle Creek,1710.458008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944179000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000005994846A41EE54C095B811CD7EBC4140,214539,0101000020110F00004F78A8A2C4C661C1FE19F2CC31215041,221380,>1m <=5m,ATBI DATABASE,,1446944181000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252952,3928864,35.472613,-83.722739,Hazel Creek,Hazel Creek,1901.817383,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944181000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000F78F184C62EE54C0F3BD5E18ABBC4140,221451,0101000020110F0000E1B3B58FE0C661C19D1D62FE5F215041,221376,>1m <=5m,ATBI DATABASE,,1446944179000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252774,3929019,35.473965,-83.724745,Hazel Creek,Hazel Creek,1717.382202,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944179000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000A9CD237246EE54C0AE12720688BC4140,214422,0101000020110F00003B5F3CE8C8C661C187D08A6B3B215041,221379,>1m <=5m,ATBI DATABASE,,1446944181000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252925,3928896,35.472894,-83.723046,Hazel Creek,Hazel Creek,1850.35498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944181000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,529718400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000F364D15010EC54C02373EB89FCBE4140,221465,0101000020110F00003399B717E8C461C1091B45F4CA235041,221394,>1m <=5m,ATBI DATABASE,,1446944189000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256119,3930938,35.492075,-83.688492,Hazel Creek,Hazel Creek,2184.427734,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944189000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000003F299AD41EED54C0544DAA6C0EBD4140,221461,0101000020110F00008D8047D7CDC561C11B1E8F95C7215041,221390,>1m <=5m,ATBI DATABASE,,1446944187000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254575,3929306,35.476996,-83.705003,Hazel Creek,Hazel Creek,2101.476562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944187000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087344000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E61000006F0C48955DED54C09A0D6202DFBC4140,219480,0101000020110F00005E35042303C661C104A46A2296215041,221388,>1m <=5m,ATBI DATABASE,,1446944186000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254223,3929155,35.475549,-83.708833,Hazel Creek,Hazel Creek,1958.431885,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944186000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Nocomis_micropogon,Nocomis  micropogon,26709,River Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,529718400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
