the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000006B91422E3CD54C047B0BCAED6E34140,221993,0101000020110F000061CFB81747AB61C1AE9C5B924D4A5041,221924,>1m <=5m,ATBI DATABASE,,1446944498000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299619,3961813,35.779982,-83.216984,Cosby Creek,Fletcher Spring Branch,1701.694336,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944498000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-483235200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000007AD1630305CE54C08EB2610117E44140,221991,0101000020110F00003948F7DD63AB61C176E72BE9904A5041,221922,>1m <=5m,ATBI DATABASE,,1446944497000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299437,3962035,35.781945,-83.219052,Cosby Creek,Cosby Creek,1773.554565,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944497000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,592617600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000952F4F1704CE54C02A43A3DB15E44140,221992,0101000020110F0000656E761563AB61C1763DA6B58F4A5041,221923,>1m <=5m,ATBI DATABASE,,1446944497000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299442,3962031,35.78191,-83.218996,Cosby Creek,Cosby Creek,1792.141968,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944497000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931824000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000EDED8A04A6DA54C06E595FE056DE4140,221985,0101000020110F000094C9A6A81DB661C16191642A8C445041,221916,>1m <=5m,ATBI DATABASE,,1446944493000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281476,3957473,35.737019,-83.416379,Little Pigeon River Middle,Little Pigeon River,1518.124146,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944493000,GRSM,UNR,,7,,,Duds Branch Concession Horse Trail,Greenbrier Parking Area 1,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-513475200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000001EA280D6A4DA54C0D6B9A3B850DE4140,221986,0101000020110F0000E1EF20A81CB661C1369AAEB985445041,221917,>1m <=5m,ATBI DATABASE,,1446944494000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281482,3957452,35.736832,-83.416307,Little Pigeon River Middle,Little Pigeon River,1537.403076,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944494000,GRSM,UNR,,10,,,Duds Branch Concession Horse Trail,Greenbrier Parking Area 1,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1020816000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000B5540C5A9FDA54C0FCA1964941DE4140,221988,0101000020110F0000C63E53FF17B661C1F616A99375445041,221919,>1m <=5m,ATBI DATABASE,,1446944495000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281511,3957399,35.736361,-83.415972,Little Pigeon River Middle,Little Pigeon River,1502.816895,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944495000,GRSM,UNR,,4,,,Duds Branch Concession Horse Trail,Greenbrier Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,592617600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E610000006AF0F4B80D854C04D4C379373DA4140,221989,0101000020110F000077070FC74AB461C1D63C2AF77A405041,221920,>1m <=5m,ATBI DATABASE,,1446944496000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284429,3954029,35.706645,-83.382826,Porters Creek,Porters Creek,1689.799072,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944496000,GRSM,UNR,,6,,,Grapeyard Ridge Trail,Greenbrier Unpaved Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-482025600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E610000075C6EBE54AD854C02D58E1D82BDA4140,221990,0101000020110F00006384DA6D1DB461C1C1A1F7F12F405041,221921,>1m <=5m,ATBI DATABASE,,1446944496000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284718,3953779,35.704456,-83.379567,Porters Creek,,1941.337036,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944496000,GRSM,UNR,,7,,,Old Settlers Trail,Ramsey Prong Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1178064000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000950193F39CDE54C02D87ED599DDC4140,221982,0101000020110F0000D5116FA47BB961C173A6F63ABE425041,221913,>1m <=5m,ATBI DATABASE,,1446944492000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275835,3956118,35.723545,-83.478326,Dudley Creek,Dudley Creek,1593.28186,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944492000,GRSM,UNR,,3,,,Little Dudley Concession Horse Trail,Roaring Fork Motor Nature Trail,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1020816000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E610000061B786549CDD54C09D5F70B4C0DC4140,221983,0101000020110F0000EDE39BB1A1B861C108241C37E3425041,221914,>1m <=5m,ATBI DATABASE,,1446944492000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277255,3956202,35.724624,-83.462663,Dudley Creek,Black Fox Branch,1749.849243,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944492000,GRSM,UNR,,4,,,Little Dudley Concession Horse Trail,Dudley Creek Road,Valid,Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1178323200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
