the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E2605D7F2CE454C0DCA1A7298BBB4140,222049,0101000020110F0000732512A934BE61C16D951BBB33205041,221981,>1m <=5m,ATBI DATABASE,,1446944530000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267227,3927656,35.465178,-83.565212,Forney Creek,,1980.359009,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944530000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000A78A905773E154C09B358FFB4AB84140,222052,0101000020110F0000F638EA90E4BB61C1A19F2419D01C5041,221984,>1m <=5m,ATBI DATABASE,,1446944532000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271017,3924739,35.439781,-83.522661,Fontana Lake-Tuckasegee River,Tuckasegee River,1667.375366,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446944532000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931219200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000008139181C0BDC54C04B4D12BD5FBA4140,203365,0101000020110F00008B93E8EF4CB761C1FCB5E384FB1E5041,221986,>1m <=5m,ATBI DATABASE,,1446944533000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278732,3926350,35.45604,-83.438174,Deep Creek,,1799.486816,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446944533000,GRSM,UNR,,5,,,Noland Divide Trail,East Deep Creek Road,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,299635200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,year,cert,Historic Fishes
0101000020E610000047A55298C9DB54C075A33BD42BBB4140,222056,0101000020110F0000B22FA34B15B761C122686852D01F5041,221989,>1m <=5m,ATBI DATABASE,,1446944534000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279112,3927032,35.462268,-83.434175,Deep Creek,Deep Creek,1858.472656,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944534000,GRSM,UNR,,6,,,Deep Creek Horse Trail,Deep Creek Campground Loop 1,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1064966400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000008B0DE55DF8DB54C09A0A0074A9BA4140,222055,0101000020110F000055BBCB043DB761C1D096E760481F5041,221988,>1m <=5m,ATBI DATABASE,,1446944534000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278842,3926597,35.458289,-83.43703,Deep Creek,Deep Creek,1843.741455,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944534000,GRSM,UNR,,8,,,Noland Divide Trail,East Deep Creek Road,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,655084800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000004EF295D36DD354C0C3B18CDFA4BF4140,222061,0101000020110F0000330749FDFBAF61C1FC67588D7A245041,221994,>1m <=5m,ATBI DATABASE,,1446944537000,DERV,WHITTIER,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291056,3930624,35.497212,-83.303574,Lower Oconaluftee River,,2214.904785,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446944537000,GRSM,UNR,,6,,,Oconaluftee River Trail,Big Cove Connector Road,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1019692800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000E92374C023D354C0C469972FE2BF4140,222063,0101000020110F00001029E413BDAF61C1D88D5E83BA245041,221996,>1m <=5m,ATBI DATABASE,,1446944538000,DERV,WHITTIER,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291471,3930822,35.499083,-83.299053,Lower Oconaluftee River,,2002.006714,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446944538000,GRSM,UNR,,6,,,Oconaluftee River Trail,Big Cove Connector Road,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1019606400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000952F4F1704CE54C02A43A3DB15E44140,336,0101000020110F0000656E761563AB61C1763DA6B58F4A5041,221997,>1m <=5m,ATBI DATABASE,,1446944539000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299442,3962031,35.78191,-83.218996,Cosby Creek,Cosby Creek,1792.141968,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446944539000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931824000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000ADE05E693ED354C06461BD8E8EC04140,222062,0101000020110F0000749C4BB8D3AF61C1621B9C566E255041,221995,>1m <=5m,ATBI DATABASE,,1446944537000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291337,3931409,35.504344,-83.30068,Lower Oconaluftee River,Oconaluftee River,2017.195679,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446944537000,GRSM,UNR,,4,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,621043200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000EDB2FD96A6DB54C0E18F3DA376C04140,222057,0101000020110F00000488C690F7B661C1D03D256255255041,221990,>1m <=5m,ATBI DATABASE,,1446944535000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279419,3931614,35.503614,-83.432039,Deep Creek,Deep Creek,2287.713135,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446944535000,GRSM,UNR,,7,,,Deep Creek Trail,Tom Branch Road,Valid,Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,499737600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
