the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,226773,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,226686,>1m <=5m,ATBI DATABASE,,1446947204000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446947204000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026172800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E610000059109D0D75E454C0927FE79034BC4140,226791,0101000020110F0000FBAA2F4872BE61C179A87B62E4205041,226704,>1m <=5m,ATBI DATABASE,,1446947214000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266840,3928240,35.470347,-83.56964,Forney Creek,Bear Creek,2050.530518,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446947214000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C1CA8F629ADB54C074F90C3169BC4140,226801,0101000020110F0000555B3233EDB661C19CDDD4431B215041,226714,>1m <=5m,ATBI DATABASE,,1446947221000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279400,3928100,35.471953,-83.431294,Deep Creek,Deep Creek,2085.309082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446947221000,GRSM,UNR,,7,,,Deep Creek Horse Trail,Tom Branch Road,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869443200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000D5720FB877CD54C0D7638C6332E14140,226818,0101000020110F0000BFF5A4DDEBAA61C114474CAA89475041,226731,>1m <=5m,ATBI DATABASE,,1446947232000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300160,3959510,35.759343,-83.210428,Cosby Creek,,2137.029297,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446947232000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,802915200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008504EF584AC754C05952654DA9DE4140,226832,0101000020110F0000ECF570CEACA561C119480E69E2445041,226745,>1m <=5m,ATBI DATABASE,,1446947240000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308840,3957120,35.739535,-83.113909,Big Creek,,2298.465088,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446947240000,GRSM,UNR,,6,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,931824000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,226817,0101000020110F000070451A283CAB61C1A3F349B67E455041,226730,>1m <=5m,ATBI DATABASE,,1446947232000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446947232000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1024272000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E610000000B6C1BE1ACB54C055A976D931D34140,226824,0101000020110F000026EBB20FEAA861C12D867BA1E4385041,226737,>1m <=5m,ATBI DATABASE,,1446947236000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303230,3947300,35.649952,-83.173503,Upper Cataloochee Creek,Lost Bottom Creek,4567.367188,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947236000,GRSM,UNR,,4,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1029801600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E610000069D5B40CCAC954C07C3810B80CD14140,226827,0101000020110F0000A29C101BCCA761C1F5AC27C1A6365041,226740,>1m <=5m,ATBI DATABASE,,1446947238000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305050,3945400,35.633194,-83.152953,Upper Cataloochee Creek,Falling Rock Creek,3594.460449,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947238000,GRSM,UNR,,6,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,806284800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000006D145F6E69C954C005EF3BF85CD14140,226831,0101000020110F000052B92F0C7AA761C121CC329DFA365041,226744,>1m <=5m,ATBI DATABASE,,1446947240000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305590,3945660,35.635643,-83.147056,Upper Cataloochee Creek,Palmer Creek,3373.908203,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947240000,GRSM,UNR,,3,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026864000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E61000003402A67660C554C0F351794DE5D04140,226834,0101000020110F00000A5672BF0CA461C1772D08917D365041,226747,>1m <=5m,ATBI DATABASE,,1446947241000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311291,3945132,35.631991,-83.084009,Lower Cataloochee Creek,Cataloochee Creek,2619.234863,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947241000,GRSM,UNR,,5,,,Cataloochee Horse Trail,Cataloochee Campground Loop Road,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,648000000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, ,month,cert,Inventory & Monitoring
0101000020E6100000871AF779DBCA54C07475B8372EC74140,226825,0101000020110F0000A543C253B4A861C18EB7C9F2572C5041,226738,>1m <=5m,ATBI DATABASE,,1446947236000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303350,3936880,35.556091,-83.169642,Lower Raven Fork,Bunches Creek,4891.049805,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446947236000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Oulimnius_latiusculus,Oulimnius  latiusculus,28166,Tiny Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872121600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
