the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000716A9362FEC654C0E38F95A4DADB4140,226972,0101000020110F0000C8B8A44A6CA561C1988BCE8BF2415041,226887,>1m <=5m,ATBI DATABASE,,1446947319000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309207,3954678,35.717603,-83.109272,Big Creek,Baxter Creek,4646.151855,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446947319000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961632000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000076FB141648C754C08B2797D359DD4140,226724,0101000020110F0000A383D2E2AAA561C135A8956883435041,226884,>1m <=5m,ATBI DATABASE,,1446947318000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308828,3955984,35.729297,-83.113771,Big Creek,,3564.8125,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446947318000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994982400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E9A9820F4DC854C0FCE54B63CCD14140,226965,0101000020110F0000E144178888A661C11F13090C6F375041,226879,>1m <=5m,ATBI DATABASE,,1446947315000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307170,3946003,35.639043,-83.129699,Upper Cataloochee Creek,Palmer Creek,2997.938965,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947315000,GRSM,UNR,,4,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905385600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000015F50DD53FC954C04C4F6EA10CD14140,226961,0101000020110F0000E1DEB7B756A761C11A4E81A9A6365041,226875,>1m <=5m,ATBI DATABASE,,1446947313000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305814,3945383,35.633191,-83.144517,Upper Cataloochee Creek,Shanty Branch,3862.97998,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947313000,GRSM,UNR,,7,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,904867200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000087EFCC1DA0C554C0F4B18772B9D04140,226977,0101000020110F0000D4A4ECCE42A461C1308BAABD4F365041,226892,>1m <=5m,ATBI DATABASE,,1446947322000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310936,3944991,35.630653,-83.087894,Upper Cataloochee Creek,Caldwell Fork,2635.723633,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947322000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,906595200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D67B1D7D9BC554C0745D44507FCF4140,226978,0101000020110F00005E4FC5E03EA461C17042FC8307355041,226893,>1m <=5m,ATBI DATABASE,,1446947322000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310939,3943927,35.621066,-83.087611,Upper Cataloochee Creek,Palmer Branch,2785.657715,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947322000,GRSM,UNR,,6,,,Boogerman Trail,Cataloochee Entrance Road,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905472000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000019BCFF3A6C554C044CC478784CF4140,226976,0101000020110F0000C073359D48A461C1D387CDF60C355041,226891,>1m <=5m,ATBI DATABASE,,1446947321000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310876,3943946,35.621225,-83.088311,Upper Cataloochee Creek,Palmer Branch,2750.122803,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947321000,GRSM,UNR,,6,,,Boogerman Trail,Cataloochee Entrance Road,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902966400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000091643A9C5C654C05D405A364FCD4140,226973,0101000020110F000084E4AF1D3CA561C1777E0663BE325041,226888,>1m <=5m,ATBI DATABASE,,1446947320000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309250,3942066,35.603973,-83.10581,Upper Cataloochee Creek,,3185.816162,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947320000,GRSM,UNR,,6,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896227200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000530D9DCCAFC754C065C24A6DB8CD4140,226968,0101000020110F0000547432F802A661C1F911154B2C335041,226882,>1m <=5m,ATBI DATABASE,,1446947317000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307963,3942450,35.607184,-83.120101,Upper Cataloochee Creek,,3316.39917,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947317000,GRSM,UNR,,4,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899856000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D1BFFCCCFBC654C07DA53C9209CC4140,226970,0101000020110F0000088FC1186AA561C1916895406A315041,226885,>1m <=5m,ATBI DATABASE,,1446947318000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308927,3940970,35.594035,-83.109115,Upper Cataloochee Creek,Clontz Branch,3122.708008,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947318000,GRSM,UNR,,4,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902188800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000082E80C369CC554C0C989FA4DB6CA4140,226975,0101000020110F00006818D67D3FA461C1248A3FEE07305041,226890,>1m <=5m,ATBI DATABASE,,1446947321000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310847,3939780,35.583682,-83.087655,Upper Cataloochee Creek,McKee Branch,3888.529053,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446947321000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Oxalis_montana,Oxalis  montana,28172,Wood-sorrel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Geraniales, , , , ,Oxalidaceae, ,~,observed, ,day,cert,Fridley Veg Plots
