the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003E5D248724EE54C02DD4C94289BC4140,229396,0101000020110F0000E557C319ACC661C13C1972B53C215041,229289,>1m <=5m,ATBI DATABASE,,1446948718000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253113,3928895,35.472932,-83.720975,Hazel Creek,Hazel Creek,1728.525391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948718000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000394F0D78FCED54C09B2A19B954BC4140,229397,0101000020110F000044A21C148AC661C1D53E58EB05215041,229290,>1m <=5m,ATBI DATABASE,,1446948719000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253330,3928711,35.471329,-83.71853,Hazel Creek,Hazel Creek,1746.041382,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948719000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000025E029DAD8E754C0AEC3CDC040BB4140,229399,0101000020110F0000B960D04D53C161C1FEA3E123E61F5041,229292,>1m <=5m,ATBI DATABASE,,1446948720000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262011,3927541,35.462907,-83.622607,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,2423.735107,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948720000,GRSM,UNR,,4,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000EA9F911CD1D754C04BB0413102E04140,229405,0101000020110F00008B29EBFEB5B361C1E1D72A4F4B465041,229298,>1m <=5m,ATBI DATABASE,,1446948724000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285513,3958822,35.75006,-83.372134,Webb Creek,,1463.951416,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948724000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1179360000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000F5144BBABBD154C0BAA32F1F31E04140,229413,0101000020110F0000E16B244F8BAE61C1B456B16B7C465041,229306,>1m <=5m,ATBI DATABASE,,1446948729000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294113,3958777,35.751492,-83.277079,Cosby Creek,Indian Camp Creek,2461.337402,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948729000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Campground Road A,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961718400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000006327A3FAE9CC54C04EA77186DAE34140,229420,0101000020110F00007F566C7C73AA61C133832E98514A5041,229313,>1m <=5m,ATBI DATABASE,,1446948733000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300994,3961795,35.780099,-83.201777,Cosby Creek,Caney Creek,1771.974609,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948733000,GRSM,UNR,,6,,,,Cosby Government Quarters / Ranger Station Access Road,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E396B2B3F8CC54C036303F652CE44140,229418,0101000020110F0000E8BE7CFD7FAA61C17B0BE94DA74A5041,229311,>1m <=5m,ATBI DATABASE,,1446948732000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300919,3962074,35.782598,-83.202676,Cosby Creek,Caney Creek,1737.707031,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948732000,GRSM,UNR,,6,,,,Cosby Government Quarters Parking,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003B0F174E2CC754C0B3C6573D4BE14140,229423,0101000020110F000002FA9A4A93A561C13111A3ACA3475041,229316,>1m <=5m,ATBI DATABASE,,1446948734000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309055,3959398,35.760102,-83.112075,Big Creek,Chestnut Branch,1848.782959,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948734000,GRSM,UNR,,4,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,988934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E8E41FF2C0C854C0E3B7740E56DE4140,229421,0101000020110F0000FFA4F4F3EAA661C1770CC14E8B445041,229314,>1m <=5m,ATBI DATABASE,,1446948733000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306766,3956883,35.736994,-83.136773,Big Creek,Big Creek,2358.283203,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948733000,GRSM,UNR,,1,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957139200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C17E20BDA4CD54C0D3CA94413BD04140,229415,0101000020110F0000B815E31912AB61C19E755DE2CB355041,229308,>1m <=5m,ATBI DATABASE,,1446948730000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299580,3944812,35.626801,-83.213176,Straight Fork Raven Fork,Straight Fork Raven Fork,3151.911865,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446948730000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
