the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E975E7C372F454C0930DED6184BA4140,229815,0101000020110F00009B5CAB1207CC61C1DA7EE3B9211F5041,229703,>1m <=5m,ATBI DATABASE,,1446948948000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244121,3927396,35.457158,-83.819501,Lake Cheoah-Little Tennessee River,Lewellyn Branch,1575.436768,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948948000,GRSM,UNR,,3,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000A78E040330EE54C0AC76520165BC4140,229823,0101000020110F0000DCB799DAB5C661C17FE82CE616215041,229711,>1m <=5m,ATBI DATABASE,,1446948953000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253046,3928774,35.471826,-83.721676,Hazel Creek,Hazel Creek,1918.112427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948953000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E610000071674525CCEE54C08CF4BDEE03BD4140,229822,0101000020110F00006B6259753AC761C11D9D5CA4BC215041,229710,>1m <=5m,ATBI DATABASE,,1446948952000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252196,3929336,35.476676,-83.731206,Hazel Creek,Hickory Bottom Branch,1810.999878,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948952000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185148800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000051D96CEF3ED54C0EC5F7D2F4ABC4140,229824,0101000020110F0000004FD1B882C661C1F4AD28EEFA205041,229712,>1m <=5m,ATBI DATABASE,,1446948953000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253377,3928674,35.471007,-83.718002,Hazel Creek,Hazel Creek,1753.534302,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948953000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185148800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000E28FE4EACEE354C08A976A10EDBB4140,229827,0101000020110F0000B7ECD42EE5BD61C10D8E34D299205041,229715,>1m <=5m,ATBI DATABASE,,1446948955000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267754,3927974,35.468165,-83.5595,Forney Creek,Gray Wolf Creek,2105.979492,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948955000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000F513D8E040E354C09DA4B74748BA4140,229828,0101000020110F00004D44888C6CBD61C12712720FE31E5041,229716,>1m <=5m,ATBI DATABASE,,1446948955000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268504,3926529,35.455324,-83.550831,Fontana Lake-Tuckasegee River,Goldmine Branch,1920.431763,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446948955000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E610000085DB2B9D16D154C0DC7E770705E24140,229872,0101000020110F0000E2B4F613FFAD61C1D84CCD2166485041,229759,>1m <=5m,ATBI DATABASE,,1446948982000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295061,3960340,35.765772,-83.267001,Cosby Creek,Buckeye Creek,1983.60083,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948982000,GRSM,UNR,,10,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000004172DA6FA7CD54C00DF004D270E24140,229875,0101000020110F0000B66B856414AB61C1C2216CF5D6485041,229762,>1m <=5m,ATBI DATABASE,,1446948983000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299921,3960594,35.769061,-83.213341,Cosby Creek,Fletcher Spring Branch,1867.320557,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948983000,GRSM,UNR,,4,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E610000031D774CD9CCD54C08BC069E511E34140,229876,0101000020110F00008A7D635C0BAB61C1543A56917F495041,229763,>1m <=5m,ATBI DATABASE,,1446948984000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299992,3961138,35.773977,-83.212691,Cosby Creek,Cosby Creek,1818.857422,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948984000,GRSM,UNR,,4,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,229873,0101000020110F000042805D891DAB61C127EC9D93094A5041,229760,>1m <=5m,ATBI DATABASE,,1446948982000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948982000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,unspecified, ,week,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,229877,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,229764,>1m <=5m,ATBI DATABASE,,1446948984000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446948984000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Palthis_asopialis,Palthis  asopialis,28462,Faint-spotted Palthis Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,971740800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
