the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B992A354F0F754C04974945819BC4140,234173,0101000020110F00002C5F70FAFDCE61C1ED94B7FFC7205041,234141,>1m <=5m,ATBI DATABASE,,1446951495000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239210,3928910,35.469517,-83.874039,Lake Cheoah-Little Tennessee River,Twentymile Creek,1442.549805,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446951495000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002A2CB61E85F754C08791FACC48BE4140,234174,0101000020110F0000E9AE9AECA2CE61C13E4117790F235041,234142,>1m <=5m,ATBI DATABASE,,1446951496000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239859,3930787,35.48659,-83.867496,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1855.078247,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446951496000,GRSM,UNR,,2,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000065124714D6ED54C0AB6CCBCC81BB4140,234201,0101000020110F00004247617969C661C1B10DBFF729205041,234167,>1m <=5m,ATBI DATABASE,,1446951509000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253523,3927991,35.464892,-83.716187,Hazel Creek,Laurel Branch,1907.869019,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446951509000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000017C9C6EBBED54C054666EB1A7BC4140,234202,0101000020110F0000A292BCD752C661C1B33F19725C215041,234168,>1m <=5m,ATBI DATABASE,,1446951510000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253698,3928982,35.473861,-83.714561,Hazel Creek,Hazel Creek,1784.646362,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446951510000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D016DD68CACD54C0A6936E501DD14140,234219,0101000020110F0000DACE501832AB61C1C0DE8418B8365041,234183,>1m <=5m,ATBI DATABASE,,1446951519000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299389,3945582,35.6337,-83.215475,Straight Fork Raven Fork,Straight Fork Raven Fork,3322.54834,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446951519000,GRSM,UNR,,8,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957312000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,234222,0101000020110F00002469CBC5E8A361C1385EE83A63305041,234185,>1m <=5m,ATBI DATABASE,,1446951521000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446951521000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000075AD4641D3CC54C00F0D181F84CC4140,234220,0101000020110F00004089BC2F60AA61C16F997F40EA315041,234184,>1m <=5m,ATBI DATABASE,,1446951520000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300666,3941566,35.597775,-83.20039,Straight Fork Raven Fork,,4566.72998,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446951520000,GRSM,UNR,,1,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1030320000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E222990374D054C07D9EE5D721CE4140,234217,0101000020110F00007CF259FB74AD61C19AB43D6A9A335041,234181,>1m <=5m,ATBI DATABASE,,1446951518000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295562,3943083,35.610401,-83.257077,Upper Raven Fork,Raven Fork,3714.570801,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446951518000,GRSM,UNR,,7,,,Enloe Creek Trail,Straight Fork Road,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003D35090498D054C0510A2A12A2CD4140,234216,0101000020110F0000CAF6DF8E93AD61C1D89EA5F014335041,234180,>1m <=5m,ATBI DATABASE,,1446951517000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295353,3942655,35.606502,-83.259274,Upper Raven Fork,Ramp Cove Branch,3471.060791,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446951517000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925171200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002650B5F738D054C073102C0274CD4140,234218,0101000020110F00004CD96BD542AD61C124FBC6D2E4325041,234182,>1m <=5m,ATBI DATABASE,,1446951518000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295875,3942487,35.605096,-83.253473,Upper Raven Fork,Ramp Cove Branch,4342.522949,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446951518000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925171200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000CEE4AA98FBD154C074ED30D2FDCD4140,234215,0101000020110F0000A030858DC1AE61C1AE69CBC874335041,234179,>1m <=5m,ATBI DATABASE,,1446951516000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,293394,3943011,35.609302,-83.280977,Upper Raven Fork,,4797.008789,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446951516000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Pedicularis_canadensis,Pedicularis  canadensis,29480,Wood Betony,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
