the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E975E7C372F454C0930DED6184BA4140,235752,0101000020110F00009B5CAB1207CC61C1DA7EE3B9211F5041,235738,>1m <=5m,ATBI DATABASE,,1446952411000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244121,3927396,35.457158,-83.819501,Lake Cheoah-Little Tennessee River,Lewellyn Branch,1575.436768,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952411000,GRSM,UNR,,3,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000B9DA4EE4F4ED54C0A367FBE37FBC4140,235758,0101000020110F000008CBAFA483C661C1DD4BD0EF32215041,235744,>1m <=5m,ATBI DATABASE,,1446952414000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253376,3928856,35.472646,-83.718068,Hazel Creek,Hazel Creek,1791.557373,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952414000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184889600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,Malaise trap (Townes), ,day,cert,Noctuidae
0101000020E6100000E28FE4EACEE354C08A976A10EDBB4140,235760,0101000020110F0000B7ECD42EE5BD61C10D8E34D299205041,235746,>1m <=5m,ATBI DATABASE,,1446952416000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267754,3927974,35.468165,-83.5595,Forney Creek,Gray Wolf Creek,2105.979492,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952416000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000F513D8E040E354C09DA4B74748BA4140,235761,0101000020110F00004D44888C6CBD61C12712720FE31E5041,235747,>1m <=5m,ATBI DATABASE,,1446952416000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268504,3926529,35.455324,-83.550831,Fontana Lake-Tuckasegee River,Goldmine Branch,1920.431763,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952416000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,235790,0101000020110F000042805D891DAB61C127EC9D93094A5041,235776,>1m <=5m,ATBI DATABASE,,1446952435000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446952435000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,960163200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,235792,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,235778,>1m <=5m,ATBI DATABASE,,1446952436000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446952436000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990230400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000002D552FE0A1CD54C0F33F4FBCB0E14140,235791,0101000020110F0000582E66AB0FAB61C1956F6AE70D485041,235777,>1m <=5m,ATBI DATABASE,,1446952436000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299937,3959943,35.763199,-83.213001,Cosby Creek,Fletcher Spring Branch,2035.18103,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446952436000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000BF0259CECCCC54C0A7CD7493BEDF4140,235794,0101000020110F00009C3B9AB55AAA61C12F0EEF8C04465041,235780,>1m <=5m,ATBI DATABASE,,1446952437000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301075,3958230,35.747997,-83.199996,Cosby Creek,Cosby Creek,2564.625977,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446952437000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084579200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000B9556BBC0FCD54C0C33528AEEBDF4140,235793,0101000020110F00004929938D93AA61C1905930C033465041,235779,>1m <=5m,ATBI DATABASE,,1446952437000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300709,3958391,35.749373,-83.204081,Cosby Creek,Cosby Creek,2450.387451,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446952437000,GRSM,UNR,,3,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,235798,0101000020110F00008A1D37A273A361C1C551E73A57305041,235784,>1m <=5m,ATBI DATABASE,,1446952439000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952439000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D791CF9D73C454C0466167AF23CA4140,235802,0101000020110F0000A663F59743A361C128D8B3D16E2F5041,235788,>1m <=5m,ATBI DATABASE,,1446952441000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312477,3939249,35.579207,-83.069553,Lower Johnathans Creek,,4594.510254,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952441000,GRSM,UNR,,5,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Phalaenophana_pyramusalis,Phalaenophana  pyramusalis,30047,Dark-banded Owlet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Herminiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
