the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000072514E3033F454C029BC06A8E9BE4140,236176,0101000020110F0000E977CC13D1CB61C1CC72FA41B7235041,236162,>1m <=5m,ATBI DATABASE,,1446952648000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244582,3931196,35.491499,-83.81562,Eagle Creek,Proctor Branch,3760.021973,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952648000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E92073EE41F454C0859A93AABCBE4140,236174,0101000020110F000064222E99DDCB61C13CAC225488235041,236160,>1m <=5m,ATBI DATABASE,,1446952647000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244496,3931046,35.490126,-83.81652,Lake Cheoah-Little Tennessee River,Proctor Branch,3627.670898,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952647000,GRSM,UNR,,3,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AF0E1D8EB0F454C0A2D4D099C3BE4140,236171,0101000020110F0000595E148D3BCC61C16E66DF8F8F235041,236157,>1m <=5m,ATBI DATABASE,,1446952645000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243884,3931087,35.490337,-83.823272,Lake Cheoah-Little Tennessee River,,3272.786133,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952645000,GRSM,UNR,,8,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000009AC0F1D856F254C01C672DEE07BD4140,236203,0101000020110F0000466D43853CCA61C1712DB8CFC0215041,236190,>1m <=5m,ATBI DATABASE,,1446952663000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247174,3929490,35.476798,-83.786547,Eagle Creek,,2074.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952663000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865296000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004A5E24E7B6F354C0B674B0FE8FBD4140,236194,0101000020110F0000DCAF788567CB61C194C216B84E225041,236181,>1m <=5m,ATBI DATABASE,,1446952658000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245237,3930006,35.48095,-83.808034,Lake Cheoah-Little Tennessee River,,3543.000488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952658000,GRSM,UNR,,9,,,Appalachian Trail,Lakeview Drive West,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864691200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000013F3B15DEFF354C09EADF7B309BE4140,236185,0101000020110F00008756BA7997CB61C11805FCA8CD225041,236172,>1m <=5m,ATBI DATABASE,,1446952653000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244936,3930427,35.484664,-83.811481,Lake Cheoah-Little Tennessee River,,3634.779297,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952653000,GRSM,UNR,,8,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864691200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000025CE2F827AE454C04C04A20E88BA4140,236255,0101000020110F000033D84BEA76BE61C154B5BA8E251F5041,236242,>1m <=5m,ATBI DATABASE,,1446952695000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266772,3926790,35.45727,-83.569973,Fontana Lake-Tuckasegee River,Glady Branch,2164.571777,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952695000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865209600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000F1C0637F46E454C05F582166A8BA4140,236257,0101000020110F0000EAF008BE4ABE61C10E788447471F5041,236244,>1m <=5m,ATBI DATABASE,,1446952696000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267063,3926892,35.458257,-83.566799,Forney Creek,,2073.221191,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952696000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865209600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C69347B1E8E554C085BEC5E191BF4140,236249,0101000020110F000071A155EAADBF61C151C8A4BD66245041,236236,>1m <=5m,ATBI DATABASE,,1446952691000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264858,3931210,35.496633,-83.592323,Forney Creek,,3891.07959,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952691000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,866160000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000069E0DA98DDE354C0E5A96E057FBD4140,236258,0101000020110F00001A5E78A6F1BD61C1521F20043D225041,236245,>1m <=5m,ATBI DATABASE,,1446952696000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267708,3929337,35.480432,-83.560396,Forney Creek,,2284.546631,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952696000,GRSM,UNR,,5,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895363200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A9D05F3959E254C0BBC4B416F6BF4140,236259,0101000020110F000063A713CEA7BC61C11E93A546CF245041,236246,>1m <=5m,ATBI DATABASE,,1446952697000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269914,3931418,35.499691,-83.536692,Forney Creek,Bee Gum Branch,3438.586182,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952697000,GRSM,UNR,,1,,,Springhouse Branch Trail,Lakeview Drive East Parking #4,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864432000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000002190ACD82CE254C0E4FB5D3D86BF4140,236260,0101000020110F000089366E1D82BC61C1321E91985A245041,236247,>1m <=5m,ATBI DATABASE,,1446952698000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270150,3931033,35.496277,-83.533983,Forney Creek,Laurel Branch,3788.846436,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952698000,GRSM,UNR,,1,,,Springhouse Branch Trail,Lakeview Drive East Parking #3,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864432000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000007AAD267D51DD54C03C9D176622BE4140,236294,0101000020110F00000FAD8B2162B861C15A421D6BE7225041,236281,>1m <=5m,ATBI DATABASE,,1446952719000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277005,3929654,35.485418,-83.458095,Deep Creek,Long Branch,4036.035156,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952719000,GRSM,UNR,,10,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864000000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000006E5D713E43DD54C0CA73292000BE4140,236298,0101000020110F00002E28650856B861C1EC50B5ABC3225041,236285,>1m <=5m,ATBI DATABASE,,1446952721000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277081,3929536,35.484372,-83.457225,Deep Creek,,3974.546387,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952721000,GRSM,UNR,,10,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895968000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000D1B649C16ADD54C05A5F52EC50BE4140,236291,0101000020110F0000F3AFEF9677B861C13FF7F0F117235041,236278,>1m <=5m,ATBI DATABASE,,1446952717000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276869,3929815,35.486838,-83.459637,Deep Creek,Hammer Branch,4067.504883,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952717000,GRSM,UNR,,10,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895968000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003198A63869DD54C00D249185C1BE4140,236292,0101000020110F0000232A784976B861C18C17B0648D235041,236279,>1m <=5m,ATBI DATABASE,,1446952717000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276887,3930196,35.490274,-83.459543,Fontana Lake-Tuckasegee River,Dancing Branch,4150.594238,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952717000,GRSM,UNR,,6,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864000000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A28B3F4A9FDD54C052E82C1B6CBF4140,236286,0101000020110F0000E7782435A4B861C187D197553F245041,236273,>1m <=5m,ATBI DATABASE,,1446952714000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276602,3930781,35.49548,-83.462843,Fontana Lake-Tuckasegee River,,4321.773438,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952714000,GRSM,UNR,,5,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864000000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AE3F9BB279DD54C0C4EA8A7752BF4140,236288,0101000020110F00006BCDC74784B861C1E858B59624245041,236275,>1m <=5m,ATBI DATABASE,,1446952715000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276808,3930689,35.494697,-83.460549,Fontana Lake-Tuckasegee River,,4206.282227,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952715000,GRSM,UNR,,4,,,Noland Divide Trail,West Deep Creek Road,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864000000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000417695F06FDD54C07111DD882EBF4140,236290,0101000020110F00003E8735FE7BB861C1D4C42C1BFF235041,236277,>1m <=5m,ATBI DATABASE,,1446952716000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276859,3930566,35.493601,-83.459953,Deep Creek,,4147.66748,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952716000,GRSM,UNR,,8,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Pheucticus_ludovicianus,Pheucticus  ludovicianus,30335,Rose-breasted Grosbeak,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864000000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Cardinalidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
