the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000051F392550AEF54C0E666B9259FB94140,237024,0101000020110F000056A977466FC761C18551B8B8321E5041,236998,>1m <=5m,ATBI DATABASE,,1446953145000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251770,3926404,35.450162,-83.735002,Lower Fontana Lake-Little Tennessee River,,1737.359253,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953145000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E610000071674525CCEE54C08CF4BDEE03BD4140,237025,0101000020110F00006B6259753AC761C11D9D5CA4BC215041,236999,>1m <=5m,ATBI DATABASE,,1446953146000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252196,3929336,35.476676,-83.731206,Hazel Creek,Hickory Bottom Branch,1810.999878,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953146000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185148800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000003FC5887CEBCD54C015D7ECD9D7E34140,237047,0101000020110F00003D36E92F4EAB61C1E16B92CB4E4A5041,237021,>1m <=5m,ATBI DATABASE,,1446953159000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299573,3961818,35.780018,-83.217494,Cosby Creek,Fletcher Spring Branch,1695.348633,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953159000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087776000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000DBCCD26291CD54C0F4777E7789E14140,237049,0101000020110F0000870E32AA01AB61C106D09FCDE4475041,237023,>1m <=5m,ATBI DATABASE,,1446953160000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300025,3959808,35.762001,-83.211995,Cosby Creek,Rock Creek,2048.573975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953160000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087862400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002562B753E3CD54C0B435E2D618E44140,237048,0101000020110F0000B994E04147AB61C13F31B2D4924A5041,237022,>1m <=5m,ATBI DATABASE,,1446953159000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299623,3962037,35.782001,-83.216996,Cosby Creek,Fletcher Spring Branch,1669.737183,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953159000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995760000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000035B546E6CCCC54C0DDA8C25DC5DF4140,237050,0101000020110F000012CAECC95AAA61C13B1B00A80B465041,237024,>1m <=5m,ATBI DATABASE,,1446953160000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301075,3958253,35.748204,-83.200002,Cosby Creek,Cosby Creek,2559.959961,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953160000,GRSM,UNR,,2,,,Low Gap Trail,Cosby Campground Road B,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1060041600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000045904D6912C354C036A0E9224ED24140,237060,0101000020110F0000D7F6CA9D17A261C105803AA4F6375041,237034,>1m <=5m,ATBI DATABASE,,1446953165000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314578,3946285,35.643003,-83.047995,Lower Cataloochee Creek,,4054.270264,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953165000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1088208000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,237059,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,237033,>1m <=5m,ATBI DATABASE,,1446953165000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953165000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000BB38C454E7C354C0156524BFA1D14140,237058,0101000020110F0000E9ABFF72CCA261C18FEB697C42375041,237032,>1m <=5m,ATBI DATABASE,,1446953164000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313389,3945726,35.637742,-83.06099,Lower Cataloochee Creek,Winding Stair Branch,3210.73584,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953164000,GRSM,UNR,,8,,,Cataloochee Divide Trail,Cataloochee Entrance Road,Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184803200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000008D94442EACC454C037E70A3D02CB4140,237054,0101000020110F00008A1D37A273A361C1C551E73A57305041,237028,>1m <=5m,ATBI DATABASE,,1446953162000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953162000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,237055,0101000020110F0000E0AAD1C349A361C167A168F912305041,237029,>1m <=5m,ATBI DATABASE,,1446953163000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953163000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phosphila_turbulenta,Phosphila  turbulenta,29346,Turbulent Phosphila Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Hadeninae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
