the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B992A354F0F754C04974945819BC4140,237098,0101000020110F00002C5F70FAFDCE61C1ED94B7FFC7205041,237071,>1m <=5m,ATBI DATABASE,,1446953187000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239210,3928910,35.469517,-83.874039,Lake Cheoah-Little Tennessee River,Twentymile Creek,1442.549805,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953187000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000005D439715FF754C0E38D17D559BC4140,237099,0101000020110F000083AFB0EC82CE61C1CEF0613F0B215041,237072,>1m <=5m,ATBI DATABASE,,1446953188000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240019,3929105,35.471485,-83.865196,Lake Cheoah-Little Tennessee River,Twentymile Creek,1724.980469,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953188000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000ACCD7905A3EC54C09BA308555CBD4140,237114,0101000020110F0000F73699B064C561C1E1F83ED618225041,237087,>1m <=5m,ATBI DATABASE,,1446953196000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255268,3929551,35.479373,-83.697446,Hazel Creek,Hazel Creek,2010.145508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953196000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008DC60AAC93EC54C0B376F2215CBD4140,237115,0101000020110F0000894754A757C561C16214F7A018225041,237088,>1m <=5m,ATBI DATABASE,,1446953197000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255353,3929548,35.479367,-83.696509,Hazel Creek,Hazel Creek,2014.472046,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953197000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000001DC2032697E054C06278A391BABE4140,237122,0101000020110F0000740B3D8E29BB61C1A5910F2486235041,237096,>1m <=5m,ATBI DATABASE,,1446953201000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272379,3930286,35.490062,-83.509221,Noland Creek,,2992.0979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953201000,GRSM,UNR,,4,,,Lower Noland-Monteith Cemetery Access,Lakeview Drive East,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085443200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D1A4F96893E054C099AAD21B90BD4140,237121,0101000020110F000005AC6C6126BB61C18C7579D64E225041,237095,>1m <=5m,ATBI DATABASE,,1446953201000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272374,3929275,35.480954,-83.508993,Noland Creek,Noland Creek,2222.125488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953201000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,237120,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,237094,>1m <=5m,ATBI DATABASE,,1446953200000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953200000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,237118,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,237092,>1m <=5m,ATBI DATABASE,,1446953199000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953199000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FDD526473E254C0899E871F4BBB4140,237117,0101000020110F000004227F07BEBC61C1388611F4F01F5041,237091,>1m <=5m,ATBI DATABASE,,1446953198000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269665,3927376,35.463223,-83.538289,Noland Creek,,2218.819824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953198000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000163AACF97CE254C07B7CC1F588BA4140,237116,0101000020110F0000C872202BC6BC61C1CA84B67F261F5041,237090,>1m <=5m,ATBI DATABASE,,1446953198000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269595,3926720,35.457298,-83.538874,Noland Creek,Laurel Branch,2137.520996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953198000,GRSM,UNR,,1,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087603200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001F0BB3CBD5DB54C0D6DD8A3E8BBA4140,237129,0101000020110F0000787752A81FB761C1061373E1281F5041,237103,>1m <=5m,ATBI DATABASE,,1446953205000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279031,3926490,35.457368,-83.43492,Deep Creek,,1886.1427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953205000,GRSM,UNR,,4,,,Noland Divide Trail,Deep Creek Maintenance And Residence Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1378252800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand,No,day,cert,ATBI
