the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000006FCFF65F9CF254C0645F5480DFBC4140,238520,0101000020110F00004AF9F99177CA61C13732C4A596215041,238511,>1m <=5m,ATBI DATABASE,,1446954073000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246785,3929364,35.475564,-83.79079,Eagle Creek,Birchfield Branch,2164.193359,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954073000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865296000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001D415FB71EF154C093CAFCF9EFBD4140,238533,0101000020110F0000A18D6F6D33C961C1AB80B6D3B2225041,238524,>1m <=5m,ATBI DATABASE,,1446954081000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248925,3930227,35.483879,-83.767496,Eagle Creek,,2275.062012,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954081000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000FA292BD973F354C0284804945ABB4140,238514,0101000020110F0000E69F67922ECB61C13B49AC1101205041,238505,>1m <=5m,ATBI DATABASE,,1446954070000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245554,3928081,35.463695,-83.803942,Lower Fontana Lake-Little Tennessee River,,1826.141357,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954070000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000043FB195D2CF154C064848A86D9B94140,238532,0101000020110F0000AE46A9043FC961C138E1F0956F1E5041,238523,>1m <=5m,ATBI DATABASE,,1446954080000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248750,3926686,35.451944,-83.768329,Lower Fontana Lake-Little Tennessee River,Johnny Branch,2204.177246,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954080000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1086220800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000AD20E53EF1EC54C034C9F4FDB4B94140,238551,0101000020110F00000F7F3120A7C561C119870C7F491E5041,238542,>1m <=5m,ATBI DATABASE,,1446954091000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254748,3926396,35.450829,-83.70222,Lower Fontana Lake-Little Tennessee River,Mill Branch,1808.270874,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954091000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085356800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000CCAA3DBCECEC54C0A3FD42A1FBBB4140,238553,0101000020110F000079938B4BA3C561C18811AD02A9205041,238544,>1m <=5m,ATBI DATABASE,,1446954092000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254827,3928368,35.46861,-83.701945,Hazel Creek,Rowan Branch,2412.785645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954092000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085529600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000003FE55BC9F5EC54C0D46A1F5DF2BB4140,238552,0101000020110F0000D26D79FBAAC561C163C7FC589F205041,238543,>1m <=5m,ATBI DATABASE,,1446954091000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254776,3928338,35.468327,-83.702498,Hazel Creek,Rowan Branch,2470.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954091000,GRSM,UNR,,8,,,Hazel Creek Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085529600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000128DB408F0ED54C0CC2F7607E0BB4140,238548,0101000020110F0000BD967E847FC661C1C6656B3A8C205041,238539,>1m <=5m,ATBI DATABASE,,1446954089000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253388,3928314,35.467768,-83.717771,Hazel Creek,Hazel Creek,1976.764648,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954089000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E610000076B2ED1700F054C0634FCACA0DBC4140,238540,0101000020110F00007001A6FF3FC861C17BE745F3BB205041,238531,>1m <=5m,ATBI DATABASE,,1446954084000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250467,3928550,35.469164,-83.750002,Hazel Creek,,2533.88623,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954084000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085097600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000C9D33E25E0EB54C02335B5B8BBBB4140,238556,0101000020110F0000FA3D822EBFC461C18F2FEA5D66205041,238547,>1m <=5m,ATBI DATABASE,,1446954094000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256309,3928111,35.466659,-83.685552,Hazel Creek,Rowan Branch,2798.954102,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446954094000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Picoides_pubescens,Picoides  pubescens,31336,Downy Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085443200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Piciformes, , , , ,Picidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
