the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003660328308F454C096E65D9CC8BB4140,109403,0101000020110F0000369E19D5ACCB61C134CDC2CE73205041,108903,>1m <=5m,ATBI DATABASE,,1446820653000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244741,3928477,35.467053,-83.813015,Lake Cheoah-Little Tennessee River,,2642.152588,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820653000,GRSM,UNR,,10,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000071144E4291F554C06CDB58D20FBE4140,109373,0101000020110F00000FBB6464FACC61C1472EC00AD4225041,108873,>1m <=5m,ATBI DATABASE,,1446820639000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242622,3930514,35.484851,-83.836987,Lake Cheoah-Little Tennessee River,,2365.385742,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820639000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003BFB49033FF554C0E4AEB0B085BE4140,109377,0101000020110F0000A29C5C8AB4CC61C1BB41F4FB4E235041,108877,>1m <=5m,ATBI DATABASE,,1446820641000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243089,3930900,35.488448,-83.831967,Lake Cheoah-Little Tennessee River,,2526.278809,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820641000,GRSM,UNR,,2,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C25F4F180DF554C0E4E2C555B4BE4140,109380,0101000020110F0000B1C22B258ACC61C1FEA46EA37F235041,108880,>1m <=5m,ATBI DATABASE,,1446820642000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243370,3931050,35.489872,-83.82892,Lake Cheoah-Little Tennessee River,,2764.038574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820642000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AAFA97CF32F554C00F97BB27B3BE4140,109378,0101000020110F00005D06682DAACC61C199C760687E235041,108878,>1m <=5m,ATBI DATABASE,,1446820641000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243161,3931052,35.489836,-83.831222,Lake Cheoah-Little Tennessee River,,2619.690674,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820641000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000D1164F5116F454C06F3F036BCEBF4140,109404,0101000020110F000050659F8EB8CB61C1C5F028E4A5245041,108904,>1m <=5m,ATBI DATABASE,,1446820654000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244764,3931966,35.49848,-83.813858,Eagle Creek,,3735.413574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820654000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A9B9175619F454C075EFD84430BF4140,109402,0101000020110F00003DB7F21EBBCB61C11A714FEA00245041,108902,>1m <=5m,ATBI DATABASE,,1446820653000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244732,3931431,35.493654,-83.814042,Eagle Creek,,3797.363037,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820653000,GRSM,UNR,,9,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000072514E3033F454C029BC06A8E9BE4140,109396,0101000020110F0000E977CC13D1CB61C1CC72FA41B7235041,108896,>1m <=5m,ATBI DATABASE,,1446820650000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244582,3931196,35.491499,-83.81562,Eagle Creek,Proctor Branch,3760.021973,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820650000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000002641F5F825F454C0A86FBF9AC8BE4140,109398,0101000020110F0000EFFC51DAC5CB61C1B85801C894235041,108898,>1m <=5m,ATBI DATABASE,,1446820651000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244652,3931082,35.49049,-83.814814,Eagle Creek,Proctor Branch,3562.090332,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820651000,GRSM,UNR,,6,,,Lost Cove Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898819200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E92073EE41F454C0859A93AABCBE4140,109394,0101000020110F000064222E99DDCB61C13CAC225488235041,108894,>1m <=5m,ATBI DATABASE,,1446820649000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244496,3931046,35.490126,-83.81652,Lake Cheoah-Little Tennessee River,Proctor Branch,3627.670898,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446820649000,GRSM,UNR,,3,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Pipilo_erythrophthalmus,Pipilo  erythrophthalmus,31483,Eastern Towhee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
