the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000000BD9E3FF3AF654C013C45FE4FCBD4140,1837,0101000020110F00007672898D8ACD61C1082A504CC0225041,1243,>1m <=5m,ATBI DATABASE,,1446824196000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241680,3930477,35.484273,-83.847347,Lake Cheoah-Little Tennessee River,Twentymile Creek,2337.178955,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824196000,GRSM,UNR,,7,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000032BF0F11BBF654C0B81B8687D7BD4140,1828,0101000020110F0000DB4BFE51F7CD61C1F59B1B5499225041,1234,>1m <=5m,ATBI DATABASE,,1446824192000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240967,3930371,35.483133,-83.855164,Lake Cheoah-Little Tennessee River,,2539.585693,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824192000,GRSM,UNR,,5,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004E2113CD1CF754C031644773BCBD4140,1821,0101000020110F000044997F534ACE61C14C0BD1157D225041,1227,>1m <=5m,ATBI DATABASE,,1446824188000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240423,3930295,35.482307,-83.861129,Lake Cheoah-Little Tennessee River,,2419.374756,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824188000,GRSM,UNR,,8,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000F503F196F8F554C0F4F3159A27BE4140,1842,0101000020110F0000E43DA02652CD61C12C7E6CD8EC225041,1248,>1m <=5m,ATBI DATABASE,,1446824199000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242052,3930611,35.485577,-83.843294,Lake Cheoah-Little Tennessee River,,2199.261963,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824199000,GRSM,UNR,,10,,,Twentymile Loop Trail,Payne Cemetery Access Road,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000073CA3937A1F554C01EDDF88232BE4140,1850,0101000020110F0000BECBB7F107CD61C18A657F39F8225041,1256,>1m <=5m,ATBI DATABASE,,1446824203000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242537,3930634,35.48591,-83.837961,Lake Cheoah-Little Tennessee River,Proctor Branch,2298.54834,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824203000,GRSM,UNR,,6,,,Twentymile Loop Trail,Payne Cemetery Access Road,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000069A076AEFEF454C027CBCE84A1BE4140,1854,0101000020110F0000810C62E77DCC61C169B2EF026C235041,1260,>1m <=5m,ATBI DATABASE,,1446824205000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243448,3930984,35.489297,-83.82804,Lake Cheoah-Little Tennessee River,,2900.774902,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824205000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000082F7E96629F254C069CD618749BD4140,1912,0101000020110F0000974A7AEC15CA61C144B5DC3905225041,1318,>1m <=5m,ATBI DATABASE,,1446824236000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247432,3929705,35.4788,-83.783773,Eagle Creek,,2057.915527,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824236000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928886400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000D0D5218D03F254C06DD5D5F48BBD4140,1913,0101000020110F0000A768F1C6F5C961C1B74CCF814A225041,1319,>1m <=5m,ATBI DATABASE,,1446824237000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247648,3929924,35.480827,-83.781463,Eagle Creek,,1918.305054,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824237000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,896054400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000008307E10C5F354C02C9C7D5556BD4140,1877,0101000020110F000084A97B8C73CB61C1CF80C09412225041,1283,>1m <=5m,ATBI DATABASE,,1446824218000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245153,3929813,35.47919,-83.808899,Lake Cheoah-Little Tennessee River,,3411.752441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824218000,GRSM,UNR,,10,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000005D6B9E0CB6F354C0531AD6F91CBF4140,1882,0101000020110F0000112CE1CB66CB61C1BCB544CAEC235041,1288,>1m <=5m,ATBI DATABASE,,1446824220000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245280,3931350,35.493065,-83.807982,Eagle Creek,,3034.907715,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446824220000,GRSM,UNR,,5,,,Lost Cove Trail,Payne Cemetery Access Road,Valid,Poecile_carolinensis,Poecile  carolinensis,31946,Carolina Chickadee,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898819200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Paridae, ,~,observed, ,day,cert,Ted Simons Bird Survey
