the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D133A2B970F554C07BD89E683DBA4140,4082,0101000020110F0000A6A9D9C2DECC61C107B9AFB9D71E5041,3455,>1m <=5m,ATBI DATABASE,,1446825432000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242707,3927196,35.454992,-83.835001,Lake Cheoah-Little Tennessee River,,1753.150391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825432000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089072000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,4088,0101000020110F000043BD15912CC961C176DD8BB794225041,3461,>1m <=5m,ATBI DATABASE,,1446825435000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825435000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000B76E85DB1AEF54C0319B7C8A0EBD4140,4094,0101000020110F00004681F64E7DC761C1F315A9B4C7215041,3467,>1m <=5m,ATBI DATABASE,,1446825438000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251761,3929384,35.476999,-83.73601,Hazel Creek,Shehan Branch,1865.761719,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825438000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089244800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000002DF052D376EE54C08A0D76C0BEBF4140,4095,0101000020110F00001002FAFEF1C661C15BB15E8C95245041,3468,>1m <=5m,ATBI DATABASE,,1446825439000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252734,3931689,35.498002,-83.725998,Hazel Creek,,3594.70752,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825439000,GRSM,UNR,,7,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-991785600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000009123DAE449E454C0943FB1B879B84140,4102,0101000020110F0000173B78A04DBE61C1987728D2001D5041,3475,>1m <=5m,ATBI DATABASE,,1446825443000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266995,3925001,35.441208,-83.567006,Fontana Lake-Tuckasegee River,Tuckasegee River,1682.408691,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446825443000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-930268800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,4115,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,3488,>1m <=5m,ATBI DATABASE,,1446825451000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446825451000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,585273600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000AA4103D33C354C082303142AAD14140,4118,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,3491,>1m <=5m,ATBI DATABASE,,1446825452000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446825452000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,585273600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008795F0D5A5C454C083F926AB74CA4140,4117,0101000020110F00007E44AC3E6EA361C167172663C32F5041,3490,>1m <=5m,ATBI DATABASE,,1446825452000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312205,3939529,35.581679,-83.072618,Lower Johnathans Creek,,4616.470215,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446825452000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1078358400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,Birds & Bird Parasites
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,4116,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,3489,>1m <=5m,ATBI DATABASE,,1446825451000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446825451000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958262400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000EDB77EA670CD54C022BF23CF1ACF4140,4111,0101000020110F0000FAAAC7DCE5AA61C188AAD2829E345041,3484,>1m <=5m,ATBI DATABASE,,1446825448000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299846,3943829,35.617999,-83.209997,Straight Fork Raven Fork,,3103.516113,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446825448000,GRSM,UNR,,3,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1087603200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C7F95EED6FCD54C06635EFD51ACF4140,4113,0101000020110F000089D88D3FE5AA61C182FAEB899E345041,3486,>1m <=5m,ATBI DATABASE,,1446825450000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299850,3943829,35.618,-83.209953,Straight Fork Raven Fork,,3080.060059,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446825450000,GRSM,UNR,,1,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Polygonia_interrogationis,Polygonia  interrogationis,32087,Question Mark,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1087603200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
