the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000006EBBE23F83C754C08D4D4345B6DA4140,7447,0101000020110F0000FD7D2822DDA561C1A09069B9C0405041,6802,>1m <=5m,ATBI DATABASE,,1446827271000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308452,3953704,35.708681,-83.117382,Cold Springs Creek-Pigeon River,Mount Sterling Creek,5358.602539,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827271000,GRSM,UNR,,4,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1184198400000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000151843B01FC754C0E34951B5BDDB4140,7448,0101000020110F000069EE829388A561C136CF6747D4415041,6803,>1m <=5m,ATBI DATABASE,,1446827272000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309021,3954584,35.71672,-83.111305,Big Creek,Baxter Creek,4706.390137,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827272000,GRSM,UNR,,5,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1185321600000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000E9AC44108FCF54C0C43B905A80DE4140,7445,0101000020110F00007FFDBA88B2AC61C183BC7390B7445041,6800,>1m <=5m,ATBI DATABASE,,1446827270000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297152,3957241,35.738285,-83.243103,Cosby Creek,,4985.087402,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827270000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1217808000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E61000005E21761DFFCF54C06B2F3FC31DDC4140,7444,0101000020110F0000BBF212B311AD61C1339621C238425041,6799,>1m <=5m,ATBI DATABASE,,1446827269000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,296486,3955188,35.719651,-83.249942,Big Creek,,5945.569824,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827269000,GRSM,UNR,,6,,,Appalachian Trail,Cosby Campground Road B,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181779200000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E610000016A7D6D2AECE54C093ED94FFAAD84140,7446,0101000020110F0000C2E74716F4AB61C1CA3361779D3E5041,6801,>1m <=5m,ATBI DATABASE,,1446827270000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,298275,3952157,35.692712,-83.229416,Straight Fork Raven Fork,Thermo Branch,5952.520996,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827270000,GRSM,UNR,,6,,,Balsam Mountain Trail,Cosby Campground Road B,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1217376000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000FF2427DBACDF54C0B5C85E45FFC44140,7410,0101000020110F0000061C2C9262BA61C1EE98CA7F102A5041,6766,>1m <=5m,ATBI DATABASE,,1446827249000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273814,3935686,35.539033,-83.494921,Forney Creek,Keeyuga Creek,5704.252441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827249000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1183420800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000EB5BF0E6ACDF54C07E8DF8E330C54140,7411,0101000020110F000077A12E9C62BA61C13B53F349442A5041,6767,>1m <=5m,ATBI DATABASE,,1446827250000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273818,3935854,35.540548,-83.494924,Forney Creek,Keeyuga Creek,5771.138184,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827250000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1182124800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E61000003FBFB534B3DF54C03B8FD1D447C74140,7414,0101000020110F00000F27C2F667BA61C1373C17B0722C5041,6769,>1m <=5m,ATBI DATABASE,,1446827251000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273829,3937666,35.556873,-83.495309,Forney Creek,,6357.449219,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827251000,GRSM,UNR,,6,,,Clingmans Dome Trail,Clingmans Dome Road Parking #3,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1186012800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000B90AA9089BDF54C0B55454C027C74140,7415,0101000020110F00002DF43E6F53BA61C1A6D7A532512C5041,6770,>1m <=5m,ATBI DATABASE,,1446827251000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273960,3937554,35.555894,-83.493833,Noland Creek,Salola Branch,6209.724121,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827251000,GRSM,UNR,,9,,,Clingmans Dome Trail,Clingmans Dome Road Parking #3,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181260800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000B23BBCFE7CDF54C0D2C5C7A3EBC74140,7416,0101000020110F0000ABAE30EC39BA61C11777CDB31D2D5041,6771,>1m <=5m,ATBI DATABASE,,1446827252000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274143,3938213,35.561872,-83.492,Noland Creek,Clingmans Creek,5974.214844,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827252000,GRSM,UNR,,7,,,Clingmans Dome Trail,Clingmans Dome Access Road,Valid,Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1183939200000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Polytrichales, , , , ,Polytrichaceae, ,~,by hand, , ,cert,ATBI Bryophytes
