the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AD56B9F207F454C0CBF8267602BB4140,7487,0101000020110F0000D936665AACCB61C1592CE92FA51F5041,6839,>1m <=5m,ATBI DATABASE,,1446827292000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244725,3927806,35.461006,-83.812981,Lake Cheoah-Little Tennessee River,,1913.606812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827292000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121990400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000003B419864CFF754C0B97C30985BBC4140,7473,0101000020110F000026E51901E2CE61C18517CF150D215041,6825,>1m <=5m,ATBI DATABASE,,1446827284000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239399,3929129,35.471538,-83.872029,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1544.624756,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827284000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1122249600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000C2D6790FE8E254C06AEC99C54EBB4140,7493,0101000020110F0000AEABAD1D21BD61C17F6710C2F41F5041,6845,>1m <=5m,ATBI DATABASE,,1446827295000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269019,3927405,35.463335,-83.54541,Fontana Lake-Tuckasegee River,,2395.842529,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827295000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119139200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,7549,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,6901,>1m <=5m,ATBI DATABASE,,1446827329000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827329000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000080000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E610000015CB83AD3FC554C01107640AF1CA4140,7550,0101000020110F0000CDD327E7F0A361C1331C104545305041,6902,>1m <=5m,ATBI DATABASE,,1446827329000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311363,3939968,35.585474,-83.082008,Upper Cataloochee Creek,McKee Branch,4504.16748,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446827329000,GRSM,UNR,,2,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1088035200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction,No, ,cert,ATBI Ants
0101000020E610000056203BEE42D754C0AC97183811CB4140,7538,0101000020110F00000C7ECC3D3DB361C18F9D01E066305041,6890,>1m <=5m,ATBI DATABASE,,1446827323000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285861,3940653,35.586456,-83.363456,Upper Oconaluftee River,Kanati Fork,2888.110352,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446827323000,GRSM,UNR,,2,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119657600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000C5D8725C5DD354C0B4EF3B9AEBC04140,7545,0101000020110F0000EF345E01EEAF61C12AA55469CF255041,6897,>1m <=5m,ATBI DATABASE,,1446827327000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291173,3931728,35.507183,-83.302569,Lower Oconaluftee River,Oconaluftee River,2004.54895,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446827327000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086480000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction,No, ,cert,ATBI Ants
0101000020E61000000DA1B0424CD354C04D60624F22C14140,7546,0101000020110F00005C10567BDFAF61C1FCA9387D08265041,6898,>1m <=5m,ATBI DATABASE,,1446827327000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291272,3931911,35.508853,-83.301526,Lower Oconaluftee River,Oconaluftee River,2012.08374,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446827327000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998438400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Berlese sampling, , ,cert,Ravensford Study
0101000020E610000005DB626058D954C0866D767149CA4140,7533,0101000020110F0000DE82144C02B561C125AE8C3F962F5041,6885,>1m <=5m,ATBI DATABASE,,1446827320000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282894,3940048,35.580359,-83.396015,Deep Creek,Wild Cherry Branch,4752.765625,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446827320000,GRSM,UNR,,6,,,Thomas Divide Trail,Thomas Divide Trail Pullout Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1313712000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E610000069DBB44266DC54C09442E132F5CD4140,7523,0101000020110F0000CB6D005A9AB761C14BD8F2C66B335041,6875,>1m <=5m,ATBI DATABASE,,1446827314000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278648,3943336,35.609039,-83.443737,Deep Creek,Deep Creek,5156.595215,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446827314000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #4,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989452800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E6100000CECFE98661DF54C0B5F5B9058BD64140,7522,0101000020110F0000C4C20F9822BA61C1781DF5AB643C5041,6874,>1m <=5m,ATBI DATABASE,,1446827313000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274616,3950883,35.676111,-83.490324,Le Conte Creek,Le Conte Creek,2467.044434,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827313000,GRSM,UNR,,6,,,Old Sugarlands Trail,Cherokee Orchard Road,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312243200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,"baiting, hand collecting", , ,cert,ATBI Ants
