the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,8932,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,8261,>1m <=5m,ATBI DATABASE,,1446828089000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828089000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026172800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,8954,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,8283,>1m <=5m,ATBI DATABASE,,1446828100000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828100000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965001600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BB6D076C6CEE54C0AF6FD3EB8BBC4140,8951,0101000020110F0000B8120A29E9C661C12182AD7B3F215041,8280,>1m <=5m,ATBI DATABASE,,1446828098000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252715,3928915,35.473013,-83.725363,Hazel Creek,Hazel Creek,1842.874512,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828098000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000069D5B40CCAC954C07C3810B80CD14140,8971,0101000020110F0000A29C101BCCA761C1F5AC27C1A6365041,8300,>1m <=5m,ATBI DATABASE,,1446828110000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305050,3945400,35.633194,-83.152953,Upper Cataloochee Creek,Falling Rock Creek,3594.460449,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446828110000,GRSM,UNR,,6,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1056931200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E61000006D145F6E69C954C005EF3BF85CD14140,8972,0101000020110F000052B92F0C7AA761C121CC329DFA365041,8301,>1m <=5m,ATBI DATABASE,,1446828110000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305590,3945660,35.635643,-83.147056,Upper Cataloochee Creek,Palmer Creek,3373.908203,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446828110000,GRSM,UNR,,3,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,722044800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,8975,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,8304,>1m <=5m,ATBI DATABASE,,1446828112000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446828112000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1059609600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,unspecified,No,day,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,8973,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,8302,>1m <=5m,ATBI DATABASE,,1446828111000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446828111000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,778896000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000871AF779DBCA54C07475B8372EC74140,8966,0101000020110F0000A543C253B4A861C18EB7C9F2572C5041,8295,>1m <=5m,ATBI DATABASE,,1446828107000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303350,3936880,35.556091,-83.169642,Lower Raven Fork,Bunches Creek,4891.049805,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446828107000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004E52069240CB54C0DB9799BD9FC64140,8963,0101000020110F00003293B32F0AA961C1E333BC36C32B5041,8292,>1m <=5m,ATBI DATABASE,,1446828105000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302780,3936410,35.551743,-83.175812,Lower Raven Fork,Flat Creek,4964.012695,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446828105000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,930528000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000ADC6C121CBCA54C0241A7C181CC64140,8967,0101000020110F000061021C72A6A861C1740F50CB392B5041,8296,>1m <=5m,ATBI DATABASE,,1446828108000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303420,3935950,35.547726,-83.168644,Lower Raven Fork,Bunches Creek,4461.427734,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446828108000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,720748800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000A873EA02F2D554C06B10826F09C84140,8959,0101000020110F0000849D87181FB261C1A28B5FCF3C2D5041,8288,>1m <=5m,ATBI DATABASE,,1446828103000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,287662,3937982,35.562781,-83.342892,Upper Oconaluftee River,,2955.977295,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446828103000,GRSM,UNR,,7,,,Newton Bald Trail,Collins Creek Picnic Area Upper Loop Parking C,Valid,Promoresia_elegans,Promoresia  elegans,32777,Elegant Riffle Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,901670400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Elmidae, ,~,by hand, , ,cert,Inventory & Monitoring
