the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002DDB3BC103F754C0DC0A2C4346BC4140,9249,0101000020110F00007B80EB0D35CE61C17F93D0D6F6205041,8573,>1m <=5m,ATBI DATABASE,,1446828266000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240525,3929024,35.470887,-83.8596,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.40564,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828266000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003923480D1CF254C07488DA6B7EBD4140,9296,0101000020110F000085B3E1950ACA61C157CCF2633C225041,8619,>1m <=5m,ATBI DATABASE,,1446828290000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247511,3929882,35.480414,-83.782958,Eagle Creek,,1942.249878,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828290000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008E574641F5ED54C04548AD95E8BA4140,9312,0101000020110F000096B4A4F383C661C11B5F85348A1F5041,8635,>1m <=5m,ATBI DATABASE,,1446828299000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253336,3927477,35.460216,-83.71809,Hazel Creek,,2207.727295,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828299000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000163B38DD74E854C0E96AD7F609BD4140,9339,0101000020110F00003F1D11CED7C161C178B3BAEEC2215041,8659,>1m <=5m,ATBI DATABASE,,1446828311000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261188,3929112,35.47686,-83.632129,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3535.269531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828311000,GRSM,UNR,,8,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AFCC7C8346E854C0069CB66ACABC4140,9344,0101000020110F0000A62E7F70B0C161C1328D9BA880215041,8664,>1m <=5m,ATBI DATABASE,,1446828314000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261439,3928890,35.47492,-83.6293,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3240.07959,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828314000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004DA95FAA38E854C0CD4CBB68ADBB4140,9345,0101000020110F0000F669A1ADA4C161C170BB2E7157205041,8665,>1m <=5m,ATBI DATABASE,,1446828315000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261490,3927923,35.466223,-83.628455,Lower Fontana Lake-Little Tennessee River,,2701.59668,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828315000,GRSM,UNR,,10,,,Welch-Kirkland Cemetery Access,Lakeview Drive East Parking #4,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004EFB2A1C68E954C09C33727BE1B84140,9314,0101000020110F00003382CD64A6C261C1C5E534FD6C1D5041,8637,>1m <=5m,ATBI DATABASE,,1446828300000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259744,3925544,35.444374,-83.646975,Lower Fontana Lake-Little Tennessee River,,1801.621704,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828300000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001173265946E054C07395EBD09DBF4140,9357,0101000020110F0000859893EEE4BA61C1E03EB43073245041,8677,>1m <=5m,ATBI DATABASE,,1446828322000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272846,3931044,35.496997,-83.50429,Noland Creek,Noland Creek,2508.258301,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828322000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,9355,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,8675,>1m <=5m,ATBI DATABASE,,1446828321000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446828321000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F5144BBABBD154C0BAA32F1F31E04140,9385,0101000020110F0000E16B244F8BAE61C1B456B16B7C465041,8705,>1m <=5m,ATBI DATABASE,,1446828338000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294113,3958777,35.751492,-83.277079,Cosby Creek,Indian Camp Creek,2461.337402,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446828338000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Campground Road A,Valid,Prosartes_lanuginosa,Prosartes  lanuginosa,32838,Yellow Fairybells,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961718400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
