the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,11098,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,10361,>1m <=5m,ATBI DATABASE,,1446829283000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446829283000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,867715200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,11154,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,10416,>1m <=5m,ATBI DATABASE,,1446829312000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446829312000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965001600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BB6D076C6CEE54C0AF6FD3EB8BBC4140,11148,0101000020110F0000B8120A29E9C661C12182AD7B3F215041,10410,>1m <=5m,ATBI DATABASE,,1446829309000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252715,3928915,35.473013,-83.725363,Hazel Creek,Hazel Creek,1842.874512,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446829309000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000085D2450DDDDE54C093C9BD8188B94140,11173,0101000020110F0000692A3215B2B961C12122041E1B1E5041,10434,>1m <=5m,ATBI DATABASE,,1446829324000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274714,3925721,35.449472,-83.482238,Fontana Lake-Tuckasegee River,Peachtree Creek,2046.831177,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446829324000,GRSM,UNR,,7,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872553600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C57BC7E93EDB54C0D53A11C771BE4140,11184,0101000020110F0000DEE550839FB661C18EE1CD363A235041,10445,>1m <=5m,ATBI DATABASE,,1446829330000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279950,3929850,35.48784,-83.425711,Deep Creek,Deep Creek,2083.899658,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446829330000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869529600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,11189,0101000020110F0000CC3B17BBB9B261C16510431007485041,10450,>1m <=5m,ATBI DATABASE,,1446829333000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446829333000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E6100000664A28D321D654C08BD35F9BCCE04140,11190,0101000020110F000039B62BB447B261C16D7B38241F475041,10451,>1m <=5m,ATBI DATABASE,,1446829334000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287910,3959450,35.756237,-83.34581,Webb Creek,Redwine Creek,1637.409546,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829334000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,841708800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000D5720FB877CD54C0D7638C6332E14140,11192,0101000020110F0000BFF5A4DDEBAA61C114474CAA89475041,10453,>1m <=5m,ATBI DATABASE,,1446829335000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300160,3959510,35.759343,-83.210428,Cosby Creek,,2137.029297,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829335000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,802915200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,11191,0101000020110F000070451A283CAB61C1A3F349B67E455041,10452,>1m <=5m,ATBI DATABASE,,1446829334000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829334000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,803001600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,11205,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,10466,>1m <=5m,ATBI DATABASE,,1446829341000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446829341000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,11197,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,10458,>1m <=5m,ATBI DATABASE,,1446829337000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446829337000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121299200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand,No,day,cert,Benthic Macroinvertebrate
0101000020E610000073F0841231D754C005DDC1FC13CB4140,11188,0101000020110F000092EA0A132EB361C1AEB517C469305041,10449,>1m <=5m,ATBI DATABASE,,1446829332000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285960,3940660,35.586541,-83.362366,Upper Oconaluftee River,Oconaluftee River,2894.862305,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446829332000,GRSM,UNR,,7,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,899942400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000B1C377E6CED754C09B39860261DF4140,11187,0101000020110F000017FB201EB4B361C1F46E9EA3A2455041,10448,>1m <=5m,ATBI DATABASE,,1446829332000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285512,3958276,35.745141,-83.371999,Webb Creek,,1434.059204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829332000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,839462400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000025E1087357D954C0A4FE59779CDF4140,11185,0101000020110F000088587F8201B561C181E933DBE0455041,10446,>1m <=5m,ATBI DATABASE,,1446829331000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283350,3958530,35.746956,-83.395958,Little Pigeon River Middle,Copeland Creek,1361.612183,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829331000,GRSM,UNR,,2,,,Old Settlers Trail,Greenbrier Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,838080000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000001B387CDFF3D854C07450B9FEA7DA4140,11186,0101000020110F0000243884F0ACB461C163F8FBCAB1405041,10447,>1m <=5m,ATBI DATABASE,,1446829331000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283795,3954222,35.708245,-83.389881,Little Pigeon River Middle,Rhododendron Creek,1966.952881,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829331000,GRSM,UNR,,7,,,Grapeyard Ridge Trail,Greenbrier Unpaved Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000002FB7168EA9DE54C06455031BB7D84140,11182,0101000020110F0000D9B0B65886B961C11ACD9020AA3E5041,10443,>1m <=5m,ATBI DATABASE,,1446829329000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275680,3952740,35.693081,-83.479095,Baskins Creek,Falls Branch,2258.774658,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446829329000,GRSM,UNR,,4,,,Baskins Creek Trail,Roaring Fork Motor Nature Trail,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,839376000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000069AA223AF6DE54C0B354273FE0D84140,11175,0101000020110F0000B2E1D176C7B961C162668326D53E5041,10436,>1m <=5m,ATBI DATABASE,,1446829325000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275260,3952890,35.694337,-83.483774,Baskins Creek,Falls Branch,2314.302734,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446829325000,GRSM,UNR,,7,,,Baskins Creek Trail,Roaring Fork Motor Nature Trail,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,842400000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000A5A8D5854FDC54C02D923662A1DC4140,11183,0101000020110F00009D57550A87B761C1C787E072C2425041,10444,>1m <=5m,ATBI DATABASE,,1446829330000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279090,3956050,35.723668,-83.44235,Dudley Creek,,1799.319336,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446829330000,GRSM,UNR,,7,,,Bell Branch Concession Horse Trail,Dudley Creek Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,841795200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000003E0007BF9DE154C0BC79AA43EED94140,11171,0101000020110F0000C67C769408BC61C16E248689EF3F5041,10432,>1m <=5m,ATBI DATABASE,,1446829323000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271530,3953900,35.702577,-83.525249,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1354.412354,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446829323000,GRSM,UNR,,5,,,Gatlinburg Trail,Newfound Gap Road North,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,843696000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008AC33434E7E854C0263B3ADEBFD54140,11161,0101000020110F0000F5C2ECE938C261C13E916947903B5041,10422,>1m <=5m,ATBI DATABASE,,1446829316000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261129,3950547,35.669911,-83.639107,Little River-Goshen Prong,,1913.619873,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446829316000,GRSM,UNR,,10,,,Curry Mountain Trail,Little River Gorge Road,Valid,Psephenus_herricki,Psephenus  herricki,33384,Water Penny Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,842918400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Elateriformia,Polyphaga, ,Byrrhoidea,Psephenidae, ,~,by hand, , ,cert,Inventory & Monitoring
