the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C26E758C8DE054C03507B10845BD4140,14782,0101000020110F00007510096721BB61C1D116C28900225041,14019,>1m <=5m,ATBI DATABASE,,1446831372000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831372000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,611280000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000005DDC5D9FADCD54C0745F51C850E34140,14802,0101000020110F0000ED4866A519AB61C1987EE365C1495041,14037,>1m <=5m,ATBI DATABASE,,1446831383000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299904,3961353,35.775896,-83.213718,Cosby Creek,Fletcher Spring Branch,1803.002075,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831383000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,970704000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,at light, , ,cert,ATBI
0101000020E6100000714E1ADAE8CD54C0DCCF05DCD0E34140,14801,0101000020110F0000A5B81DF34BAB61C1DCB3C279474A5041,14036,>1m <=5m,ATBI DATABASE,,1446831382000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299587,3961794,35.779804,-83.217333,Cosby Creek,Fletcher Spring Branch,1697.06604,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831382000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1002672000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light (sheet), , ,cert,General
0101000020E6100000C94185FA48CD54C0A30E4EEB46E04140,14808,0101000020110F000056C24E2BC4AA61C15A06573B93465041,14043,>1m <=5m,ATBI DATABASE,,1446831386000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300400,3958707,35.752157,-83.207575,Cosby Creek,,2367.416504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831386000,GRSM,UNR,,6,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1002758400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,at light, , ,cert,ATBI
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,14800,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,14035,>1m <=5m,ATBI DATABASE,,1446831382000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831382000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1031875200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000C937B3A7CEC754C0C476ED8EA9CE4140,14813,0101000020110F00008AD0E42C1DA661C1D46CB43128345041,14047,>1m <=5m,ATBI DATABASE,,1446831387000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307810,3943270,35.614543,-83.121984,Upper Cataloochee Creek,Rough Fork,2843.140869,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446831387000,GRSM,UNR,,5,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,592531200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000C1BB9F2AB1C454C0C4649D36D2CA4140,14815,0101000020110F0000439339DE77A361C1BB4A7C1325305041,14049,>1m <=5m,ATBI DATABASE,,1446831388000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939847,35.584533,-83.073309,Lower Johnathans Creek,,4827.102051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446831388000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1062115200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap,No, ,cert,ATBI
0101000020E6100000D9A7300A30CB54C076A1EB621DC84140,14809,0101000020110F0000015D9A25FCA861C1D324B6A3512D5041,14044,>1m <=5m,ATBI DATABASE,,1446831386000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302900,3937700,35.56339,-83.174803,Lower Raven Fork,,5313.603516,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446831386000,GRSM,UNR,,7,,,Balsam Mountain Nature Trail,Balsam Mountain Campground Road,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1029628800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,Malaise trap (Townes), , ,cert,ATBI
0101000020E61000008244EF61EAD254C0FB719A967CC14140,14799,0101000020110F0000E042A05A8CAF61C1433058AE66265041,14034,>1m <=5m,ATBI DATABASE,,1446831381000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291821,3932204,35.511608,-83.295552,Lower Oconaluftee River,,2067.19873,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446831381000,GRSM,UNR,,3,,,Nations Cemetery Access,Access Road To Big Cove Road,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1002758400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap, , ,cert,Ravensford Study
0101000020E61000004100693255D454C03277A42F41C74140,14798,0101000020110F0000B2060B7EC0B061C1ECE022C06B2C5041,14033,>1m <=5m,ATBI DATABASE,,1446831380000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289930,3937250,35.55667,-83.317696,Upper Oconaluftee River,Oconaluftee River,2229.644531,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446831380000,GRSM,UNR,,5,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000D6F0E31E81D954C045177A225ACA4140,14793,0101000020110F00002DEDB5E624B561C14E45B8ADA72F5041,14029,>1m <=5m,ATBI DATABASE,,1446831378000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282670,3940110,35.580869,-83.398502,Deep Creek,,4454.749023,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446831378000,GRSM,UNR,,3,,,Thomas Divide Trail,Thomas Divide Trail Pullout Parking,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000007CB05F1F19DC54C084F810F953CF4140,14792,0101000020110F000037F895D658B761C16B64DD3BDA345041,14028,>1m <=5m,ATBI DATABASE,,1446831378000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279104,3944513,35.619743,-83.439029,West Prong Little Pigeon River Upper,,4432.916016,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446831378000,GRSM,UNR,,9,,,Appalachian Trail,Nfg Pullout Parking At Mp 11.43,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1128470400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,black light trap,No, ,cert,ATBI
0101000020E6100000DF1D957269DE54C0A67DD5CC85D14140,14788,0101000020110F0000A58D6AE64FB961C1CBD61A4825375041,14024,>1m <=5m,ATBI DATABASE,,1446831375000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275877,3946497,35.636889,-83.475182,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3350.529785,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446831375000,GRSM,UNR,,8,,,Chimney Tops Trail,Newfound Gap Road North,Valid,Pycnopsyche_sonso,Pycnopsyche  sonso,34149,Silly Stickbait Caddis,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,934329600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Limnephilidae, ,~,by hand, , ,cert,General
