the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008DCC3562CCFA54C0DD4DE7FF9FBC4140,15829,0101000020110F0000CBA90CB66BD161C1AE3C1F6C54215041,15082,>1m <=5m,ATBI DATABASE,,1446831947000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235168,3929485,35.473626,-83.91872,Chilhowee Lake,,2097.472168,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446831947000,GRSM,UNR,,7,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C9EFAC5ED7FA54C01263437ED0BC4140,15828,0101000020110F0000DC5CAD0A75D161C19BB1E1FE86215041,15081,>1m <=5m,ATBI DATABASE,,1446831947000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235112,3929651,35.475106,-83.919391,Chilhowee Lake,Cooper Camp Branch,2025.034302,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446831947000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000002ACCD6553CF854C0D3B6DAFDC9BE4140,15901,0101000020110F00009BF271873ECF61C16D4D6A3A96235041,15154,>1m <=5m,ATBI DATABASE,,1446831982000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238857,3931254,35.490532,-83.878678,Lake Cheoah-Little Tennessee River,Dalton Branch,2282.555908,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831982000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003EB4273227F854C0947F0F5982BE4140,15907,0101000020110F00004BDB4C932CCF61C1266F797F4B235041,15160,>1m <=5m,ATBI DATABASE,,1446831985000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238967,3931008,35.488346,-83.877388,Lake Cheoah-Little Tennessee River,Dalton Branch,2086.394775,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831985000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B693F8444DF854C04B198C9FB3BE4140,15895,0101000020110F0000442746E94CCF61C11ADD5AE57E235041,15148,>1m <=5m,ATBI DATABASE,,1446831979000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238761,3931181,35.48985,-83.879712,Lake Cheoah-Little Tennessee River,Dalton Branch,2134.833984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831979000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003D768C3520F854C04664404C7BBE4140,15909,0101000020110F0000A1793CA426CF61C1F494F02444235041,15162,>1m <=5m,ATBI DATABASE,,1446831986000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239005,3930983,35.488131,-83.876962,Lake Cheoah-Little Tennessee River,Dalton Branch,2047.277954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831986000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000FAE3D7BE89F854C0FA0A35B780BB4140,15881,0101000020110F0000C676084680CF61C18DD949D628205041,15134,>1m <=5m,ATBI DATABASE,,1446831973000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238345,3928418,35.464859,-83.883403,Lake Cheoah-Little Tennessee River,Little Tennessee River,1426.533081,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831973000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000858C4F1A0DF454C034B6981E5BBB4140,16092,0101000020110F0000E3ED1FBBB0CB61C1013F2DA201205041,15345,>1m <=5m,ATBI DATABASE,,1446832077000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244705,3928107,35.463711,-83.813296,Lake Cheoah-Little Tennessee River,,2229.653564,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446832077000,GRSM,UNR,,5,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1119916800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,by hand,No,day,cert,PKnob gall inventory
0101000020E61000007E9E49720BF454C0A3BE667297BB4140,16093,0101000020110F000094700053AFCB61C1452B5A8A40205041,15346,>1m <=5m,ATBI DATABASE,,1446832078000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244720,3928311,35.465552,-83.813194,Lake Cheoah-Little Tennessee River,,2545.727051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446832078000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000092303E92B3F654C06A87BA6D31BA4140,15977,0101000020110F0000171257F4F0CD61C18DC60B3CCB1E5041,15228,>1m <=5m,ATBI DATABASE,,1446832018000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240917,3927207,35.454627,-83.854706,Lake Cheoah-Little Tennessee River,,1694.576782,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446832018000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000045E4DF5AD2F754C05C79B2632FBB4140,15918,0101000020110F000083C31B85E4CE61C1938ED108D41F5041,15171,>1m <=5m,ATBI DATABASE,,1446831990000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239353,3928113,35.462377,-83.87221,Lake Cheoah-Little Tennessee River,Little Tennessee River,1676.127441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831990000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Quercus_alba,Quercus  alba,34369,Northern White Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
