the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000CF6CADE87CF754C0830A311815BC4140,23269,0101000020110F0000339058F39BCE61C170C3B890C3205041,22501,>1m <=5m,ATBI DATABASE,,1446835980000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239849,3928877,35.469387,-83.866995,Lake Cheoah-Little Tennessee River,Twentymile Creek,1593.055664,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835980000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B98DEF5381F354C021AE5AA161BB4140,23274,0101000020110F0000B97424053ACB61C1E4C12F6C08205041,22506,>1m <=5m,ATBI DATABASE,,1446835982000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245480,3928107,35.46391,-83.804764,Lower Fontana Lake-Little Tennessee River,,1860.862427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835982000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008E574641F5ED54C04548AD95E8BA4140,23283,0101000020110F000096B4A4F383C661C11B5F85348A1F5041,22515,>1m <=5m,ATBI DATABASE,,1446835987000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253336,3927477,35.460216,-83.71809,Hazel Creek,,2207.727295,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835987000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000163B38DD74E854C0E96AD7F609BD4140,23284,0101000020110F00003F1D11CED7C161C178B3BAEEC2215041,22516,>1m <=5m,ATBI DATABASE,,1446835988000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261188,3929112,35.47686,-83.632129,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3535.269531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835988000,GRSM,UNR,,8,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AFCC7C8346E854C0069CB66ACABC4140,23285,0101000020110F0000A62E7F70B0C161C1328D9BA880215041,22517,>1m <=5m,ATBI DATABASE,,1446835988000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261439,3928890,35.47492,-83.6293,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3240.07959,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835988000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009D16D0CC12E754C0EC4E779EB8BA4140,23287,0101000020110F0000BF0F2419ABC061C1A85A1331581F5041,22519,>1m <=5m,ATBI DATABASE,,1446835989000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263096,3927051,35.458752,-83.610518,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1980.12854,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835989000,GRSM,UNR,,6,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B9058F927EE054C02A1DD2C616BE4140,23288,0101000020110F00005824E7AE14BB61C15E7AD34BDB225041,22520,>1m <=5m,ATBI DATABASE,,1446835990000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272501,3929728,35.485063,-83.507721,Noland Creek,Noland Creek,2229.114258,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446835990000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,23292,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,22524,>1m <=5m,ATBI DATABASE,,1446835992000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446835992000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000779C77A35CD154C0262714DBCAE14140,23293,0101000020110F00004CBFC58C3AAE61C17FF1373E29485041,22525,>1m <=5m,ATBI DATABASE,,1446835992000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294670,3960152,35.763996,-83.271275,Cosby Creek,Cole Creek,2064.404053,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446835992000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956707200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000EAB84FCB45D154C06CC593F130E14140,23295,0101000020110F00008B8FEE2527AE61C15249152788475041,22527,>1m <=5m,ATBI DATABASE,,1446835993000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294784,3959628,35.759299,-83.269881,Cosby Creek,Cole Creek,2276.140137,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446835993000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Ranunculus_hispidus_variety,Ranunculus  hispidus variety,34502,Bristly Buttercup,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956707200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
