the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,24751,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,24007,>1m <=5m,ATBI DATABASE,,1446836879000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836879000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,810432000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,24767,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,24023,>1m <=5m,ATBI DATABASE,,1446836888000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836888000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,870739200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000085D2450DDDDE54C093C9BD8188B94140,24784,0101000020110F0000692A3215B2B961C12122041E1B1E5041,24039,>1m <=5m,ATBI DATABASE,,1446836897000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274714,3925721,35.449472,-83.482238,Fontana Lake-Tuckasegee River,Peachtree Creek,2046.831177,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836897000,GRSM,UNR,,7,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872553600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C1CA8F629ADB54C074F90C3169BC4140,24788,0101000020110F0000555B3233EDB661C19CDDD4431B215041,24043,>1m <=5m,ATBI DATABASE,,1446836900000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279400,3928100,35.471953,-83.431294,Deep Creek,Deep Creek,2085.309082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836900000,GRSM,UNR,,7,,,Deep Creek Horse Trail,Tom Branch Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869443200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,24790,0101000020110F0000CC3B17BBB9B261C16510431007485041,24045,>1m <=5m,ATBI DATABASE,,1446836901000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446836901000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,24794,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,24049,>1m <=5m,ATBI DATABASE,,1446836904000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446836904000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,904003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099E2DA7E69D554C03E403825B4C84140,24791,0101000020110F0000E2762127ABB161C161B2FA0AEF2D5041,24046,>1m <=5m,ATBI DATABASE,,1446836901000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288431,3938542,35.567991,-83.33456,Upper Oconaluftee River,Oconaluftee River,2384.666016,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446836901000,GRSM,UNR,,5,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1217635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E6100000E42D2F0A4CD354C0D26BA93F5FC54140,24793,0101000020110F0000858D584BDFAF61C14619E9AC742A5041,24048,>1m <=5m,ATBI DATABASE,,1446836903000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291359,3935584,35.541962,-83.301512,Lower Oconaluftee River,Oconaluftee River,2291.101318,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446836903000,GRSM,UNR,,5,,,Tow String Horse Trail,Newfound Gap Road South,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,905299200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000082A7C8D5D3DB54C03BEDB34E45C44140,24787,0101000020110F0000F0890BFE1DB761C184203C694E295041,24042,>1m <=5m,ATBI DATABASE,,1446836899000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279250,3934920,35.533358,-83.4348,Deep Creek,Pole Road Creek,3028.680664,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836899000,GRSM,UNR,,7,,,Pole Road Creek Trail,Noland Divide Trailhead Parking,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872726400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000001E6DCB6977D554C043036F5054DA4140,24792,0101000020110F0000A5EE22F9B6B161C1EF08FA445A405041,24047,>1m <=5m,ATBI DATABASE,,1446836902000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,288717,3953820,35.705691,-83.335409,Little Pigeon River Upper,Ramsey Branch,2712.478027,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446836902000,GRSM,UNR,,4,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000025E1087357D954C0A4FE59779CDF4140,24789,0101000020110F000088587F8201B561C181E933DBE0455041,24044,>1m <=5m,ATBI DATABASE,,1446836900000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283350,3958530,35.746956,-83.395958,Little Pigeon River Middle,Copeland Creek,1361.612183,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446836900000,GRSM,UNR,,2,,,Old Settlers Trail,Greenbrier Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,838080000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
