the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000007628593A3EF854C082315AFB86BB4140,25157,0101000020110F00007B5EF02240CF61C1B46A085F2F205041,24415,>1m <=5m,ATBI DATABASE,,1446837108000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238764,3928427,35.46505,-83.878794,Lake Cheoah-Little Tennessee River,Twentymile Creek,1569.834717,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837108000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1061856000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000F7CD4964C9F754C0BDC7BA34D5BB4140,25159,0101000020110F00007FCB50E8DCCE61C1EBFB1AF180205041,24417,>1m <=5m,ATBI DATABASE,,1446837110000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239419,3928673,35.467437,-83.871663,Lake Cheoah-Little Tennessee River,Twentymile Creek,1744.880005,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837110000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1061856000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000F78F184C62EE54C0F3BD5E18ABBC4140,25163,0101000020110F0000E1B3B58FE0C661C19D1D62FE5F215041,24421,>1m <=5m,ATBI DATABASE,,1446837112000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252774,3929019,35.473965,-83.724745,Hazel Creek,Hazel Creek,1717.382202,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837112000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000002E2C945998ED54C04446A2F87ABD4140,25166,0101000020110F00001096240C35C661C12F4AC8CA38225041,24424,>1m <=5m,ATBI DATABASE,,1446837113000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253912,3929692,35.480308,-83.71242,Hazel Creek,Hazel Creek,2017.213379,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837113000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000007535906640E454C01A2F8CDDC6BB4140,25179,0101000020110F0000D4B36C9045BE61C1CA72D2FC71205041,24437,>1m <=5m,ATBI DATABASE,,1446837121000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267122,3927861,35.467,-83.566427,Forney Creek,Forney Creek,1820.611694,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837121000,GRSM,UNR,,5,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1067040000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000002E9D0C1704E454C059F038CB80BF4140,25180,0101000020110F00002FF7A35712BE61C1FEF93CEA54245041,24438,>1m <=5m,ATBI DATABASE,,1446837122000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267540,3931082,35.496111,-83.562746,Forney Creek,Forney Creek,2364.896484,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837122000,GRSM,UNR,,10,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1067040000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000020706CEF33E154C0942EA74BD9BB4140,25182,0101000020110F000000D4F3B6AEBB61C10D73D53485205041,24440,>1m <=5m,ATBI DATABASE,,1446837123000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271447,3927812,35.467562,-83.518791,Noland Creek,Noland Creek,1965.983154,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837123000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1065052800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000000D438616D8E154C0C79B54F279B94140,25181,0101000020110F0000776B2F213ABC61C1C840F7EF0B1E5041,24439,>1m <=5m,ATBI DATABASE,,1446837122000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270485,3925779,35.449027,-83.52881,Noland Creek,Noland Creek,1855.15918,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837122000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1065052800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000033C96AE876DB54C09B854A1733BC4140,25184,0101000020110F0000C07DBA11CFB661C14A05B2D8E2205041,24442,>1m <=5m,ATBI DATABASE,,1446837124000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279592,3927912,35.470302,-83.429129,Deep Creek,Deep Creek,1866.714355,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837124000,GRSM,UNR,,4,,,Deep Creek Trail,Tom Branch Road,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1064966400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000012C25F032ADB54C0DC2E5A9ECCBD4140,25185,0101000020110F0000EE1737C38DB661C16650D6F28D225041,24443,>1m <=5m,ATBI DATABASE,,1446837124000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280052,3929288,35.4828,-83.424435,Deep Creek,Deep Creek,1942.304199,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446837124000,GRSM,UNR,,4,,,Deep Creek Trail,Tom Branch Road,Valid,Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1064966400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
